relation1,attribute1,relation2,attribute2,frequency
depicts,shoes,hasMaterialType,leather,29
hasMaterialType,leather,depicts,shoes,29
belongsToCategory,lowerbody,depicts,shoes,29
depicts,shoes,belongsToCategory,lowerbody,29
hasMaterialType,leather,belongsToCategory,lowerbody,26
belongsToCategory,lowerbody,hasMaterialType,leather,26
depicts,shoes,hasOpeningType,lace-up,20
hasOpeningType,lace-up,depicts,shoes,20
hasOpeningType,lace-up,belongsToCategory,lowerbody,18
belongsToCategory,lowerbody,hasOpeningType,lace-up,18
hasOpeningType,lace-up,hasMaterialType,leather,17
hasMaterialType,leather,hasOpeningType,lace-up,17
hasNeckline,round,depicts,shoes,15
depicts,shoes,hasNeckline,round,15
hasMaterialType,leather,hasNeckline,round,15
hasNeckline,round,hasMaterialType,leather,15
hasMaterialType,leather,hasSilhouette,round,14
hasSilhouette,round,hasMaterialType,leather,14
hasLength,short,depicts,shoes,14
depicts,shoes,hasLength,short,14
depicts,shoes,hasSilhouette,round,13
hasSilhouette,round,depicts,shoes,13
hasNeckline,round,belongsToCategory,lowerbody,13
belongsToCategory,lowerbody,hasNeckline,round,13
hasMaterialType,leather,hasLength,short,13
hasLength,short,hasMaterialType,leather,13
hasLength,ankle-length,belongsToCategory,lowerbody,13
belongsToCategory,lowerbody,hasLength,ankle-length,13
belongsToCategory,lowerbody,hasSilhouette,round,12
hasOpeningType,lace-up,hasSilhouette,round,12
hasSilhouette,round,belongsToCategory,lowerbody,12
hasSilhouette,round,hasOpeningType,lace-up,12
hasLength,ankle-length,depicts,shoes,12
depicts,shoes,hasLength,ankle-length,12
hasMaterialType,leather,hasLength,ankle-length,12
hasLength,ankle-length,hasMaterialType,leather,12
hasFabricTreatment,smooth,depicts,shoes,10
depicts,shoes,hasFabricTreatment,smooth,10
hasLength,short,belongsToCategory,lowerbody,10
belongsToCategory,lowerbody,hasLength,short,10
hasNeckline,round,hasSleeveType,short,10
hasSleeveType,short,hasNeckline,round,10
belongsToCategory,upperbody,hasMaterialType,leather,8
hasMaterialType,leather,belongsToCategory,upperbody,8
hasLeatherType,full-grain leather,depicts,shoes,8
hasLeatherType,full-grain leather,belongsToCategory,lowerbody,8
hasLeatherType,full-grain leather,hasMaterialType,leather,8
depicts,shoes,hasLeatherType,full-grain leather,8
belongsToCategory,lowerbody,hasLeatherType,full-grain leather,8
hasMaterialType,leather,hasLeatherType,full-grain leather,8
hasOpeningType,lace-up,hasLength,ankle-length,8
hasLength,ankle-length,hasOpeningType,lace-up,8
depicts,shoes,hasSleeveType,short,8
hasSleeveType,short,depicts,shoes,8
belongsToCategory,lowerbody,hasSleeveType,short,8
hasMaterialType,leather,hasSleeveType,short,8
hasSleeveType,short,belongsToCategory,lowerbody,8
hasFabricTreatment,smooth,belongsToCategory,lowerbody,8
hasSleeveType,short,hasMaterialType,leather,8
hasFabricTreatment,smooth,hasMaterialType,leather,8
belongsToCategory,lowerbody,hasFabricTreatment,smooth,8
hasMaterialType,leather,hasFabricTreatment,smooth,8
hasOpeningType,lace-up,hasNeckline,round,7
hasNeckline,round,hasOpeningType,lace-up,7
hasLength,short,belongsToCategory,upperbody,7
belongsToCategory,upperbody,hasLength,short,7
hasFabricTreatment,smooth,hasLength,short,7
hasLength,short,hasFabricTreatment,smooth,7
hasLength,ankle-length,hasSilhouette,round,7
depicts,shoes,hasPattern,solid color,7
hasMaterialType,leather,hasPattern,solid color,7
hasPattern,solid color,depicts,shoes,7
hasSilhouette,round,hasLength,ankle-length,7
hasPattern,solid color,hasMaterialType,leather,7
hasNeckline,round,hasLength,ankle-length,7
hasLength,ankle-length,hasNeckline,round,7
hasMaterialType,leather,hasLeatherType,smooth,6
hasLeatherType,smooth,hasMaterialType,leather,6
depicts,shoes,belongsToCategory,upperbody,6
belongsToCategory,upperbody,depicts,shoes,6
hasNeckline,round,belongsToCategory,upperbody,6
belongsToCategory,upperbody,hasNeckline,round,6
belongsToCategory,lowerbody,hasPattern,solid color,6
hasPattern,solid color,belongsToCategory,lowerbody,6
hasLeatherType,full-grain leather,hasLength,ankle-length,6
hasLength,ankle-length,hasLeatherType,full-grain leather,6
hasOpeningType,lace-up,hasLength,short,6
hasLength,short,hasOpeningType,lace-up,6
hasFabricTreatment,suede,depicts,shoes,5
hasFabricTreatment,suede,belongsToCategory,lowerbody,5
hasFabricTreatment,suede,hasNeckline,round,5
hasFabricTreatment,suede,hasMaterialType,leather,5
depicts,shoes,hasFabricTreatment,suede,5
belongsToCategory,lowerbody,hasFabricTreatment,suede,5
hasNeckline,round,hasFabricTreatment,suede,5
hasMaterialType,leather,hasFabricTreatment,suede,5
depicts,shoes,hasSleeveType,short-sleeve,5
hasSleeveType,short-sleeve,depicts,shoes,5
hasNeckline,round,hasLength,short,5
hasLength,short,hasNeckline,round,5
hasFabricTreatment,smooth,hasNeckline,round,5
hasNeckline,round,hasFabricTreatment,smooth,5
hasOpeningType,lace-up,hasPattern,solid color,5
hasPattern,solid color,hasOpeningType,lace-up,5
hasOpeningType,zipper,depicts,shoes,5
depicts,shoes,hasOpeningType,zipper,5
depicts,shoes,hasSleeveType,long-sleeve,5
belongsToCategory,lowerbody,hasSleeveType,long-sleeve,5
hasSleeveType,long-sleeve,depicts,shoes,5
hasSleeveType,long-sleeve,belongsToCategory,lowerbody,5
hasOpeningType,zipper,belongsToCategory,lowerbody,5
belongsToCategory,lowerbody,hasOpeningType,zipper,5
hasMaterialType,leather,hasOpeningType,zipper,5
hasOpeningType,zipper,hasMaterialType,leather,5
hasLength,short,hasPattern,solid color,5
hasPattern,solid color,hasLength,short,5
hasLength,ankle-length,hasSleeveType,short,5
hasSleeveType,short,hasLength,ankle-length,5
hasLeatherType,full-grain,depicts,shoes,4
hasLeatherType,full-grain,belongsToCategory,lowerbody,4
hasFabricTreatment,suede,hasOpeningType,lace-up,4
hasLeatherType,full-grain,hasMaterialType,leather,4
depicts,shoes,hasLeatherType,full-grain,4
belongsToCategory,lowerbody,hasLeatherType,full-grain,4
hasMaterialType,leather,hasLeatherType,full-grain,4
hasOpeningType,lace-up,hasFabricTreatment,suede,4
belongsToCategory,upperbody,hasSilhouette,round,4
hasOpeningType,lace-up,hasSleeveType,short-sleeve,4
hasMaterialType,leather,hasSleeveType,short-sleeve,4
hasSilhouette,round,belongsToCategory,upperbody,4
hasSleeveType,short-sleeve,hasOpeningType,lace-up,4
hasSleeveType,short-sleeve,hasMaterialType,leather,4
hasMaterialType,fabric,depicts,shoes,4
hasMaterialType,fabric,hasLength,short,4
depicts,shoes,hasMaterialType,fabric,4
hasLength,short,hasMaterialType,fabric,4
hasLeatherType,full-grain leather,hasSilhouette,round,4
hasLeatherType,full-grain leather,hasOpeningType,lace-up,4
hasSilhouette,round,hasLeatherType,full-grain leather,4
hasOpeningType,lace-up,hasLeatherType,full-grain leather,4
hasOpeningType,zipper,hasLength,short,4
hasLength,short,hasOpeningType,zipper,4
hasOpeningType,zipper,hasSleeveType,long-sleeve,4
hasMaterialType,leather,hasSleeveType,long-sleeve,4
hasSleeveType,long-sleeve,hasOpeningType,zipper,4
hasSleeveType,long-sleeve,hasMaterialType,leather,4
hasFabricTreatment,smooth,hasSleeveType,short,4
hasOpeningType,closed,depicts,shoes,4
depicts,shoes,hasOpeningType,closed,4
hasMaterialType,leather,hasOpeningType,closed,4
hasOpeningType,closed,hasMaterialType,leather,4
hasSleeveType,short,hasFabricTreatment,smooth,4
hasFabricTreatment,smooth,hasOpeningType,lace-up,4
hasOpeningType,lace-up,hasFabricTreatment,smooth,4
depicts,shoes,hasSilhouette,regular,4
belongsToCategory,lowerbody,hasSilhouette,regular,4
hasSilhouette,regular,depicts,shoes,4
hasSilhouette,regular,belongsToCategory,lowerbody,4
hasLength,short,hasSilhouette,round,4
hasSilhouette,round,hasLength,short,4
belongsToCategory,upperbody,hasLeatherType,smooth,3
depicts,shoes,hasLeatherType,smooth,3
hasLeatherType,smooth,belongsToCategory,upperbody,3
hasLeatherType,smooth,depicts,shoes,3
hasLength,low-top,hasSilhouette,round,3
hasLength,low-top,depicts,shoes,3
