product,relationship,attribute
36762.jpg,hasLeatherType,cowhide
36762.jpg,hasMaterialType,leather
36762.jpg,hasOpeningType,buttonhole
36762.jpg,hasNeckline,round
36762.jpg,hasLength,short
36762.jpg,hasSilhouette,round
36762.jpg,belongsToCategory,head
36762.jpg,depicts,watch
28576.jpg,hasMaterialType,leather
28576.jpg,hasPocketType,false
28576.jpg,hasSleeveType,short
28576.jpg,hasNeckline,round
28576.jpg,hasLength,short
28576.jpg,hasSilhouette,round
28576.jpg,belongsToCategory,headwear
28576.jpg,depicts,watch
54671.jpg,hasMaterialType,synthetic
54671.jpg,hasLength,short
54671.jpg,hasSilhouette,square
54671.jpg,belongsToCategory,head
54671.jpg,depicts,watch
49326.jpg,hasSilhouette,straight
49326.jpg,hasSleeveType,short
49326.jpg,depicts,watch
49326.jpg,belongsToCategory,upperbody
49326.jpg,hasWaistline,natural
49326.jpg,hasLength,short
49326.jpg,hasNeckline,round
49326.jpg,hasOpeningType,buttonhole
49326.jpg,hasMaterialType,leather
49326.jpg,hasLeatherType,calfskin
49326.jpg,hasFabricTreatment,smooth
17422.jpg,hasFabricTreatment,smooth
17422.jpg,hasMaterialType,leather
17422.jpg,hasOpeningType,buckle
17422.jpg,hasSleeveType,short
17422.jpg,hasNeckline,round
17422.jpg,hasLength,short
17422.jpg,hasSilhouette,round
17422.jpg,belongsToCategory,upperbody
17422.jpg,depicts,watch
25640.jpg,hasSilhouette,round
25640.jpg,hasSleeveType,short
25640.jpg,depicts,watch
25640.jpg,belongsToCategory,upperbody
25640.jpg,hasLength,medium
25640.jpg,hasNeckline,round
25640.jpg,hasOpeningType,button hole
25640.jpg,hasMaterialType,leather
25640.jpg,hasLeatherType,smooth
25640.jpg,hasFabricTreatment,dyed
23265.jpg,hasMaterialType,synthetic
23265.jpg,hasOpeningType,button
23265.jpg,hasSleeveType,long
23265.jpg,hasNeckline,round
23265.jpg,hasLength,short
23265.jpg,hasSilhouette,rectangular
23265.jpg,hasNickname,wristwatch
23265.jpg,depicts,watch
29918.jpg,hasOpeningType,buckle
29918.jpg,hasSleeveType,short
29918.jpg,hasLength,medium
29918.jpg,hasSilhouette,round
29918.jpg,hasMaterialType,stainless steel
29918.jpg,belongsToCategory,watch
29918.jpg,depicts,watch
53615.jpg,hasMaterialType,synthetic
53615.jpg,hasLength,short
53615.jpg,hasSilhouette,round
53615.jpg,belongsToCategory,head
53615.jpg,depicts,watch
19767.jpg,hasMaterialType,synthetic
19767.jpg,hasLength,short
19767.jpg,hasSilhouette,round
19767.jpg,belongsToCategory,upperbody
19767.jpg,depicts,watch
46529.jpg,hasFabricTreatment,polished
46529.jpg,hasMaterialType,metal
46529.jpg,hasSleeveType,short
46529.jpg,hasNeckline,round
46529.jpg,hasLength,short
46529.jpg,hasSilhouette,round
46529.jpg,belongsToCategory,upperbody
46529.jpg,depicts,watch
40561.jpg,hasFabricTreatment,polished
40561.jpg,hasLeatherType,calfskin
40561.jpg,hasMaterialType,leather
40561.jpg,hasOpeningType,button
40561.jpg,hasNeckline,round
40561.jpg,hasLength,short
40561.jpg,hasSilhouette,round
40561.jpg,belongsToCategory,upperbody
40561.jpg,depicts,watch
45185.jpg,hasMaterialType,synthetic
45185.jpg,hasSilhouette,round
45185.jpg,belongsToCategory,upperbody
45185.jpg,depicts,watch
22937.jpg,hasMaterialType,synthetic
22937.jpg,hasLength,short
22937.jpg,hasSilhouette,square
22937.jpg,belongsToCategory,head
22937.jpg,depicts,watch
32291.jpg,hasFabricTreatment,smooth
32291.jpg,hasMaterialType,leather
32291.jpg,hasSleeveType,short
32291.jpg,hasLength,short
32291.jpg,hasSilhouette,round
32291.jpg,belongsToCategory,head
32291.jpg,depicts,watch
19758.jpg,hasFabricTreatment,polished
19758.jpg,hasMaterialType,synthetic
19758.jpg,hasSilhouette,round
19758.jpg,belongsToCategory,head
19758.jpg,depicts,watch
36770.jpg,hasFabricTreatment,dyed
36770.jpg,hasMaterialType,synthetic
36770.jpg,hasOpeningType,buckle
36770.jpg,hasLength,short
36770.jpg,hasSilhouette,rectangular
36770.jpg,belongsToCategory,head
36770.jpg,depicts,watch
45264.jpg,hasPattern,stripe
45264.jpg,hasFabricTreatment,textured
45264.jpg,hasMaterialType,synthetic
45264.jpg,hasOpeningType,button
45264.jpg,hasSleeveType,short
45264.jpg,hasNeckline,round
45264.jpg,hasLength,long
45264.jpg,hasWaistline,high
45264.jpg,hasSilhouette,angular
45264.jpg,belongsToCategory,lowerbody
45264.jpg,depicts,watch
24487.jpg,hasPattern,geometric
24487.jpg,hasMaterialType,synthetic
24487.jpg,hasOpeningType,closed front
24487.jpg,hasSleeveType,sleeveless
24487.jpg,hasLength,short
24487.jpg,hasSilhouette,round
24487.jpg,belongsToCategory,upperbody
24487.jpg,depicts,watch
30023.jpg,hasAnimalPattern,false
30023.jpg,hasLeatherType,cowhide
30023.jpg,hasMaterialType,leather
30023.jpg,hasOpeningType,false
30023.jpg,hasPocketType,false
30023.jpg,hasNeckline,round
30023.jpg,hasLength,short
30023.jpg,hasSilhouette,round
30023.jpg,belongsToCategory,upperbody
30023.jpg,depicts,watch
5069.jpg,hasPattern,solid color
5069.jpg,hasFabricTreatment,coated
5069.jpg,hasMaterialType,synthetic
5069.jpg,hasOpeningType,fastener on the side
5069.jpg,hasSleeveType,short
5069.jpg,hasNeckline,round
5069.jpg,hasLength,long
5069.jpg,hasSilhouette,oval
5069.jpg,hasNickname,bracelet
5069.jpg,belongsToCategory,head
5069.jpg,depicts,watch
45155.jpg,hasMaterialType,synthetic
45155.jpg,hasOpeningType,button
45155.jpg,hasSleeveType,short
45155.jpg,hasLength,midi
45155.jpg,hasSilhouette,round
45155.jpg,belongsToCategory,upperbody
45155.jpg,depicts,watch
22920.jpg,hasMaterialType,synthetic
22920.jpg,hasLength,short
22920.jpg,hasSilhouette,round
22920.jpg,belongsToCategory,upperbody
22920.jpg,depicts,watch
19285.jpg,hasPattern,striped
19285.jpg,hasMaterialType,leather
19285.jpg,hasOpeningType,button
19285.jpg,hasSleeveType,short
19285.jpg,hasNeckline,round
19285.jpg,hasLength,medium
19285.jpg,hasSilhouette,round
19285.jpg,belongsToCategory,upperbody
19285.jpg,depicts,watch
53570.jpg,hasFabricTreatment,dyed
53570.jpg,hasMaterialType,synthetic
53570.jpg,hasLength,short
53570.jpg,hasSilhouette,round
53570.jpg,belongsToCategory,head
53570.jpg,depicts,watch
25616.jpg,hasPattern,geometric
25616.jpg,hasFabricTreatment,embossed
25616.jpg,hasLeatherType,smooth
25616.jpg,hasMaterialType,leather
25616.jpg,hasSleeveType,short
25616.jpg,hasLength,short
25616.jpg,hasSilhouette,round
25616.jpg,belongsToCategory,head
25616.jpg,depicts,watch
51558.jpg,hasFabricTreatment,suede
51558.jpg,hasMaterialType,leather
51558.jpg,hasPocketType,no pocket
51558.jpg,hasSleeveType,long
51558.jpg,hasNeckline,round
51558.jpg,hasLength,short
51558.jpg,hasSilhouette,round
51558.jpg,belongsToCategory,head
51558.jpg,depicts,watch
45045.jpg,hasPattern,solid color
45045.jpg,hasFabricTreatment,smooth
45045.jpg,hasMaterialType,synthetic
45045.jpg,hasOpeningType,zipper and buttonhole
45045.jpg,hasSleeveType,long-sleeve
45045.jpg,hasNeckline,straight neckline
45045.jpg,hasLength,short
45045.jpg,hasSilhouette,round
