product,relationship,attribute
49672.jpg,hasAnimalPattern,no
49672.jpg,hasLeatherType,no
49672.jpg,hasMaterialType,plastic
49672.jpg,hasSilhouette,aviator
49672.jpg,belongsToCategory,head
49672.jpg,depicts,glasses
30677.jpg,hasPattern,gradient
30677.jpg,hasFabricTreatment,anti-reflective coating
30677.jpg,hasMaterialType,plastic
30677.jpg,hasSleeveType,short
30677.jpg,hasNeckline,round
30677.jpg,hasLength,medium
30677.jpg,hasSilhouette,aviator
30677.jpg,hasNickname,sunglasses
30677.jpg,belongsToCategory,head
30677.jpg,depicts,glasses
28179.jpg,hasMaterialType,plastic
28179.jpg,hasNeckline,round
28179.jpg,hasSilhouette,aviator
28179.jpg,belongsToCategory,head
28179.jpg,depicts,glasses
28203.jpg,hasPattern,striped
28203.jpg,hasMaterialType,plastic
28203.jpg,hasLength,long
28203.jpg,hasSilhouette,aviator
28203.jpg,hasNickname,sunglasses
28203.jpg,belongsToCategory,head
28203.jpg,depicts,glasses
44076.jpg,hasMaterialType,plastic
44076.jpg,hasLength,short
44076.jpg,hasSilhouette,aviator
44076.jpg,hasNickname,sunglasses
44076.jpg,belongsToCategory,head
44076.jpg,depicts,glasses
29876.jpg,hasMaterialType,plastic
29876.jpg,hasSilhouette,aviator
29876.jpg,hasNickname,sunglasses
29876.jpg,belongsToCategory,head
29876.jpg,depicts,glasses
56137.jpg,hasFabricTreatment,coated
56137.jpg,hasMaterialType,plastic
56137.jpg,hasLength,long
56137.jpg,hasSilhouette,aviator
56137.jpg,hasNickname,sunglasses
56137.jpg,belongsToCategory,head
56137.jpg,depicts,glasses
16088.jpg,hasMaterialType,plastic
16088.jpg,hasLength,long
16088.jpg,hasSilhouette,oval
16088.jpg,belongsToCategory,head
16088.jpg,depicts,glasses
16083.jpg,hasMaterialType,plastic
16083.jpg,hasLength,long
16083.jpg,hasSilhouette,oval
16083.jpg,belongsToCategory,head
16083.jpg,depicts,glasses
43091.jpg,hasAnimalPattern,no
43091.jpg,hasPattern,striped
43091.jpg,hasFabricTreatment,polished
43091.jpg,hasMaterialType,plastic
43091.jpg,hasSilhouette,round
43091.jpg,belongsToCategory,head
43091.jpg,depicts,glasses
57802.jpg,hasPattern,stripe
57802.jpg,hasFabricTreatment,coated
57802.jpg,hasMaterialType,plastic
57802.jpg,hasSleeveType,long
57802.jpg,hasNeckline,round
57802.jpg,hasLength,short
57802.jpg,hasSilhouette,oval
57802.jpg,hasNickname,eyewear
57802.jpg,belongsToCategory,head
57802.jpg,depicts,glasses
8704.jpg,hasMaterialType,plastic
8704.jpg,hasLength,full length
8704.jpg,hasSilhouette,round
8704.jpg,belongsToCategory,head
8704.jpg,depicts,glasses
30682.jpg,hasMaterialType,plastic
30682.jpg,hasSleeveType,long
30682.jpg,hasLength,short
30682.jpg,hasSilhouette,ovals
30682.jpg,hasNickname,sunglasses
30682.jpg,belongsToCategory,head
30682.jpg,depicts,glasses
54672.jpg,hasMaterialType,plastic
54672.jpg,hasNeckline,round
54672.jpg,hasLength,long
54672.jpg,hasSilhouette,rectangular
54672.jpg,hasNickname,clock
54672.jpg,belongsToCategory,head
54672.jpg,depicts,glasses
21300.jpg,hasMaterialType,plastic
21300.jpg,hasSilhouette,round
21300.jpg,belongsToCategory,head
21300.jpg,depicts,glasses
17213.jpg,hasMaterialType,plastic
17213.jpg,hasLength,long
17213.jpg,hasSilhouette,round
17213.jpg,belongsToCategory,head
17213.jpg,depicts,glasses
29091.jpg,hasMaterialType,plastic
29091.jpg,hasLength,long
29091.jpg,hasSilhouette,aviator
29091.jpg,belongsToCategory,head
29091.jpg,depicts,glasses
8698.jpg,hasMaterialType,plastic
8698.jpg,hasLength,long
8698.jpg,hasSilhouette,aviator
8698.jpg,belongsToCategory,head
8698.jpg,depicts,glasses
50230.jpg,hasMaterialType,plastic
50230.jpg,hasLength,long
50230.jpg,hasSilhouette,aviator
50230.jpg,belongsToCategory,head
50230.jpg,depicts,glasses
44957.jpg,hasPattern,gradient
44957.jpg,hasFabricTreatment,coated
44957.jpg,hasMaterialType,plastic
44957.jpg,hasSleeveType,sleeveless
44957.jpg,hasLength,short
44957.jpg,hasSilhouette,round
44957.jpg,hasNickname,sunglasses
44957.jpg,belongsToCategory,head
44957.jpg,depicts,glasses
45766.jpg,hasPattern,striped
45766.jpg,hasFabricTreatment,polished
45766.jpg,hasMaterialType,plastic
45766.jpg,hasLength,any
45766.jpg,hasSilhouette,round
45766.jpg,belongsToCategory,head
45766.jpg,depicts,glasses
56361.jpg,hasFabricTreatment,coated
56361.jpg,hasMaterialType,plastic
56361.jpg,hasLength,variable
56361.jpg,hasSilhouette,round
56361.jpg,hasNickname,sunglasses
56361.jpg,belongsToCategory,head
56361.jpg,depicts,glasses
56050.jpg,hasMaterialType,plastic
56050.jpg,hasLength,long
56050.jpg,hasSilhouette,round
56050.jpg,belongsToCategory,head
56050.jpg,depicts,glasses
16850.jpg,hasMaterialType,plastic
16850.jpg,hasLength,long
16850.jpg,hasSilhouette,aviator
16850.jpg,belongsToCategory,head
16850.jpg,depicts,glasses
59585.jpg,hasPattern,striped
59585.jpg,hasMaterialType,plastic
59585.jpg,hasSleeveType,short
59585.jpg,hasNeckline,straight
59585.jpg,hasLength,short
59585.jpg,hasSilhouette,round
59585.jpg,hasNickname,sunglasses
59585.jpg,belongsToCategory,head
59585.jpg,depicts,glasses
38209.jpg,hasMaterialType,plastic
38209.jpg,hasLength,short
38209.jpg,hasSilhouette,round
38209.jpg,hasNickname,sunglasses
38209.jpg,belongsToCategory,head
38209.jpg,depicts,glasses
38184.jpg,hasPattern,solid color
38184.jpg,hasMaterialType,plastic
38184.jpg,hasSilhouette,aviator
38184.jpg,hasNickname,sunglasses
38184.jpg,belongsToCategory,head
38184.jpg,depicts,glasses
16897.jpg,hasMaterialType,plastic
16897.jpg,hasLength,long
16897.jpg,hasSilhouette,aviator
16897.jpg,belongsToCategory,head
16897.jpg,depicts,glasses
38213.jpg,hasMaterialType,plastic
38213.jpg,hasLength,long
38213.jpg,hasSilhouette,aviator
38213.jpg,belongsToCategory,head
38213.jpg,depicts,glasses
23740.jpg,hasMaterialType,plastic
23740.jpg,hasSilhouette,round
23740.jpg,hasNickname,sunglasses
23740.jpg,belongsToCategory,headwear
23740.jpg,depicts,glasses
30684.jpg,hasMaterialType,plastic
30684.jpg,hasLength,long
30684.jpg,hasSilhouette,square
30684.jpg,belongsToCategory,head
30684.jpg,depicts,glasses
21337.jpg,hasMaterialType,plastic
21337.jpg,hasLength,long
21337.jpg,hasSilhouette,oval
21337.jpg,belongsToCategory,head
21337.jpg,depicts,glasses
23785.jpg,hasFabricTreatment,coated
23785.jpg,hasMaterialType,plastic
23785.jpg,hasLength,long
23785.jpg,hasSilhouette,round
23785.jpg,belongsToCategory,head
23785.jpg,depicts,glasses
58978.jpg,hasPattern,striped
58978.jpg,hasMaterialType,plastic
58978.jpg,hasOpeningType,button
58978.jpg,hasSleeveType,sleeveless
58978.jpg,hasNeckline,straight
58978.jpg,hasLength,short
58978.jpg,hasSilhouette,round
58978.jpg,hasNickname,sunglasses
58978.jpg,belongsToCategory,head
58978.jpg,depicts,glasses
8702.jpg,hasMaterialType,plastic
8702.jpg,hasSilhouette,oval
8702.jpg,hasNickname,sunglasses
8702.jpg,belongsToCategory,head
8702.jpg,depicts,glasses
28373.jpg,hasMaterialType,plastic
28373.jpg,hasLength,long
28373.jpg,hasSilhouette,aviator
28373.jpg,belongsToCategory,head
28373.jpg,depicts,glasses
17317.jpg,hasAnimalPattern,no
17317.jpg,hasMaterialType,plastic
17317.jpg,hasLength,short
17317.jpg,hasSilhouette,round
17317.jpg,belongsToCategory,head
17317.jpg,depicts,glasses
8784.jpg,hasPattern,solid color
8784.jpg,hasFabricTreatment,coated
8784.jpg,hasMaterialType,plastic
8784.jpg,hasOpeningType,closed opening
8784.jpg,hasPocketType,pocket-less
8784.jpg,hasSleeveType,sleeveless
8784.jpg,hasNeckline,round neckline
8784.jpg,hasLapelType,no-lapel
8784.jpg,hasLength,full-length
8784.jpg,hasSilhouette,aviator
8784.jpg,hasNickname,sunglasses
8784.jpg,belongsToCategory,head
8784.jpg,depicts,glasses
16875.jpg,hasPattern,striped
16875.jpg,hasFabricTreatment,coated
16875.jpg,hasMaterialType,plastic
16875.jpg,hasOpeningType,button front
16875.jpg,hasSleeveType,sleeveless
16875.jpg,hasNeckline,straight
16875.jpg,hasLength,short
16875.jpg,hasSilhouette,round
16875.jpg,hasNickname,sunglasses
16875.jpg,belongsToCategory,head
16875.jpg,depicts,glasses
30576.jpg,hasMaterialType,plastic
30576.jpg,hasOpeningType,round
30576.jpg,hasLength,short
30576.jpg,hasSilhouette,aviator
30576.jpg,belongsToCategory,head
30576.jpg,depicts,glasses
