relation1,attribute1,relation2,attribute2,frequency
belongsToCategory,upperbody,hasMaterialType,cotton,40
depicts,shirt,hasMaterialType,cotton,40
hasMaterialType,cotton,belongsToCategory,upperbody,40
depicts,shirt,belongsToCategory,upperbody,40
hasMaterialType,cotton,depicts,shirt,40
belongsToCategory,upperbody,depicts,shirt,40
hasWaistline,natural,hasMaterialType,cotton,32
hasMaterialType,cotton,hasWaistline,natural,32
belongsToCategory,upperbody,hasWaistline,natural,32
depicts,shirt,hasWaistline,natural,32
hasWaistline,natural,belongsToCategory,upperbody,32
hasWaistline,natural,depicts,shirt,32
hasSleeveType,long-sleeve,hasMaterialType,cotton,30
hasMaterialType,cotton,hasSleeveType,long-sleeve,30
belongsToCategory,upperbody,hasSleeveType,long-sleeve,30
depicts,shirt,hasSleeveType,long-sleeve,30
hasSleeveType,long-sleeve,belongsToCategory,upperbody,30
hasSleeveType,long-sleeve,depicts,shirt,30
hasOpeningType,button front,hasMaterialType,cotton,29
hasMaterialType,cotton,hasOpeningType,button front,29
belongsToCategory,upperbody,hasOpeningType,button front,29
depicts,shirt,hasOpeningType,button front,29
hasOpeningType,button front,belongsToCategory,upperbody,29
hasOpeningType,button front,depicts,shirt,29
hasSilhouette,straight,hasMaterialType,cotton,27
hasMaterialType,cotton,hasSilhouette,straight,27
belongsToCategory,upperbody,hasSilhouette,straight,27
depicts,shirt,hasSilhouette,straight,27
hasSilhouette,straight,belongsToCategory,upperbody,27
hasSilhouette,straight,depicts,shirt,27
hasNeckline,pointed,hasMaterialType,cotton,25
hasMaterialType,cotton,hasNeckline,pointed,25
belongsToCategory,upperbody,hasNeckline,pointed,25
depicts,shirt,hasNeckline,pointed,25
hasSilhouette,straight,hasWaistline,natural,25
hasWaistline,natural,hasSilhouette,straight,25
hasNeckline,pointed,belongsToCategory,upperbody,25
hasNeckline,pointed,depicts,shirt,25
hasSleeveType,long-sleeve,hasOpeningType,button front,24
hasWaistline,natural,hasOpeningType,button front,24
hasOpeningType,button front,hasSleeveType,long-sleeve,24
hasOpeningType,button front,hasWaistline,natural,24
hasWaistline,natural,hasNeckline,pointed,23
hasNeckline,pointed,hasWaistline,natural,23
hasMaterialType,cotton,hasFabricTreatment,plain weave,22
belongsToCategory,upperbody,hasFabricTreatment,plain weave,22
depicts,shirt,hasFabricTreatment,plain weave,22
hasFabricTreatment,plain weave,hasMaterialType,cotton,22
hasCollarType,spread-collar,hasMaterialType,cotton,22
hasWaistline,natural,hasSleeveType,long-sleeve,22
hasMaterialType,cotton,hasCollarType,spread-collar,22
belongsToCategory,upperbody,hasCollarType,spread-collar,22
depicts,shirt,hasCollarType,spread-collar,22
hasSleeveType,long-sleeve,hasWaistline,natural,22
hasFabricTreatment,plain weave,belongsToCategory,upperbody,22
hasCollarType,spread-collar,belongsToCategory,upperbody,22
hasFabricTreatment,plain weave,depicts,shirt,22
hasCollarType,spread-collar,depicts,shirt,22
hasMaterialType,cotton,hasPattern,striped,20
belongsToCategory,upperbody,hasPattern,striped,20
depicts,shirt,hasPattern,striped,20
hasPattern,striped,hasMaterialType,cotton,20
hasSilhouette,straight,hasOpeningType,button front,20
hasWaistline,natural,hasCollarType,spread-collar,20
hasCollarType,spread-collar,hasWaistline,natural,20
hasOpeningType,button front,hasSilhouette,straight,20
hasPattern,striped,belongsToCategory,upperbody,20
hasPattern,striped,depicts,shirt,20
hasCollarType,spread-collar,hasNeckline,pointed,19
hasSilhouette,straight,hasNeckline,pointed,19
hasNeckline,pointed,hasCollarType,spread-collar,19
hasNeckline,pointed,hasSilhouette,straight,19
hasWaistline,natural,hasFabricTreatment,plain weave,18
hasLength,long,hasMaterialType,cotton,18
hasNeckline,pointed,hasOpeningType,button front,18
hasNeckline,pointed,hasSleeveType,long-sleeve,18
hasOpeningType,button front,hasNeckline,pointed,18
hasSleeveType,long-sleeve,hasNeckline,pointed,18
hasMaterialType,cotton,hasLength,long,18
belongsToCategory,upperbody,hasLength,long,18
depicts,shirt,hasLength,long,18
hasFabricTreatment,plain weave,hasWaistline,natural,18
hasLength,long,belongsToCategory,upperbody,18
hasLength,long,depicts,shirt,18
