relation1,attribute1,relation2,attribute2,frequency
depicts,dress,hasSilhouette,a-line,40
hasSilhouette,a-line,depicts,dress,40
hasSilhouette,a-line,hasCollarType,v-neck,39
depicts,dress,hasCollarType,v-neck,39
hasCollarType,v-neck,hasSilhouette,a-line,39
belongsToCategory,upperbody,hasSilhouette,a-line,39
hasSilhouette,a-line,belongsToCategory,upperbody,39
depicts,dress,belongsToCategory,upperbody,39
hasCollarType,v-neck,depicts,dress,39
belongsToCategory,upperbody,depicts,dress,39
hasSilhouette,a-line,hasNeckline,v-neck,38
depicts,dress,hasNeckline,v-neck,38
belongsToCategory,upperbody,hasCollarType,v-neck,38
hasNeckline,v-neck,hasSilhouette,a-line,38
hasCollarType,v-neck,belongsToCategory,upperbody,38
hasNeckline,v-neck,depicts,dress,38
belongsToCategory,upperbody,hasNeckline,v-neck,37
hasNeckline,v-neck,belongsToCategory,upperbody,37
hasSilhouette,a-line,hasMaterialType,cotton,34
depicts,dress,hasMaterialType,cotton,34
hasMaterialType,cotton,hasSilhouette,a-line,34
hasMaterialType,cotton,depicts,dress,34
hasNeckline,v-neck,hasMaterialType,cotton,33
hasCollarType,v-neck,hasMaterialType,cotton,33
belongsToCategory,upperbody,hasMaterialType,cotton,33
hasMaterialType,cotton,hasNeckline,v-neck,33
hasMaterialType,cotton,hasCollarType,v-neck,33
hasMaterialType,cotton,belongsToCategory,upperbody,33
hasSilhouette,a-line,hasSleeveType,short-sleeve,32
depicts,dress,hasSleeveType,short-sleeve,32
hasLength,knee-length,hasCollarType,v-neck,32
hasCollarType,v-neck,hasLength,knee-length,32
hasSilhouette,a-line,hasLength,knee-length,32
depicts,dress,hasLength,knee-length,32
hasSleeveType,short-sleeve,hasSilhouette,a-line,32
hasLength,knee-length,hasSilhouette,a-line,32
hasSleeveType,short-sleeve,depicts,dress,32
hasLength,knee-length,depicts,dress,32
hasCollarType,v-neck,hasSleeveType,short-sleeve,31
belongsToCategory,upperbody,hasSleeveType,short-sleeve,31
hasSleeveType,short-sleeve,hasCollarType,v-neck,31
belongsToCategory,upperbody,hasLength,knee-length,31
hasSleeveType,short-sleeve,belongsToCategory,upperbody,31
hasLength,knee-length,belongsToCategory,upperbody,31
hasNeckline,v-neck,hasSleeveType,short-sleeve,30
hasSleeveType,short-sleeve,hasNeckline,v-neck,30
hasLength,knee-length,hasNeckline,v-neck,30
hasNeckline,v-neck,hasLength,knee-length,30
hasSleeveType,short-sleeve,hasMaterialType,cotton,28
hasLength,knee-length,hasMaterialType,cotton,28
hasMaterialType,cotton,hasSleeveType,short-sleeve,28
hasMaterialType,cotton,hasLength,knee-length,28
hasLength,knee-length,hasSleeveType,short-sleeve,26
hasSleeveType,short-sleeve,hasLength,knee-length,26
hasNeckline,v-neck,hasPattern,floral,25
hasSilhouette,a-line,hasPattern,floral,25
depicts,dress,hasPattern,floral,25
hasPattern,floral,hasNeckline,v-neck,25
hasPattern,floral,hasSilhouette,a-line,25
hasPattern,floral,depicts,dress,25
hasCollarType,v-neck,hasPattern,floral,24
belongsToCategory,upperbody,hasPattern,floral,24
hasPattern,floral,hasCollarType,v-neck,24
hasPattern,floral,belongsToCategory,upperbody,24
hasMaterialType,cotton,hasPattern,floral,23
hasPattern,floral,hasMaterialType,cotton,23
hasSleeveType,short-sleeve,hasPattern,floral,20
hasLength,knee-length,hasPattern,floral,20
hasPattern,floral,hasSleeveType,short-sleeve,20
hasPattern,floral,hasLength,knee-length,20
hasWaistline,natural,hasNeckline,v-neck,17
hasWaistline,natural,hasCollarType,v-neck,17
hasNeckline,v-neck,hasWaistline,natural,17
hasCollarType,v-neck,hasWaistline,natural,17
hasSilhouette,a-line,hasWaistline,natural,17
belongsToCategory,upperbody,hasWaistline,natural,17
depicts,dress,hasWaistline,natural,17
hasWaistline,natural,hasSilhouette,a-line,17
hasWaistline,natural,belongsToCategory,upperbody,17
hasWaistline,natural,depicts,dress,17
hasSilhouette,a-line,hasWaistline,high-waisted,17
depicts,dress,hasWaistline,high-waisted,17
hasWaistline,high-waisted,hasSilhouette,a-line,17
hasWaistline,high-waisted,depicts,dress,17
hasWaistline,natural,hasMaterialType,cotton,16
hasMaterialType,cotton,hasWaistline,natural,16
hasWaistline,high-waisted,hasCollarType,v-neck,16
hasCollarType,v-neck,hasWaistline,high-waisted,16
belongsToCategory,upperbody,hasWaistline,high-waisted,16
hasWaistline,high-waisted,belongsToCategory,upperbody,16
hasWaistline,natural,hasSleeveType,short-sleeve,15
hasWaistline,natural,hasLength,knee-length,15
hasSleeveType,short-sleeve,hasWaistline,natural,15
hasLength,knee-length,hasWaistline,natural,15
hasWaistline,high-waisted,hasNeckline,v-neck,15
hasNeckline,v-neck,hasWaistline,high-waisted,15
hasWaistline,high-waisted,hasMaterialType,cotton,13
hasMaterialType,cotton,hasWaistline,high-waisted,13
hasOpeningType,zipper,hasMaterialType,cotton,12
hasMaterialType,cotton,hasOpeningType,zipper,12
hasSilhouette,a-line,hasOpeningType,zipper,12
belongsToCategory,upperbody,hasOpeningType,zipper,12
depicts,dress,hasOpeningType,zipper,12
hasOpeningType,zipper,hasSilhouette,a-line,12
hasOpeningType,zipper,belongsToCategory,upperbody,12
hasOpeningType,zipper,depicts,dress,12
hasWaistline,high-waisted,hasPattern,floral,11
hasWaistline,high-waisted,hasSleeveType,short-sleeve,11
hasWaistline,high-waisted,hasLength,knee-length,11
hasPattern,floral,hasWaistline,high-waisted,11
hasSleeveType,short-sleeve,hasWaistline,high-waisted,11
hasLength,knee-length,hasWaistline,high-waisted,11
hasNeckline,v-neck,hasOpeningType,zipper,11
hasCollarType,v-neck,hasOpeningType,zipper,11
hasOpeningType,zipper,hasNeckline,v-neck,11
hasOpeningType,zipper,hasCollarType,v-neck,11
hasWaistline,natural,hasPattern,floral,9
hasPattern,floral,hasWaistline,natural,9
hasLength,knee-length,hasOpeningType,zipper,9
hasOpeningType,zipper,hasLength,knee-length,9
hasCollarType,v-neck,hasPattern,striped,9
hasSilhouette,a-line,hasPattern,striped,9
belongsToCategory,upperbody,hasPattern,striped,9
depicts,dress,hasPattern,striped,9
hasPattern,striped,hasCollarType,v-neck,9
hasPattern,striped,hasSilhouette,a-line,9
hasPattern,striped,belongsToCategory,upperbody,9
hasPattern,striped,depicts,dress,9
hasSleeveType,short-sleeve,hasOpeningType,zipper,9
hasOpeningType,zipper,hasSleeveType,short-sleeve,9
hasOpeningType,zipper,hasPattern,floral,8
hasMaterialType,cotton,hasFabricTreatment,plain weave,8
hasNeckline,v-neck,hasFabricTreatment,plain weave,8
hasCollarType,v-neck,hasFabricTreatment,plain weave,8
hasSilhouette,a-line,hasFabricTreatment,plain weave,8
belongsToCategory,upperbody,hasFabricTreatment,plain weave,8
depicts,dress,hasFabricTreatment,plain weave,8
hasFabricTreatment,plain weave,hasMaterialType,cotton,8
hasPattern,floral,hasOpeningType,zipper,8
hasFabricTreatment,plain weave,hasNeckline,v-neck,8
hasFabricTreatment,plain weave,hasCollarType,v-neck,8
hasFabricTreatment,plain weave,hasSilhouette,a-line,8
hasFabricTreatment,plain weave,belongsToCategory,upperbody,8
hasFabricTreatment,plain weave,depicts,dress,8
hasMaterialType,cotton,hasPattern,striped,8
hasNeckline,v-neck,hasPattern,striped,8
hasLength,knee-length,hasPattern,striped,8
hasPattern,striped,hasMaterialType,cotton,8
hasPattern,striped,hasNeckline,v-neck,8
hasPattern,striped,hasLength,knee-length,8
hasLength,knee-length,hasFabricTreatment,plain weave,7
hasFabricTreatment,plain weave,hasLength,knee-length,7
hasSleeveType,short-sleeve,hasPattern,striped,7
hasWaistline,natural,hasPattern,striped,7
hasPattern,striped,hasSleeveType,short-sleeve,7
hasPattern,striped,hasWaistline,natural,7
hasWaistline,high-waisted,hasOpeningType,zipper,6
hasOpeningType,zipper,hasWaistline,high-waisted,6
hasWaistline,natural,hasOpeningType,zipper,6
hasOpeningType,zipper,hasWaistline,natural,6
hasOpeningType,button,hasMaterialType,cotton,5
hasMaterialType,cotton,hasOpeningType,button,5
hasSleeveType,short-sleeve,hasOpeningType,button,5
hasNeckline,v-neck,hasOpeningType,button,5
hasCollarType,v-neck,hasOpeningType,button,5
hasSilhouette,a-line,hasOpeningType,button,5
belongsToCategory,upperbody,hasOpeningType,button,5
depicts,dress,hasOpeningType,button,5
hasOpeningType,button,hasSleeveType,short-sleeve,5
hasOpeningType,button,hasNeckline,v-neck,5
hasOpeningType,button,hasCollarType,v-neck,5
hasOpeningType,button,hasSilhouette,a-line,5
hasOpeningType,button,belongsToCategory,upperbody,5
hasOpeningType,button,depicts,dress,5
hasWaistline,natural-waist,hasMaterialType,cotton,4
hasWaistline,natural-waist,hasSleeveType,short-sleeve,4
hasWaistline,natural-waist,hasNeckline,v-neck,4
hasWaistline,natural-waist,hasCollarType,v-neck,4
hasMaterialType,cotton,hasWaistline,natural-waist,4
hasSleeveType,short-sleeve,hasWaistline,natural-waist,4
hasNeckline,v-neck,hasWaistline,natural-waist,4
hasCollarType,v-neck,hasWaistline,natural-waist,4
hasLength,knee-length,hasWaistline,natural-waist,4
hasSilhouette,a-line,hasWaistline,natural-waist,4
