product,relationship,attribute
21896.jpg,hasPattern,floral
21896.jpg,hasMaterialType,cotton
21896.jpg,hasOpeningType,zipper closure
21896.jpg,hasSleeveType,short-sleeve
21896.jpg,hasNeckline,v-neck
21896.jpg,hasCollarType,v-neck
21896.jpg,hasLength,knee-length
21896.jpg,hasWaistline,natural
21896.jpg,hasSilhouette,a-line
21896.jpg,belongsToCategory,upperbody
21896.jpg,depicts,dress
45845.jpg,hasPattern,floral
45845.jpg,hasMaterialType,cotton
45845.jpg,hasOpeningType,button front
45845.jpg,hasSleeveType,short-sleeve
45845.jpg,hasNeckline,v-neck
45845.jpg,hasCollarType,v-neck
45845.jpg,hasLength,knee-length
45845.jpg,hasWaistline,high-waisted
45845.jpg,hasSilhouette,a-line
45845.jpg,belongsToCategory,upperbody
45845.jpg,depicts,dress
24373.jpg,hasPattern,floral
24373.jpg,hasMaterialType,cotton
24373.jpg,hasOpeningType,round neckline
24373.jpg,hasSleeveType,short-sleeve
24373.jpg,hasNeckline,v-neck
24373.jpg,hasCollarType,v-neck
24373.jpg,hasWaistline,natural-waist
24373.jpg,hasLength,knee-length
24373.jpg,hasSilhouette,a-line
24373.jpg,belongsToCategory,upperbody
24373.jpg,depicts,dress
33743.jpg,hasPattern,striped pattern
33743.jpg,hasMaterialType,cotton material
33743.jpg,hasOpeningType,zipper opening
33743.jpg,hasSleeveType,short-sleeve
33743.jpg,hasNeckline,v-neckline
33743.jpg,hasCollarType,v-neck
33743.jpg,hasLength,knee-length
33743.jpg,hasWaistline,high-waisted
33743.jpg,hasSilhouette,a-line
33743.jpg,belongsToCategory,upperbody
33743.jpg,depicts,dress
28704.jpg,hasPattern,floral
28704.jpg,hasMaterialType,cotton
28704.jpg,hasSleeveType,short-sleeve
28704.jpg,hasNeckline,v-neck
28704.jpg,hasCollarType,v-neck
28704.jpg,hasLength,knee-length
28704.jpg,hasWaistline,natural waistline
28704.jpg,hasSilhouette,a-line
28704.jpg,belongsToCategory,upperbody
28704.jpg,depicts,dress
59365.jpg,hasPattern,floral
59365.jpg,hasMaterialType,cotton material
59365.jpg,hasOpeningType,zipper opening
59365.jpg,hasSleeveType,short-sleeve
59365.jpg,hasNeckline,v-neck
59365.jpg,hasLapelType,notch lapel
59365.jpg,hasCollarType,v-neck
59365.jpg,hasLength,knee-length
59365.jpg,hasWaistline,natural waistline
59365.jpg,hasSilhouette,a-line
59365.jpg,belongsToCategory,upperbody
59365.jpg,depicts,dress
37929.jpg,hasPattern,floral
37929.jpg,hasFabricTreatment,plain weave
37929.jpg,hasMaterialType,cotton
37929.jpg,hasOpeningType,zipper
37929.jpg,hasSleeveType,sleeveless
37929.jpg,hasNeckline,v-neck
37929.jpg,hasCollarType,v-neck
37929.jpg,hasLength,knee-length
37929.jpg,hasWaistline,high-waisted
37929.jpg,hasSilhouette,a-line
37929.jpg,belongsToCategory,upperbody
37929.jpg,depicts,dress
7414.jpg,hasPattern,floral
7414.jpg,hasMaterialType,cotton
7414.jpg,hasNeckline,v-neck
7414.jpg,hasCollarType,v-neck
7414.jpg,hasLength,knee-length dress
7414.jpg,hasWaistline,high-waisted
7414.jpg,hasSilhouette,a-line
7414.jpg,belongsToCategory,upperbody
7414.jpg,depicts,dress
36827.jpg,hasPattern,floral
36827.jpg,hasMaterialType,cotton
36827.jpg,hasSleeveType,short-sleeve
36827.jpg,hasNeckline,v-neck
36827.jpg,hasCollarType,v-neck
36827.jpg,hasLength,knee-length
36827.jpg,hasWaistline,natural-waist
36827.jpg,hasSilhouette,a-line
36827.jpg,belongsToCategory,upperbody
36827.jpg,depicts,dress
54587.jpg,hasPattern,floral
54587.jpg,hasFabricTreatment,plain weave
54587.jpg,hasMaterialType,cotton
54587.jpg,hasOpeningType,front opening
54587.jpg,hasNeckline,v-neck
54587.jpg,hasCollarType,v-neck
54587.jpg,hasLength,knee-length
54587.jpg,hasWaistline,high-waisted
54587.jpg,hasSilhouette,a-line
54587.jpg,belongsToCategory,upperbody
54587.jpg,depicts,dress
42683.jpg,hasPattern,floral
42683.jpg,hasMaterialType,cotton
42683.jpg,hasOpeningType,button front
42683.jpg,hasNeckline,v-neck
42683.jpg,hasCollarType,v-neck
42683.jpg,hasLength,above the knee
42683.jpg,hasWaistline,high-waisted
42683.jpg,hasSilhouette,a-line
42683.jpg,belongsToCategory,upperbody
42683.jpg,depicts,dress
39474.jpg,hasPattern,striped
39474.jpg,hasFabricTreatment,unfinished seams
39474.jpg,hasMaterialType,cotton
39474.jpg,hasOpeningType,button
39474.jpg,hasSleeveType,short-sleeve
39474.jpg,hasNeckline,v-neck
39474.jpg,hasCollarType,v-neck
39474.jpg,hasLength,knee-length
39474.jpg,hasWaistline,natural
39474.jpg,hasSilhouette,a-line
39474.jpg,belongsToCategory,upperbody
39474.jpg,depicts,dress
45725.jpg,hasFabricTreatment,plain weave
45725.jpg,hasMaterialType,cotton
45725.jpg,hasSleeveType,short-sleeve
45725.jpg,hasNeckline,v-neck
45725.jpg,hasCollarType,v-neck
45725.jpg,hasWaistline,natural-waist
45725.jpg,hasLength,knee-length
45725.jpg,hasSilhouette,a-line
45725.jpg,belongsToCategory,upperbody
45725.jpg,depicts,dress
18278.jpg,hasPattern,floral
18278.jpg,hasFabricTreatment,plain weave
18278.jpg,hasMaterialType,cotton
18278.jpg,hasOpeningType,zipper
18278.jpg,hasSleeveType,long
18278.jpg,hasNeckline,v-neck
18278.jpg,hasCollarType,v-neck
18278.jpg,hasLength,knee-length
18278.jpg,hasWaistline,natural
18278.jpg,hasSilhouette,a-line
18278.jpg,belongsToCategory,upperbody
18278.jpg,depicts,dress
45685.jpg,hasPattern,floral
45685.jpg,hasMaterialType,cotton
45685.jpg,hasOpeningType,zipper
45685.jpg,hasSleeveType,short-sleeve
45685.jpg,hasNeckline,v-neck
45685.jpg,hasCollarType,round neck
45685.jpg,hasLength,long
45685.jpg,hasWaistline,high-waisted
45685.jpg,hasSilhouette,a-line
45685.jpg,belongsToCategory,upperbody
45685.jpg,depicts,dress
11814.jpg,hasPattern,polka-dot
11814.jpg,hasMaterialType,cotton
11814.jpg,hasOpeningType,button
11814.jpg,hasSleeveType,short-sleeve
11814.jpg,hasNeckline,v-neck
11814.jpg,hasCollarType,v-neck
11814.jpg,hasLength,knee-length
11814.jpg,hasWaistline,natural
11814.jpg,hasSilhouette,a-line
11814.jpg,belongsToCategory,upperbody
11814.jpg,depicts,dress
45856.jpg,hasPattern,floral
45856.jpg,hasMaterialType,cotton
45856.jpg,hasOpeningType,zipper
45856.jpg,hasSleeveType,short-sleeve
45856.jpg,hasNeckline,v-neck
45856.jpg,hasCollarType,v-neck
45856.jpg,hasLength,knee-length
45856.jpg,hasWaistline,high-waisted
45856.jpg,hasSilhouette,a-line
45856.jpg,belongsToCategory,upperbody
45856.jpg,depicts,dress
33210.jpg,hasPattern,striped
33210.jpg,hasFabricTreatment,plain weave
33210.jpg,hasMaterialType,cotton
33210.jpg,hasOpeningType,button
33210.jpg,hasSleeveType,short-sleeve
33210.jpg,hasNeckline,v-neck
33210.jpg,hasCollarType,v-neck
