relation1,attribute1,relation2,attribute2,frequency
belongsToCategory,lowerbody,hasMaterialType,synthetic,40
depicts,shoes,hasMaterialType,synthetic,40
hasMaterialType,synthetic,belongsToCategory,lowerbody,40
depicts,shoes,belongsToCategory,lowerbody,40
hasMaterialType,synthetic,depicts,shoes,40
belongsToCategory,lowerbody,depicts,shoes,40
hasOpeningType,lace-up,hasMaterialType,synthetic,23
hasMaterialType,synthetic,hasOpeningType,lace-up,23
belongsToCategory,lowerbody,hasOpeningType,lace-up,23
depicts,shoes,hasOpeningType,lace-up,23
hasOpeningType,lace-up,belongsToCategory,lowerbody,23
hasOpeningType,lace-up,depicts,shoes,23
hasMaterialType,synthetic,hasPattern,solid color,20
belongsToCategory,lowerbody,hasPattern,solid color,20
depicts,shoes,hasPattern,solid color,20
hasPattern,solid color,hasMaterialType,synthetic,20
hasNeckline,round,hasMaterialType,synthetic,20
hasMaterialType,synthetic,hasNeckline,round,20
belongsToCategory,lowerbody,hasNeckline,round,20
depicts,shoes,hasNeckline,round,20
hasPattern,solid color,belongsToCategory,lowerbody,20
hasNeckline,round,belongsToCategory,lowerbody,20
hasPattern,solid color,depicts,shoes,20
hasNeckline,round,depicts,shoes,20
hasLength,short,hasMaterialType,synthetic,13
hasMaterialType,synthetic,hasLength,short,13
belongsToCategory,lowerbody,hasLength,short,13
depicts,shoes,hasLength,short,13
hasLength,short,belongsToCategory,lowerbody,13
hasLength,short,depicts,shoes,13
hasSleeveType,sleeveless,hasMaterialType,synthetic,12
hasMaterialType,synthetic,hasSleeveType,sleeveless,12
belongsToCategory,lowerbody,hasSleeveType,sleeveless,12
depicts,shoes,hasSleeveType,sleeveless,12
hasSleeveType,sleeveless,belongsToCategory,lowerbody,12
hasSleeveType,sleeveless,depicts,shoes,12
hasOpeningType,lace-up,hasPattern,solid color,11
hasPattern,solid color,hasOpeningType,lace-up,11
hasNeckline,round,hasOpeningType,lace-up,11
hasOpeningType,lace-up,hasNeckline,round,11
hasMaterialType,synthetic,hasPattern,striped,10
belongsToCategory,lowerbody,hasPattern,striped,10
depicts,shoes,hasPattern,striped,10
hasPattern,striped,hasMaterialType,synthetic,10
hasPattern,striped,belongsToCategory,lowerbody,10
hasPattern,striped,depicts,shoes,10
hasNeckline,round,hasPattern,solid color,9
hasPattern,solid color,hasNeckline,round,9
hasSleeveType,sleeveless,hasPattern,solid color,8
hasPattern,solid color,hasSleeveType,sleeveless,8
hasSleeveType,short,hasMaterialType,synthetic,8
hasMaterialType,synthetic,hasSleeveType,short,8
belongsToCategory,lowerbody,hasSleeveType,short,8
depicts,shoes,hasSleeveType,short,8
hasSleeveType,short,belongsToCategory,lowerbody,8
hasSleeveType,short,depicts,shoes,8
hasLength,low-top,hasMaterialType,synthetic,8
hasMaterialType,synthetic,hasLength,low-top,8
belongsToCategory,lowerbody,hasLength,low-top,8
depicts,shoes,hasLength,low-top,8
hasLength,low-top,belongsToCategory,lowerbody,8
hasLength,low-top,depicts,shoes,8
hasLength,ankle-high,hasMaterialType,synthetic,8
hasLength,ankle-high,hasOpeningType,lace-up,8
hasMaterialType,synthetic,hasLength,ankle-high,8
hasOpeningType,lace-up,hasLength,ankle-high,8
belongsToCategory,lowerbody,hasLength,ankle-high,8
depicts,shoes,hasLength,ankle-high,8
hasLength,ankle-high,belongsToCategory,lowerbody,8
hasLength,ankle-high,depicts,shoes,8
hasLength,short,hasPattern,solid color,7
hasNeckline,round,hasSleeveType,sleeveless,7
hasLength,short,hasSleeveType,sleeveless,7
hasSleeveType,sleeveless,hasNeckline,round,7
hasPattern,solid color,hasLength,short,7
hasSleeveType,sleeveless,hasLength,short,7
hasLength,midi,hasMaterialType,synthetic,7
hasSilhouette,athletic,hasMaterialType,synthetic,7
hasSleeveType,short,hasOpeningType,lace-up,7
hasOpeningType,lace-up,hasSleeveType,short,7
hasMaterialType,synthetic,hasLength,midi,7
belongsToCategory,lowerbody,hasLength,midi,7
depicts,shoes,hasLength,midi,7
hasMaterialType,synthetic,hasSilhouette,athletic,7
belongsToCategory,lowerbody,hasSilhouette,athletic,7
depicts,shoes,hasSilhouette,athletic,7
hasLength,midi,belongsToCategory,lowerbody,7
hasSilhouette,athletic,belongsToCategory,lowerbody,7
hasLength,midi,depicts,shoes,7
hasSilhouette,athletic,depicts,shoes,7
hasOpeningType,lace-up,hasPattern,striped,7
hasPattern,striped,hasOpeningType,lace-up,7
hasNeckline,round,hasPattern,striped,7
hasPattern,striped,hasNeckline,round,7
hasSilhouette,round,hasMaterialType,synthetic,7
hasMaterialType,synthetic,hasSilhouette,round,7
belongsToCategory,lowerbody,hasSilhouette,round,7
depicts,shoes,hasSilhouette,round,7
hasSilhouette,round,belongsToCategory,lowerbody,7
hasSilhouette,round,depicts,shoes,7
hasSilhouette,athletic,hasOpeningType,lace-up,6
hasOpeningType,lace-up,hasSilhouette,athletic,6
hasSilhouette,flat,hasMaterialType,synthetic,6
hasMaterialType,synthetic,hasSilhouette,flat,6
belongsToCategory,lowerbody,hasSilhouette,flat,6
depicts,shoes,hasSilhouette,flat,6
hasSilhouette,flat,belongsToCategory,lowerbody,6
hasSilhouette,flat,depicts,shoes,6
hasNeckline,round,hasSleeveType,short,6
hasSleeveType,short,hasNeckline,round,6
hasLength,ankle-high,hasNeckline,round,6
hasNeckline,round,hasLength,ankle-high,6
hasLength,low-top,hasOpeningType,lace-up,6
hasSilhouette,round,hasOpeningType,lace-up,6
hasOpeningType,lace-up,hasLength,low-top,6
hasOpeningType,lace-up,hasSilhouette,round,6
hasSilhouette,athletic,hasSleeveType,short,5
hasSleeveType,short,hasSilhouette,athletic,5
hasSilhouette,flat,hasPattern,solid color,5
hasSilhouette,flat,hasLength,short,5
hasPattern,solid color,hasSilhouette,flat,5
hasLength,short,hasSilhouette,flat,5
hasLength,low-top,hasNeckline,round,5
hasSilhouette,athletic,hasNeckline,round,5
hasNeckline,round,hasLength,low-top,5
hasNeckline,round,hasSilhouette,athletic,5
hasSilhouette,round,hasLength,low-top,5
hasLength,low-top,hasSilhouette,round,5
hasLength,ankle-high,hasPattern,solid color,5
hasPattern,solid color,hasLength,ankle-high,5
hasLength,short,hasNeckline,round,4
hasNeckline,round,hasLength,short,4
hasSleeveType,short,hasPattern,striped,4
hasPattern,striped,hasSleeveType,short,4
hasOpeningType,closed,hasMaterialType,synthetic,4
hasMaterialType,synthetic,hasOpeningType,closed,4
belongsToCategory,lowerbody,hasOpeningType,closed,4
depicts,shoes,hasOpeningType,closed,4
hasOpeningType,closed,belongsToCategory,lowerbody,4
hasOpeningType,closed,depicts,shoes,4
hasMaterialType,synthetic,hasFabricTreatment,waterproof,4
belongsToCategory,lowerbody,hasFabricTreatment,waterproof,4
depicts,shoes,hasFabricTreatment,waterproof,4
hasFabricTreatment,waterproof,hasMaterialType,synthetic,4
hasFabricTreatment,waterproof,belongsToCategory,lowerbody,4
hasFabricTreatment,waterproof,depicts,shoes,4
hasOpeningType,slip-on,hasPattern,solid color,4
hasOpeningType,slip-on,hasMaterialType,synthetic,4
hasPattern,solid color,hasOpeningType,slip-on,4
hasMaterialType,synthetic,hasOpeningType,slip-on,4
belongsToCategory,lowerbody,hasOpeningType,slip-on,4
depicts,shoes,hasOpeningType,slip-on,4
hasSilhouette,flat,hasSleeveType,sleeveless,4
hasSleeveType,sleeveless,hasSilhouette,flat,4
hasOpeningType,slip-on,belongsToCategory,lowerbody,4
hasOpeningType,slip-on,depicts,shoes,4
hasLength,ankle-high,hasSleeveType,short,4
hasSleeveType,short,hasLength,ankle-high,4
hasSilhouette,athletic,hasLength,ankle-high,4
hasLength,ankle-high,hasSilhouette,athletic,4
hasSilhouette,slip-on,hasMaterialType,synthetic,4
hasSilhouette,slip-on,hasSleeveType,sleeveless,4
hasSilhouette,slip-on,hasNeckline,round,4
hasMaterialType,synthetic,hasSilhouette,slip-on,4
hasSleeveType,sleeveless,hasSilhouette,slip-on,4
hasNeckline,round,hasSilhouette,slip-on,4
belongsToCategory,lowerbody,hasSilhouette,slip-on,4
depicts,shoes,hasSilhouette,slip-on,4
hasSilhouette,slip-on,belongsToCategory,lowerbody,4
hasSilhouette,slip-on,depicts,shoes,4
hasLength,low-top,hasPattern,solid color,4
hasSilhouette,round,hasPattern,solid color,4
hasPattern,solid color,hasLength,low-top,4
hasPattern,solid color,hasSilhouette,round,4
hasLength,midi,hasOpeningType,lace-up,3
hasOpeningType,lace-up,hasLength,midi,3
hasLength,midi,hasPattern,striped,3
hasPattern,striped,hasLength,midi,3
hasNeckline,round,hasFabricTreatment,waterproof,3
hasFabricTreatment,waterproof,hasNeckline,round,3
hasMaterialType,synthetic,hasFabricTreatment,perforated,3
hasNeckline,round,hasFabricTreatment,perforated,3
belongsToCategory,lowerbody,hasFabricTreatment,perforated,3
depicts,shoes,hasFabricTreatment,perforated,3
hasFabricTreatment,perforated,hasMaterialType,synthetic,3
hasFabricTreatment,perforated,hasNeckline,round,3
hasFabricTreatment,perforated,belongsToCategory,lowerbody,3
hasFabricTreatment,perforated,depicts,shoes,3
hasLength,short,hasOpeningType,lace-up,3
hasOpeningType,lace-up,hasLength,short,3
hasSleeveType,sleeveless,hasOpeningType,slip-on,3
hasNeckline,round,hasOpeningType,slip-on,3
hasOpeningType,slip-on,hasSleeveType,sleeveless,3
hasOpeningType,slip-on,hasNeckline,round,3
hasLength,ankle-high,hasPattern,striped,3
hasSilhouette,athletic,hasPattern,striped,3
hasPattern,striped,hasLength,ankle-high,3
hasPattern,striped,hasSilhouette,athletic,3
hasSleeveType,closed,hasMaterialType,synthetic,3
hasSleeveType,closed,hasOpeningType,lace-up,3
hasMaterialType,synthetic,hasSleeveType,closed,3
hasOpeningType,lace-up,hasSleeveType,closed,3
belongsToCategory,lowerbody,hasSleeveType,closed,3
depicts,shoes,hasSleeveType,closed,3
hasSleeveType,closed,belongsToCategory,lowerbody,3
hasSleeveType,closed,depicts,shoes,3
hasSleeveType,sleeveless,hasPattern,striped,3
hasOpeningType,velcro,hasMaterialType,synthetic,3
hasMaterialType,synthetic,hasOpeningType,velcro,3
hasSleeveType,sleeveless,hasOpeningType,velcro,3
hasLength,short,hasOpeningType,velcro,3
belongsToCategory,lowerbody,hasOpeningType,velcro,3
depicts,shoes,hasOpeningType,velcro,3
hasPattern,striped,hasSleeveType,sleeveless,3
hasOpeningType,velcro,hasSleeveType,sleeveless,3
hasOpeningType,velcro,hasLength,short,3
hasOpeningType,velcro,belongsToCategory,lowerbody,3
hasOpeningType,velcro,depicts,shoes,3
hasSleeveType,long-sleeve,hasMaterialType,synthetic,3
hasSleeveType,long-sleeve,hasOpeningType,lace-up,3
hasMaterialType,synthetic,hasSleeveType,long-sleeve,3
hasOpeningType,lace-up,hasSleeveType,long-sleeve,3
hasSilhouette,round,hasSleeveType,long-sleeve,3
belongsToCategory,lowerbody,hasSleeveType,long-sleeve,3
depicts,shoes,hasSleeveType,long-sleeve,3
hasSleeveType,long-sleeve,hasSilhouette,round,3
hasSleeveType,long-sleeve,belongsToCategory,lowerbody,3
hasSleeveType,long-sleeve,depicts,shoes,3
hasSleeveType,sleeveless,hasOpeningType,lace-up,3
hasOpeningType,lace-up,hasSleeveType,sleeveless,3
hasMaterialType,synthetic,hasFabricTreatment,brushed,3
hasOpeningType,lace-up,hasFabricTreatment,brushed,3
belongsToCategory,lowerbody,hasFabricTreatment,brushed,3
depicts,shoes,hasFabricTreatment,brushed,3
hasFabricTreatment,brushed,hasMaterialType,synthetic,3
hasFabricTreatment,brushed,hasOpeningType,lace-up,3
hasFabricTreatment,brushed,belongsToCategory,lowerbody,3
hasFabricTreatment,brushed,depicts,shoes,3
hasSilhouette,slipper,hasMaterialType,synthetic,2
hasMaterialType,synthetic,hasSilhouette,slipper,2
belongsToCategory,lowerbody,hasSilhouette,slipper,2
depicts,shoes,hasSilhouette,slipper,2
hasSilhouette,slipper,belongsToCategory,lowerbody,2
hasSilhouette,slipper,depicts,shoes,2
hasLength,midi,hasSleeveType,short,2
hasSleeveType,short,hasLength,midi,2
hasSilhouette,athletic,hasLength,midi,2
hasLength,midi,hasSilhouette,athletic,2
hasFabricTreatment,no treatment,hasPattern,solid color,2
hasOpeningType,closed,hasPattern,solid color,2
hasPattern,solid color,hasFabricTreatment,no treatment,2
hasMaterialType,synthetic,hasFabricTreatment,no treatment,2
belongsToCategory,lowerbody,hasFabricTreatment,no treatment,2
depicts,shoes,hasFabricTreatment,no treatment,2
hasFabricTreatment,no treatment,hasMaterialType,synthetic,2
hasPattern,solid color,hasOpeningType,closed,2
hasFabricTreatment,no treatment,belongsToCategory,lowerbody,2
hasFabricTreatment,no treatment,depicts,shoes,2
hasSleeveType,short,hasFabricTreatment,waterproof,2
hasNeckline,round,hasOpeningType,closed,2
hasFabricTreatment,waterproof,hasSleeveType,short,2
hasLength,low-top,hasSleeveType,short,2
hasOpeningType,closed,hasNeckline,round,2
hasSleeveType,short,hasLength,low-top,2
hasOpeningType,lace-up,hasFabricTreatment,perforated,2
hasFabricTreatment,perforated,hasOpeningType,lace-up,2
hasSilhouette,closed-toe,hasPattern,solid color,2
hasSleeveType,short-sleeve,hasMaterialType,synthetic,2
hasSilhouette,closed-toe,hasMaterialType,synthetic,2
hasSleeveType,short-sleeve,hasOpeningType,closed,2
hasLength,midi,hasOpeningType,closed,2
hasMaterialType,synthetic,hasSleeveType,short-sleeve,2
hasOpeningType,closed,hasSleeveType,short-sleeve,2
hasLength,midi,hasSleeveType,short-sleeve,2
belongsToCategory,lowerbody,hasSleeveType,short-sleeve,2
depicts,shoes,hasSleeveType,short-sleeve,2
hasOpeningType,closed,hasLength,midi,2
hasSleeveType,short-sleeve,hasLength,midi,2
hasPattern,solid color,hasSilhouette,closed-toe,2
hasMaterialType,synthetic,hasSilhouette,closed-toe,2
belongsToCategory,lowerbody,hasSilhouette,closed-toe,2
depicts,shoes,hasSilhouette,closed-toe,2
hasSleeveType,short-sleeve,belongsToCategory,lowerbody,2
hasSilhouette,closed-toe,belongsToCategory,lowerbody,2
