product,relationship,attribute
35535.jpg,hasPattern,solid color
35535.jpg,hasMaterialType,synthetic
35535.jpg,hasOpeningType,open-front
35535.jpg,hasSleeveType,sleeveless
35535.jpg,hasNeckline,round
35535.jpg,hasLength,short
35535.jpg,hasSilhouette,open-toed
35535.jpg,belongsToCategory,lowerbody
35535.jpg,depicts,shoes
12688.jpg,hasMaterialType,synthetic
12688.jpg,hasOpeningType,strap
12688.jpg,hasLength,short
12688.jpg,hasSilhouette,slipper
12688.jpg,belongsToCategory,lowerbody
12688.jpg,depicts,shoes
29240.jpg,hasFabricTreatment,textured
29240.jpg,hasMaterialType,synthetic
29240.jpg,hasOpeningType,lace-up
29240.jpg,hasSleeveType,short
29240.jpg,hasNeckline,no neckline
29240.jpg,hasLength,midi
29240.jpg,hasSilhouette,athletic
29240.jpg,belongsToCategory,lowerbody
29240.jpg,depicts,shoes
29258.jpg,hasPattern,striped
29258.jpg,hasFabricTreatment,perforations
29258.jpg,hasMaterialType,synthetic
29258.jpg,hasOpeningType,lace-up
29258.jpg,hasSleeveType,short
29258.jpg,hasLength,midi
29258.jpg,hasSilhouette,regular
29258.jpg,belongsToCategory,lowerbody
29258.jpg,depicts,shoes
24630.jpg,hasPattern,solid color
24630.jpg,hasFabricTreatment,no treatment
24630.jpg,hasMaterialType,synthetic
24630.jpg,hasOpeningType,closed
24630.jpg,hasLength,short
24630.jpg,hasSilhouette,flat
24630.jpg,belongsToCategory,lowerbody
24630.jpg,depicts,shoes
6134.jpg,hasPattern,stripe
6134.jpg,hasFabricTreatment,waterproof
6134.jpg,hasMaterialType,synthetic
6134.jpg,hasOpeningType,closed
6134.jpg,hasSleeveType,short
6134.jpg,hasNeckline,round
6134.jpg,hasLength,low-top
6134.jpg,hasSilhouette,athletic
6134.jpg,belongsToCategory,lowerbody
6134.jpg,depicts,shoes
39667.jpg,hasPattern,solid color
39667.jpg,hasFabricTreatment,perforated
39667.jpg,hasMaterialType,synthetic
39667.jpg,hasOpeningType,lace-up
39667.jpg,hasNeckline,round
39667.jpg,hasLength,long
39667.jpg,hasSilhouette,slipper
39667.jpg,belongsToCategory,lowerbody
39667.jpg,depicts,shoes
20865.jpg,hasPattern,solid color
20865.jpg,hasFabricTreatment,treated
20865.jpg,hasMaterialType,synthetic
20865.jpg,hasOpeningType,closed
20865.jpg,hasSleeveType,short-sleeve
20865.jpg,hasLength,midi
20865.jpg,hasSilhouette,closed-toe
20865.jpg,belongsToCategory,lowerbody
20865.jpg,depicts,shoes
5699.jpg,hasMaterialType,synthetic
5699.jpg,hasOpeningType,lace-up
5699.jpg,hasLength,short
5699.jpg,hasSilhouette,low-top
5699.jpg,belongsToCategory,lowerbody
5699.jpg,depicts,shoes
57009.jpg,hasPattern,solid color
57009.jpg,hasMaterialType,synthetic
57009.jpg,hasOpeningType,slip-on
57009.jpg,hasSleeveType,sleeveless
57009.jpg,hasNeckline,round
57009.jpg,hasLength,low-cut
57009.jpg,hasSilhouette,flat
57009.jpg,belongsToCategory,lowerbody
57009.jpg,depicts,shoes
36438.jpg,hasPattern,striped
36438.jpg,hasFabricTreatment,texturized
36438.jpg,hasMaterialType,synthetic
36438.jpg,hasOpeningType,lace-up
36438.jpg,hasSleeveType,short
36438.jpg,hasNeckline,round
36438.jpg,hasLength,ankle-high
36438.jpg,hasSilhouette,athletic
36438.jpg,belongsToCategory,lowerbody
36438.jpg,depicts,shoes
15243.jpg,hasPattern,striped
15243.jpg,hasFabricTreatment,perforated
15243.jpg,hasMaterialType,synthetic
15243.jpg,hasOpeningType,lace-up
15243.jpg,hasSleeveType,closed
15243.jpg,hasNeckline,round
15243.jpg,hasLength,low-top
15243.jpg,hasSilhouette,round
15243.jpg,belongsToCategory,lowerbody
15243.jpg,depicts,shoes
14349.jpg,hasPattern,solid color
14349.jpg,hasMaterialType,synthetic
14349.jpg,hasOpeningType,open toe
14349.jpg,hasSleeveType,sleeveless
14349.jpg,hasNeckline,round
14349.jpg,hasLength,short
14349.jpg,hasSilhouette,flat
14349.jpg,belongsToCategory,lowerbody
14349.jpg,depicts,shoes
30246.jpg,hasPattern,solid color
30246.jpg,hasMaterialType,synthetic
30246.jpg,hasOpeningType,slip-on
30246.jpg,hasSleeveType,sleeveless
30246.jpg,hasLength,short
30246.jpg,hasSilhouette,flat
30246.jpg,belongsToCategory,lowerbody
30246.jpg,depicts,shoes
17746.jpg,hasPattern,solid color
17746.jpg,hasFabricTreatment,breathable mesh
17746.jpg,hasMaterialType,synthetic
17746.jpg,hasOpeningType,lace-up
17746.jpg,hasSleeveType,long
17746.jpg,hasLength,short
17746.jpg,hasWaistline,no waist
17746.jpg,hasSilhouette,pointed toe
17746.jpg,belongsToCategory,lowerbody
17746.jpg,depicts,shoes
44447.jpg,hasPattern,striped
44447.jpg,hasFabricTreatment,waterproof
44447.jpg,hasMaterialType,synthetic
44447.jpg,hasOpeningType,velcro
44447.jpg,hasSleeveType,sleeveless
44447.jpg,hasNeckline,round
44447.jpg,hasLength,short
44447.jpg,hasSilhouette,slip-on
44447.jpg,belongsToCategory,lowerbody
44447.jpg,depicts,shoes
12692.jpg,hasPattern,solid color
12692.jpg,hasFabricTreatment,breathable mesh panels
12692.jpg,hasMaterialType,synthetic
12692.jpg,hasOpeningType,lace-up
12692.jpg,hasNeckline,round
12692.jpg,hasLength,ankle-high
12692.jpg,hasSilhouette,athletic
12692.jpg,belongsToCategory,lowerbody
12692.jpg,depicts,shoes
6361.jpg,hasPattern,solid color
6361.jpg,hasMaterialType,synthetic
6361.jpg,hasOpeningType,lace-up
6361.jpg,hasSleeveType,closed
6361.jpg,hasLength,ankle-high
6361.jpg,hasSilhouette,closed-toe
6361.jpg,belongsToCategory,lowerbody
6361.jpg,depicts,shoes
13077.jpg,hasPattern,striped
13077.jpg,hasMaterialType,synthetic
13077.jpg,hasOpeningType,lace-up
13077.jpg,hasSleeveType,long-sleeve
13077.jpg,hasNeckline,round
13077.jpg,hasLength,ankle-length
13077.jpg,hasSilhouette,round
13077.jpg,belongsToCategory,lowerbody
13077.jpg,depicts,shoes
6668.jpg,hasPattern,solid color
6668.jpg,hasMaterialType,synthetic
6668.jpg,hasOpeningType,lace-up
6668.jpg,hasSleeveType,long-sleeve
6668.jpg,hasLength,low-top
6668.jpg,hasSilhouette,round
6668.jpg,belongsToCategory,lowerbody
6668.jpg,depicts,shoes
43372.jpg,hasPattern,solid color
43372.jpg,hasFabricTreatment,waterproof
43372.jpg,hasLeatherType,no leather
43372.jpg,hasMaterialType,synthetic
43372.jpg,hasOpeningType,lace-up
43372.jpg,hasSleeveType,sleeveless
43372.jpg,hasNeckline,round neckline
43372.jpg,hasLength,ankle-high
43372.jpg,hasSilhouette,running shoe
43372.jpg,belongsToCategory,lowerbody
43372.jpg,depicts,shoes
3300.jpg,hasAnimalPattern,no animal print
3300.jpg,hasPattern,striped
3300.jpg,hasMaterialType,synthetic
3300.jpg,hasOpeningType,lace-up
3300.jpg,hasSleeveType,short
3300.jpg,hasNeckline,round
3300.jpg,hasLength,ankle-high
3300.jpg,hasSilhouette,athletic
3300.jpg,belongsToCategory,lowerbody
3300.jpg,depicts,shoes
3256.jpg,hasSilhouette,round
3256.jpg,hasSleeveType,short
3256.jpg,depicts,shoes
3256.jpg,belongsToCategory,lowerbody
3256.jpg,hasLength,low-top
3256.jpg,hasNeckline,round
3256.jpg,hasOpeningType,lace-up
3256.jpg,hasMaterialType,synthetic
3256.jpg,hasFabricTreatment,smooth
19035.jpg,hasPattern,solid color
19035.jpg,hasMaterialType,synthetic
19035.jpg,hasOpeningType,closed toe
19035.jpg,hasLength,short
19035.jpg,hasSilhouette,flat
19035.jpg,belongsToCategory,lowerbody
19035.jpg,depicts,shoes
6145.jpg,hasMaterialType,synthetic
6145.jpg,hasOpeningType,velcro
6145.jpg,hasSleeveType,sleeveless
6145.jpg,hasLength,short
6145.jpg,hasSilhouette,flat
6145.jpg,belongsToCategory,lowerbody
6145.jpg,depicts,shoes
12712.jpg,hasPattern,striped
12712.jpg,hasFabricTreatment,waterproof
12712.jpg,hasMaterialType,synthetic
12712.jpg,hasOpeningType,lace-up
12712.jpg,hasSleeveType,short
12712.jpg,hasNeckline,round
12712.jpg,hasLength,ankle-high
12712.jpg,hasSilhouette,sporty
12712.jpg,belongsToCategory,lowerbody
12712.jpg,depicts,shoes
41232.jpg,hasPattern,solid color
41232.jpg,hasFabricTreatment,brushed
41232.jpg,hasMaterialType,synthetic
41232.jpg,hasOpeningType,lace-up
41232.jpg,hasSleeveType,sleeveless
41232.jpg,hasNeckline,round
41232.jpg,hasLength,ankle-high
41232.jpg,hasSilhouette,slip-on
41232.jpg,belongsToCategory,lowerbody
41232.jpg,depicts,shoes
47109.jpg,hasPattern,solid color
47109.jpg,hasMaterialType,synthetic
47109.jpg,hasOpeningType,slip-on
47109.jpg,hasSleeveType,ankle-length sleeve
47109.jpg,hasNeckline,round
47109.jpg,hasLength,low-top
47109.jpg,hasSilhouette,round
47109.jpg,belongsToCategory,lowerbody
47109.jpg,depicts,shoes
1916.jpg,hasPattern,solid color
1916.jpg,hasFabricTreatment,brushed
1916.jpg,hasMaterialType,synthetic
1916.jpg,hasOpeningType,lace-up
1916.jpg,hasPocketType,non-pockets
1916.jpg,hasSleeveType,closed
1916.jpg,hasLength,low-top
1916.jpg,hasSilhouette,round toe
1916.jpg,belongsToCategory,lowerbody
1916.jpg,depicts,shoes
33856.jpg,hasFabricTreatment,breathable
33856.jpg,hasMaterialType,synthetic
33856.jpg,hasOpeningType,lace-up
33856.jpg,hasSleeveType,short sleeveless
33856.jpg,hasNeckline,round
33856.jpg,hasLength,low-top
