product,relationship,attribute
59643.jpg,hasAnimalPattern,animal print
59643.jpg,hasPattern,floral
59643.jpg,hasSleeveType,sleeveless
59643.jpg,hasNeckline,round neckline
59643.jpg,hasLapelType,lapelless
59643.jpg,hasLength,long
59643.jpg,hasWaistline,natural waistline
59643.jpg,hasSilhouette,straight
59643.jpg,belongsToCategory,upperbody
59643.jpg,depicts,saree
12143.jpg,hasPattern,floral
12143.jpg,hasFabricTreatment,plain weave
12143.jpg,hasMaterialType,cotton
12143.jpg,hasOpeningType,button front
12143.jpg,hasSleeveType,long-sleeve
12143.jpg,hasNeckline,v-neck
12143.jpg,hasCollarType,notch-collar
12143.jpg,hasLength,long
12143.jpg,hasWaistline,natural
12143.jpg,hasSilhouette,a-line
12143.jpg,belongsToCategory,upperbody
12143.jpg,depicts,shirt
51616.jpg,hasMaterialType,cotton
51616.jpg,hasSleeveType,short-sleeve
51616.jpg,hasNeckline,crew neck
51616.jpg,hasCollarType,crew-neck
51616.jpg,hasLength,regular
51616.jpg,hasWaistline,high
51616.jpg,hasSilhouette,a-line
51616.jpg,belongsToCategory,upperbody
51616.jpg,depicts,t-shirt
51616.jpg,hasFabricTreatment,stretch fabric treatment
51616.jpg,hasMaterialType,cotton material
51616.jpg,hasOpeningType,zipper opening
51616.jpg,hasSleeveType,sleeveless
51616.jpg,hasNeckline,round neckline
51616.jpg,hasLength,long
51616.jpg,hasWaistline,mid-rise waistline
51616.jpg,hasSilhouette,straight
51616.jpg,belongsToCategory,lowerbody
51616.jpg,depicts,pants
53050.jpg,hasPattern,floral
53050.jpg,hasMaterialType,silk
53050.jpg,hasOpeningType,zipper
53050.jpg,hasSleeveType,sleeveless
53050.jpg,hasNeckline,asymmetrical
53050.jpg,hasLength,long
53050.jpg,hasWaistline,high
53050.jpg,hasSilhouette,a-line
53050.jpg,belongsToCategory,lowerbody
53050.jpg,depicts,saree
38086.jpg,hasOpeningType,button
38086.jpg,hasSleeveType,long
38086.jpg,hasNeckline,straight
38086.jpg,hasCollarType,pointed
38086.jpg,hasLength,long
38086.jpg,hasWaistline,natural
38086.jpg,hasSilhouette,straight
38086.jpg,belongsToCategory,upperbody
38086.jpg,depicts,shirt
10186.jpg,hasMaterialType,cotton
10186.jpg,hasSleeveType,long
10186.jpg,hasNeckline,spread
10186.jpg,hasCollarType,pointed
10186.jpg,hasLength,long
10186.jpg,hasWaistline,natural
10186.jpg,hasSilhouette,straight
10186.jpg,belongsToCategory,upperbody
10186.jpg,depicts,shirt
34302.jpg,hasAnimalPattern,no animal patterns
34302.jpg,hasPattern,floral
34302.jpg,hasFabricTreatment,plain weave
34302.jpg,hasMaterialType,silk or cotton
34302.jpg,hasOpeningType,zipper closure
34302.jpg,hasSleeveType,sleeveless
34302.jpg,hasNeckline,v-neckline
34302.jpg,hasLength,long
34302.jpg,hasWaistline,high-waisted
34302.jpg,hasSilhouette,a-line
34302.jpg,belongsToCategory,lowerbody
34302.jpg,depicts,saree
