product1,product2,shared_attributes
52117.jpg,19615.jpg,13
19615.jpg,52117.jpg,13
5664.jpg,16288.jpg,12
16629.jpg,16288.jpg,12
44680.jpg,19615.jpg,12
19615.jpg,44680.jpg,12
52117.jpg,44680.jpg,12
16288.jpg,5664.jpg,12
16629.jpg,5664.jpg,12
44680.jpg,52117.jpg,12
16288.jpg,16629.jpg,12
5664.jpg,16629.jpg,12
31272.jpg,16288.jpg,11
29039.jpg,16288.jpg,11
15577.jpg,16288.jpg,11
19615.jpg,14585.jpg,11
52117.jpg,14585.jpg,11
19615.jpg,4784.jpg,11
44680.jpg,4784.jpg,11
13619.jpg,4784.jpg,11
37164.jpg,4784.jpg,11
52117.jpg,4784.jpg,11
29039.jpg,9935.jpg,11
14584.jpg,9935.jpg,11
14585.jpg,19615.jpg,11
4784.jpg,19615.jpg,11
13619.jpg,19615.jpg,11
37164.jpg,19615.jpg,11
4784.jpg,44680.jpg,11
13619.jpg,44680.jpg,11
37164.jpg,44680.jpg,11
4784.jpg,13619.jpg,11
19615.jpg,13619.jpg,11
44680.jpg,13619.jpg,11
37164.jpg,13619.jpg,11
52117.jpg,13619.jpg,11
4784.jpg,37164.jpg,11
19615.jpg,37164.jpg,11
44680.jpg,37164.jpg,11
13619.jpg,37164.jpg,11
52117.jpg,37164.jpg,11
31272.jpg,5664.jpg,11
29039.jpg,5664.jpg,11
15577.jpg,5664.jpg,11
16288.jpg,31272.jpg,11
5664.jpg,31272.jpg,11
16629.jpg,31272.jpg,11
16288.jpg,29039.jpg,11
9935.jpg,29039.jpg,11
5664.jpg,29039.jpg,11
16629.jpg,29039.jpg,11
14585.jpg,52117.jpg,11
4784.jpg,52117.jpg,11
13619.jpg,52117.jpg,11
37164.jpg,52117.jpg,11
31272.jpg,16629.jpg,11
29039.jpg,16629.jpg,11
15577.jpg,16629.jpg,11
16288.jpg,15577.jpg,11
5664.jpg,15577.jpg,11
16629.jpg,15577.jpg,11
9935.jpg,14584.jpg,11
9935.jpg,16288.jpg,10
11269.jpg,16288.jpg,10
4260.jpg,16288.jpg,10
10472.jpg,16288.jpg,10
7888.jpg,16288.jpg,10
4784.jpg,14585.jpg,10
23671.jpg,14585.jpg,10
44680.jpg,14585.jpg,10
13619.jpg,14585.jpg,10
37164.jpg,14585.jpg,10
19615.jpg,11021.jpg,10
44680.jpg,11021.jpg,10
52117.jpg,11021.jpg,10
14585.jpg,4784.jpg,10
23671.jpg,4784.jpg,10
14068.jpg,4784.jpg,10
16288.jpg,9935.jpg,10
45969.jpg,9935.jpg,10
5664.jpg,9935.jpg,10
31272.jpg,9935.jpg,10
16629.jpg,9935.jpg,10
6225.jpg,9935.jpg,10
46410.jpg,9935.jpg,10
14585.jpg,23671.jpg,10
4784.jpg,23671.jpg,10
19615.jpg,23671.jpg,10
44680.jpg,23671.jpg,10
13619.jpg,23671.jpg,10
