relationshipType,unique_value_count,unique_values
hasMaterialType,11,"['liquid', 'fabric', 'glass', 'synthetic', 'glass material', 'fabric material', 'leather', 'plastic', 'glass and metal', 'transparent material', 'cotton']"
hasLength,9,"['short', 'long', 'knee-length', 'full-length', 'ankle length', '1-4 inches long', 'full length', 'below_knee', 'regular length']"
hasOpeningType,9,"['zipper', 'buckle', 'screw cap opening', 'closed opening', 'button', 'screwed top', 'spray nozzle', 'cap', 'button-front closure']"
hasFabricTreatment,9,"['solid', 'textured', 'perfumed', 'smooth fabric', 'no treatment', 'fragrance', 'unfinished hem', 'perfume', 'plain weave']"
depicts,8,"['perfume', 'perfume bottle', 'belt', 'bag', 'bottle', 'fragrance', 'shirt', 'bracelet']"
belongsToCategory,6,"['upperbody', 'clothing accessories', 'head', 'wholebody', 'lowerbody', 'perfume bottle']"
hasNeckline,6,"['round', 'round neckline', 'round neck', 'straight', 'no neckline', 'v-neck']"
hasSleeveType,5,"['short', 'sleeveless', 'short-sleeve', 'long', 'straight']"
hasWaistline,5,"['natural', 'high', 'natural-waist', 'high-waisted', 'fitted']"
hasSilhouette,4,"['straight', 'a-line', 'cylinder', 'cylindrical']"
hasNickname,4,"['fragrance', 'perfume bottle', 'perfume', 'boss']"
hasPattern,4,"['striped', 'solid color', 'solid color pattern', 'stripe']"
hasPocketType,3,"['zipper', 'no pocket', 'inside pocket']"
hasLeatherType,2,"['no leather', 'cowhide']"
hasCollarType,2,"['pointed-collar', 'open']"
