relation1,attribute1,relation2,attribute2,frequency
belongsToCategory,lowerbody,hasMaterialType,synthetic,39
hasMaterialType,synthetic,belongsToCategory,lowerbody,39
depicts,shoes,hasMaterialType,synthetic,38
depicts,shoes,belongsToCategory,lowerbody,38
hasMaterialType,synthetic,depicts,shoes,38
belongsToCategory,lowerbody,depicts,shoes,38
hasOpeningType,slip-on,hasMaterialType,synthetic,29
hasMaterialType,synthetic,hasOpeningType,slip-on,29
belongsToCategory,lowerbody,hasOpeningType,slip-on,29
depicts,shoes,hasOpeningType,slip-on,29
hasOpeningType,slip-on,belongsToCategory,lowerbody,29
hasOpeningType,slip-on,depicts,shoes,29
hasSleeveType,sleeveless,hasMaterialType,synthetic,26
hasMaterialType,synthetic,hasSleeveType,sleeveless,26
belongsToCategory,lowerbody,hasSleeveType,sleeveless,25
hasSleeveType,sleeveless,belongsToCategory,lowerbody,25
depicts,shoes,hasSleeveType,sleeveless,24
hasSleeveType,sleeveless,depicts,shoes,24
hasSilhouette,slip-on,hasMaterialType,synthetic,19
hasMaterialType,synthetic,hasSilhouette,slip-on,19
belongsToCategory,lowerbody,hasSilhouette,slip-on,19
depicts,shoes,hasSilhouette,slip-on,19
hasSilhouette,slip-on,belongsToCategory,lowerbody,19
hasSilhouette,slip-on,depicts,shoes,19
hasSleeveType,sleeveless,hasOpeningType,slip-on,18
hasOpeningType,slip-on,hasSleeveType,sleeveless,18
hasMaterialType,synthetic,hasPattern,solid color,16
hasPattern,solid color,hasMaterialType,synthetic,16
belongsToCategory,lowerbody,hasPattern,solid color,15
depicts,shoes,hasPattern,solid color,15
hasPattern,solid color,belongsToCategory,lowerbody,15
hasPattern,solid color,depicts,shoes,15
hasLength,short,hasMaterialType,synthetic,14
hasMaterialType,synthetic,hasLength,short,14
hasLength,ankle-high,hasMaterialType,synthetic,13
hasMaterialType,synthetic,hasLength,ankle-high,13
belongsToCategory,lowerbody,hasLength,ankle-high,13
depicts,shoes,hasLength,ankle-high,13
hasLength,ankle-high,belongsToCategory,lowerbody,13
hasLength,ankle-high,depicts,shoes,13
hasLength,short,hasSleeveType,sleeveless,13
hasSleeveType,sleeveless,hasLength,short,13
belongsToCategory,lowerbody,hasLength,short,13
hasLength,short,belongsToCategory,lowerbody,13
hasSleeveType,sleeveless,hasPattern,solid color,12
hasPattern,solid color,hasSleeveType,sleeveless,12
hasLength,short,hasOpeningType,slip-on,12
hasOpeningType,slip-on,hasLength,short,12
depicts,shoes,hasLength,short,12
hasLength,short,depicts,shoes,12
hasSilhouette,slip-on,hasSleeveType,sleeveless,10
hasSleeveType,sleeveless,hasSilhouette,slip-on,10
hasOpeningType,slip-on,hasPattern,solid color,10
hasSilhouette,flat,hasMaterialType,synthetic,10
hasPattern,solid color,hasOpeningType,slip-on,10
hasSilhouette,flat,hasSleeveType,sleeveless,10
hasMaterialType,synthetic,hasSilhouette,flat,10
hasSleeveType,sleeveless,hasSilhouette,flat,10
belongsToCategory,lowerbody,hasSilhouette,flat,10
hasSilhouette,flat,belongsToCategory,lowerbody,10
hasNeckline,round neckline,hasMaterialType,synthetic,9
hasMaterialType,synthetic,hasNeckline,round neckline,9
belongsToCategory,lowerbody,hasNeckline,round neckline,9
depicts,shoes,hasNeckline,round neckline,9
hasNeckline,round neckline,belongsToCategory,lowerbody,9
hasNeckline,round neckline,depicts,shoes,9
hasSilhouette,slip-on,hasLength,ankle-high,9
hasLength,ankle-high,hasSilhouette,slip-on,9
hasSilhouette,flat,hasOpeningType,slip-on,9
hasOpeningType,slip-on,hasSilhouette,flat,9
depicts,shoes,hasSilhouette,flat,9
hasSilhouette,flat,depicts,shoes,9
hasLength,ankle-high,hasOpeningType,slip-on,9
hasOpeningType,slip-on,hasLength,ankle-high,9
hasSilhouette,flat,hasLength,short,8
hasLength,short,hasSilhouette,flat,8
hasSilhouette,slip-on,hasPattern,solid color,7
hasPattern,solid color,hasSilhouette,slip-on,7
hasLength,short,hasPattern,solid color,7
hasPattern,solid color,hasLength,short,7
hasSleeveType,short-sleeve,hasMaterialType,synthetic,7
hasMaterialType,synthetic,hasSleeveType,short-sleeve,7
belongsToCategory,lowerbody,hasSleeveType,short-sleeve,7
depicts,shoes,hasSleeveType,short-sleeve,7
hasSleeveType,short-sleeve,belongsToCategory,lowerbody,7
hasSleeveType,short-sleeve,depicts,shoes,7
hasSilhouette,slip-on,hasNeckline,round neckline,6
hasNeckline,round neckline,hasSilhouette,slip-on,6
hasLength,ankle-high,hasPattern,solid color,6
hasPattern,solid color,hasLength,ankle-high,6
hasSilhouette,flat,hasPattern,solid color,6
hasPattern,solid color,hasSilhouette,flat,6
hasSleeveType,short-sleeve,hasOpeningType,slip-on,6
hasOpeningType,slip-on,hasSleeveType,short-sleeve,6
hasNeckline,round neckline,hasSleeveType,sleeveless,5
hasSleeveType,sleeveless,hasNeckline,round neckline,5
hasNeckline,round neckline,hasPattern,solid color,5
hasPattern,solid color,hasNeckline,round neckline,5
hasLength,ankle-high,hasNeckline,round neckline,5
hasNeckline,round neckline,hasLength,ankle-high,5
hasNeckline,round,hasMaterialType,synthetic,5
hasNeckline,round,hasOpeningType,slip-on,5
hasMaterialType,synthetic,hasNeckline,round,5
hasOpeningType,slip-on,hasNeckline,round,5
belongsToCategory,lowerbody,hasNeckline,round,5
depicts,shoes,hasNeckline,round,5
hasNeckline,round,belongsToCategory,lowerbody,5
hasNeckline,round,depicts,shoes,5
hasMaterialType,synthetic,hasPattern,striped,5
hasOpeningType,slip-on,hasPattern,striped,5
belongsToCategory,lowerbody,hasPattern,striped,5
depicts,shoes,hasPattern,striped,5
hasPattern,striped,hasMaterialType,synthetic,5
hasPattern,striped,hasOpeningType,slip-on,5
hasPattern,striped,belongsToCategory,lowerbody,5
hasPattern,striped,depicts,shoes,5
hasLength,ankle-high,hasSleeveType,short-sleeve,5
hasSleeveType,short-sleeve,hasLength,ankle-high,5
hasLength,ankle-high,hasSleeveType,sleeveless,4
hasSleeveType,sleeveless,hasLength,ankle-high,4
hasNeckline,round,hasSleeveType,sleeveless,4
