relation1,attribute1,relation2,attribute2,frequency
depicts,wallet,hasSilhouette,rectangular,40
hasSilhouette,rectangular,depicts,wallet,40
hasSilhouette,rectangular,hasMaterialType,leather,39
depicts,wallet,hasMaterialType,leather,39
hasSilhouette,rectangular,hasLength,short,39
depicts,wallet,hasLength,short,39
hasMaterialType,leather,hasSilhouette,rectangular,39
hasLength,short,hasSilhouette,rectangular,39
hasMaterialType,leather,depicts,wallet,39
hasLength,short,depicts,wallet,39
hasLength,short,hasMaterialType,leather,38
hasMaterialType,leather,hasLength,short,38
belongsToCategory,lowerbody,hasSilhouette,rectangular,37
hasSilhouette,rectangular,belongsToCategory,lowerbody,37
depicts,wallet,belongsToCategory,lowerbody,37
belongsToCategory,lowerbody,depicts,wallet,37
belongsToCategory,lowerbody,hasMaterialType,leather,36
belongsToCategory,lowerbody,hasLength,short,36
hasMaterialType,leather,belongsToCategory,lowerbody,36
hasLength,short,belongsToCategory,lowerbody,36
hasSilhouette,rectangular,hasOpeningType,zipper,30
depicts,wallet,hasOpeningType,zipper,30
hasOpeningType,zipper,hasSilhouette,rectangular,30
hasOpeningType,zipper,depicts,wallet,30
hasOpeningType,zipper,hasMaterialType,leather,29
hasMaterialType,leather,hasOpeningType,zipper,29
hasLength,short,hasOpeningType,zipper,29
belongsToCategory,lowerbody,hasOpeningType,zipper,29
hasOpeningType,zipper,hasLength,short,29
hasOpeningType,zipper,belongsToCategory,lowerbody,29
hasSleeveType,sleeveless,hasMaterialType,leather,12
hasMaterialType,leather,hasSleeveType,sleeveless,12
hasLength,short,hasSleeveType,sleeveless,12
hasSilhouette,rectangular,hasSleeveType,sleeveless,12
depicts,wallet,hasSleeveType,sleeveless,12
hasSleeveType,sleeveless,hasLength,short,12
hasSleeveType,sleeveless,hasSilhouette,rectangular,12
hasSleeveType,sleeveless,depicts,wallet,12
belongsToCategory,lowerbody,hasSleeveType,sleeveless,10
hasSleeveType,sleeveless,belongsToCategory,lowerbody,10
hasMaterialType,leather,hasPattern,solid color,9
hasSilhouette,rectangular,hasPattern,solid color,9
belongsToCategory,lowerbody,hasPattern,solid color,9
depicts,wallet,hasPattern,solid color,9
hasPattern,solid color,hasMaterialType,leather,9
hasPattern,solid color,hasSilhouette,rectangular,9
hasPattern,solid color,belongsToCategory,lowerbody,9
hasPattern,solid color,depicts,wallet,9
hasLength,short,hasPattern,solid color,8
hasPattern,solid color,hasLength,short,8
hasOpeningType,zipper,hasPattern,solid color,6
hasPattern,solid color,hasOpeningType,zipper,6
hasSleeveType,sleeveless,hasPattern,solid color,5
hasSleeveType,sleeveless,hasOpeningType,zipper,5
hasPattern,solid color,hasSleeveType,sleeveless,5
hasOpeningType,zipper,hasSleeveType,sleeveless,5
hasLength,short,hasWaistline,high,5
hasSilhouette,rectangular,hasWaistline,high,5
belongsToCategory,lowerbody,hasWaistline,high,5
depicts,wallet,hasWaistline,high,5
hasWaistline,high,hasLength,short,5
hasWaistline,high,hasSilhouette,rectangular,5
hasWaistline,high,belongsToCategory,lowerbody,5
hasWaistline,high,depicts,wallet,5
hasWaistline,high,hasMaterialType,leather,4
hasMaterialType,leather,hasWaistline,high,4
hasMaterialType,leather,hasFabricTreatment,smooth,4
hasLength,short,hasFabricTreatment,smooth,4
hasSilhouette,rectangular,hasFabricTreatment,smooth,4
belongsToCategory,lowerbody,hasFabricTreatment,smooth,4
depicts,wallet,hasFabricTreatment,smooth,4
hasFabricTreatment,smooth,hasMaterialType,leather,4
hasFabricTreatment,smooth,hasLength,short,4
hasFabricTreatment,smooth,hasSilhouette,rectangular,4
hasFabricTreatment,smooth,belongsToCategory,lowerbody,4
hasFabricTreatment,smooth,depicts,wallet,4
hasNeckline,no neckline,hasMaterialType,leather,4
hasNeckline,no neckline,hasSleeveType,sleeveless,4
hasMaterialType,leather,hasNeckline,no neckline,4
hasSleeveType,sleeveless,hasNeckline,no neckline,4
hasLength,short,hasNeckline,no neckline,4
hasSilhouette,rectangular,hasNeckline,no neckline,4
depicts,wallet,hasNeckline,no neckline,4
hasNeckline,no neckline,hasLength,short,4
hasNeckline,no neckline,hasSilhouette,rectangular,4
hasNeckline,no neckline,depicts,wallet,4
hasMaterialType,leather,hasLeatherType,full grain leather,3
hasLength,short,hasLeatherType,full grain leather,3
hasSilhouette,rectangular,hasLeatherType,full grain leather,3
