relation1,attribute1,relation2,attribute2,frequency
belongsToCategory,lowerbody,hasSilhouette,straight,40
hasSilhouette,straight,belongsToCategory,lowerbody,40
depicts,pants,hasSilhouette,straight,39
depicts,pants,belongsToCategory,lowerbody,39
hasSilhouette,straight,depicts,pants,39
belongsToCategory,lowerbody,depicts,pants,39
hasSilhouette,straight,hasMaterialType,cotton,39
belongsToCategory,lowerbody,hasMaterialType,cotton,39
hasMaterialType,cotton,hasSilhouette,straight,39
hasMaterialType,cotton,belongsToCategory,lowerbody,39
depicts,pants,hasMaterialType,cotton,38
hasMaterialType,cotton,depicts,pants,38
hasSilhouette,straight,hasOpeningType,zipper,31
belongsToCategory,lowerbody,hasOpeningType,zipper,31
hasOpeningType,zipper,hasSilhouette,straight,31
hasOpeningType,zipper,belongsToCategory,lowerbody,31
depicts,pants,hasOpeningType,zipper,30
hasOpeningType,zipper,depicts,pants,30
hasOpeningType,zipper,hasMaterialType,cotton,30
hasMaterialType,cotton,hasOpeningType,zipper,30
hasSilhouette,straight,hasWaistline,high-waisted,23
belongsToCategory,lowerbody,hasWaistline,high-waisted,23
hasWaistline,high-waisted,hasSilhouette,straight,23
hasWaistline,high-waisted,belongsToCategory,lowerbody,23
depicts,pants,hasWaistline,high-waisted,22
hasWaistline,high-waisted,depicts,pants,22
hasWaistline,high-waisted,hasMaterialType,cotton,22
hasMaterialType,cotton,hasWaistline,high-waisted,22
hasSilhouette,straight,hasLength,full-length,17
belongsToCategory,lowerbody,hasLength,full-length,17
depicts,pants,hasLength,full-length,17
hasLength,full-length,hasSilhouette,straight,17
hasLength,full-length,belongsToCategory,lowerbody,17
hasLength,full-length,depicts,pants,17
hasLength,full-length,hasMaterialType,cotton,16
hasMaterialType,cotton,hasLength,full-length,16
hasWaistline,high-waisted,hasOpeningType,zipper,15
hasOpeningType,zipper,hasWaistline,high-waisted,15
hasSleeveType,sleeveless,hasMaterialType,cotton,15
hasMaterialType,cotton,hasSleeveType,sleeveless,15
hasSilhouette,straight,hasSleeveType,sleeveless,15
belongsToCategory,lowerbody,hasSleeveType,sleeveless,15
depicts,pants,hasSleeveType,sleeveless,15
hasSleeveType,sleeveless,hasSilhouette,straight,15
hasSleeveType,sleeveless,belongsToCategory,lowerbody,15
hasSleeveType,sleeveless,depicts,pants,15
hasWaistline,high,hasMaterialType,cotton,15
hasMaterialType,cotton,hasWaistline,high,15
hasSilhouette,straight,hasWaistline,high,15
belongsToCategory,lowerbody,hasWaistline,high,15
depicts,pants,hasWaistline,high,15
hasWaistline,high,hasSilhouette,straight,15
hasWaistline,high,belongsToCategory,lowerbody,15
hasWaistline,high,depicts,pants,15
hasWaistline,high,hasOpeningType,zipper,14
hasOpeningType,zipper,hasWaistline,high,14
hasLength,full-length,hasOpeningType,zipper,11
hasOpeningType,zipper,hasLength,full-length,11
hasPocketType,side pockets,hasMaterialType,cotton,11
hasMaterialType,cotton,hasPocketType,side pockets,11
hasSilhouette,straight,hasPocketType,side pockets,11
belongsToCategory,lowerbody,hasPocketType,side pockets,11
depicts,pants,hasPocketType,side pockets,11
hasPocketType,side pockets,hasSilhouette,straight,11
hasPocketType,side pockets,belongsToCategory,lowerbody,11
hasPocketType,side pockets,depicts,pants,11
hasPocketType,side-pockets,hasMaterialType,cotton,11
hasLapelType,no-lapel,hasMaterialType,cotton,11
hasMaterialType,cotton,hasPocketType,side-pockets,11
hasSilhouette,straight,hasPocketType,side-pockets,11
belongsToCategory,lowerbody,hasPocketType,side-pockets,11
hasMaterialType,cotton,hasLapelType,no-lapel,11
hasSilhouette,straight,hasLapelType,no-lapel,11
belongsToCategory,lowerbody,hasLapelType,no-lapel,11
hasPocketType,side-pockets,hasSilhouette,straight,11
hasLapelType,no-lapel,hasSilhouette,straight,11
hasPocketType,side-pockets,belongsToCategory,lowerbody,11
hasLapelType,no-lapel,belongsToCategory,lowerbody,11
hasWaistline,high-waisted,hasLength,full-length,10
hasLength,full-length,hasWaistline,high-waisted,10
hasLength,ankle-length,hasMaterialType,cotton,10
hasMaterialType,cotton,hasLength,ankle-length,10
hasSilhouette,straight,hasLength,ankle-length,10
belongsToCategory,lowerbody,hasLength,ankle-length,10
depicts,pants,hasLength,ankle-length,10
hasLength,ankle-length,hasSilhouette,straight,10
