product,relationship,attribute
19594.jpg,hasPattern,striped
19594.jpg,hasFabricTreatment,plain weave
19594.jpg,hasMaterialType,cotton
19594.jpg,hasOpeningType,button front
19594.jpg,hasSleeveType,long-sleeve
19594.jpg,hasNeckline,v-neck
19594.jpg,hasLapelType,notch
19594.jpg,hasCollarType,notch
19594.jpg,hasLength,long
19594.jpg,hasWaistline,natural
19594.jpg,hasSilhouette,straight
19594.jpg,belongsToCategory,upperbody
19594.jpg,depicts,shirt
55337.jpg,hasPattern,striped
55337.jpg,hasMaterialType,cotton
55337.jpg,hasOpeningType,button
55337.jpg,hasSleeveType,short
55337.jpg,hasNeckline,v-neck
55337.jpg,hasCollarType,pointed
55337.jpg,hasLength,long
55337.jpg,hasWaistline,natural
55337.jpg,hasSilhouette,straight
55337.jpg,belongsToCategory,upperbody
55337.jpg,depicts,shirt
22326.jpg,hasPattern,striped
22326.jpg,hasMaterialType,cotton
22326.jpg,hasOpeningType,button
22326.jpg,hasSleeveType,short-sleeve
22326.jpg,hasNeckline,v-neck
22326.jpg,hasCollarType,collarless collar
22326.jpg,hasLength,long
22326.jpg,hasWaistline,natural waistline
22326.jpg,hasSilhouette,straight
22326.jpg,belongsToCategory,upperbody
22326.jpg,depicts,shirt
8864.jpg,hasMaterialType,cotton
8864.jpg,hasSleeveType,long
8864.jpg,hasNeckline,pointed
8864.jpg,hasLapelType,notch
8864.jpg,hasCollarType,button-down
8864.jpg,hasLength,long
8864.jpg,hasWaistline,natural
8864.jpg,hasSilhouette,straight
8864.jpg,belongsToCategory,upperbody
8864.jpg,depicts,shirt
26370.jpg,hasMaterialType,cotton
26370.jpg,hasPattern,striped
26370.jpg,hasSleeveType,long
26370.jpg,hasNeckline,notch
26370.jpg,hasCollarType,pointed
26370.jpg,hasLength,long
26370.jpg,hasWaistline,high-waisted
26370.jpg,hasSilhouette,straight
26370.jpg,belongsToCategory,upperbody
26370.jpg,depicts,shirt
12032.jpg,hasPattern,striped
12032.jpg,hasFabricTreatment,plain weave
12032.jpg,hasMaterialType,cotton
12032.jpg,hasOpeningType,button
12032.jpg,hasSleeveType,long
12032.jpg,hasNeckline,pointed
12032.jpg,hasCollarType,spread-collar
12032.jpg,hasLength,long
12032.jpg,hasWaistline,natural
12032.jpg,hasSilhouette,straight
12032.jpg,belongsToCategory,upperbody
12032.jpg,depicts,shirt
13881.jpg,hasPattern,striped
13881.jpg,hasMaterialType,cotton
13881.jpg,hasSleeveType,long
13881.jpg,hasNeckline,v-shaped
13881.jpg,hasCollarType,pointed
13881.jpg,hasLength,long
13881.jpg,hasWaistline,natural
13881.jpg,hasSilhouette,straight
13881.jpg,belongsToCategory,upperbody
13881.jpg,depicts,shirt
16931.jpg,hasMaterialType,cotton
16931.jpg,hasSleeveType,long
16931.jpg,hasNeckline,v-neck
16931.jpg,hasCollarType,v-neck
16931.jpg,hasLength,long
16931.jpg,hasWaistline,natural
16931.jpg,hasSilhouette,regular
16931.jpg,belongsToCategory,upperbody
16931.jpg,depicts,shirt
11375.jpg,hasPattern,striped
11375.jpg,hasFabricTreatment,plain-weave
11375.jpg,hasMaterialType,cotton
11375.jpg,hasOpeningType,button
11375.jpg,hasSleeveType,short
11375.jpg,hasNeckline,v-neck
11375.jpg,hasCollarType,pointed
11375.jpg,hasLength,long
11375.jpg,hasWaistline,natural
11375.jpg,hasSilhouette,straight
11375.jpg,belongsToCategory,upperbody
11375.jpg,depicts,shirt
16351.jpg,hasPattern,striped
16351.jpg,hasFabricTreatment,plain weave
16351.jpg,hasMaterialType,cotton
16351.jpg,hasOpeningType,button front
16351.jpg,hasPocketType,chest pocket
16351.jpg,hasSleeveType,long
16351.jpg,hasNeckline,point
16351.jpg,hasCollarType,spread-collar
16351.jpg,hasLength,long
16351.jpg,hasWaistline,natural
16351.jpg,hasSilhouette,straight
16351.jpg,belongsToCategory,upperbody
16351.jpg,depicts,shirt
26114.jpg,hasPattern,striped
26114.jpg,hasFabricTreatment,plain weave
26114.jpg,hasMaterialType,cotton
26114.jpg,hasOpeningType,button
26114.jpg,hasSleeveType,long
26114.jpg,hasNeckline,pointed
26114.jpg,hasCollarType,button-down
26114.jpg,hasLength,long
26114.jpg,hasWaistline,natural
26114.jpg,hasSilhouette,straight
26114.jpg,belongsToCategory,upperbody
26114.jpg,depicts,shirt
28239.jpg,hasPattern,striped
28239.jpg,hasMaterialType,cotton
28239.jpg,hasOpeningType,button
28239.jpg,hasPocketType,side
28239.jpg,hasSleeveType,short
28239.jpg,hasNeckline,v-neck
28239.jpg,hasCollarType,pointed
28239.jpg,hasLength,long
28239.jpg,hasWaistline,natural
28239.jpg,hasSilhouette,straight
28239.jpg,belongsToCategory,upperbody
28239.jpg,depicts,shirt
8899.jpg,hasPattern,striped
8899.jpg,hasFabricTreatment,plain weave
8899.jpg,hasMaterialType,cotton
8899.jpg,hasOpeningType,button front
8899.jpg,hasPocketType,slant
8899.jpg,hasSleeveType,long
8899.jpg,hasNeckline,classic
8899.jpg,hasLapelType,notch
8899.jpg,hasCollarType,pointed
8899.jpg,hasLength,long
8899.jpg,hasWaistline,natural
8899.jpg,hasSilhouette,straight
8899.jpg,belongsToCategory,upperbody
8899.jpg,depicts,shirt
10189.jpg,hasPattern,striped
10189.jpg,hasFabricTreatment,solid
10189.jpg,hasMaterialType,cotton
10189.jpg,hasOpeningType,button
10189.jpg,hasPocketType,patch
10189.jpg,hasSleeveType,long
10189.jpg,hasNeckline,classic
10189.jpg,hasCollarType,pointed
10189.jpg,hasLength,long
10189.jpg,hasWaistline,natural
10189.jpg,hasSilhouette,straight
10189.jpg,belongsToCategory,upperbody
10189.jpg,depicts,shirt
42247.jpg,hasPattern,striped
42247.jpg,hasFabricTreatment,plain weave
42247.jpg,hasMaterialType,cotton
42247.jpg,hasSleeveType,short-sleeve
42247.jpg,hasNeckline,v-neck
42247.jpg,hasCollarType,v-neck
42247.jpg,hasLength,short
42247.jpg,hasWaistline,natural
42247.jpg,hasSilhouette,straight
42247.jpg,belongsToCategory,upperbody
42247.jpg,depicts,shirt
17180.jpg,hasPattern,striped
17180.jpg,hasFabricTreatment,solid
17180.jpg,hasMaterialType,cotton
17180.jpg,hasOpeningType,button
17180.jpg,hasSleeveType,long
17180.jpg,hasNeckline,pointed
17180.jpg,hasLapelType,notch
17180.jpg,hasCollarType,spread-collar
17180.jpg,hasLength,long
17180.jpg,hasWaistline,natural
17180.jpg,hasSilhouette,straight
17180.jpg,belongsToCategory,upperbody
17180.jpg,depicts,shirt
13768.jpg,hasPattern,striped
13768.jpg,hasMaterialType,cotton
13768.jpg,hasSleeveType,short-sleeve
13768.jpg,hasNeckline,v-neck
13768.jpg,hasLapelType,notch
13768.jpg,hasCollarType,pointed
13768.jpg,hasLength,short
13768.jpg,hasWaistline,natural
13768.jpg,hasSilhouette,straight
13768.jpg,belongsToCategory,upperbody
13768.jpg,depicts,shirt
43960.jpg,hasPattern,striped
43960.jpg,hasFabricTreatment,plain weave
43960.jpg,hasMaterialType,cotton
43960.jpg,hasOpeningType,button
43960.jpg,hasPocketType,chest pocket
43960.jpg,hasSleeveType,long
43960.jpg,hasNeckline,straight
43960.jpg,hasCollarType,pointed
43960.jpg,hasLength,long
43960.jpg,hasWaistline,natural
43960.jpg,hasSilhouette,straight
43960.jpg,belongsToCategory,upperbody
43960.jpg,depicts,shirt
37949.jpg,hasPattern,striped
37949.jpg,hasMaterialType,cotton
37949.jpg,hasSleeveType,short-sleeve
37949.jpg,hasNeckline,v-neck
37949.jpg,hasCollarType,notch
37949.jpg,hasLength,short
37949.jpg,hasWaistline,natural
37949.jpg,hasSilhouette,straight
37949.jpg,belongsToCategory,upperbody
37949.jpg,depicts,shirt
12320.jpg,hasPattern,striped
12320.jpg,hasFabricTreatment,plain weave
12320.jpg,hasMaterialType,cotton
12320.jpg,hasOpeningType,button front
12320.jpg,hasPocketType,chest pocket
12320.jpg,hasSleeveType,long
12320.jpg,hasNeckline,pointed
12320.jpg,hasLapelType,notch
12320.jpg,hasCollarType,button-down
12320.jpg,hasLength,long
12320.jpg,hasWaistline,natural
12320.jpg,hasSilhouette,straight
12320.jpg,belongsToCategory,upperbody
12320.jpg,depicts,shirt
14743.jpg,hasPattern,striped
14743.jpg,hasFabricTreatment,plain weave
14743.jpg,hasMaterialType,cotton
14743.jpg,hasOpeningType,button front closure
14743.jpg,hasPocketType,chest pockets
14743.jpg,hasSleeveType,short-sleeve
14743.jpg,hasNeckline,pointed neckline
14743.jpg,hasCollarType,spread-collar
14743.jpg,hasLength,long
14743.jpg,hasWaistline,natural waistline
14743.jpg,hasSilhouette,straight
14743.jpg,belongsToCategory,upperbody
14743.jpg,depicts,shirt
51369.jpg,hasPattern,striped
51369.jpg,hasMaterialType,cotton
51369.jpg,hasSleeveType,short-sleeve
51369.jpg,hasNeckline,v-neck
51369.jpg,hasCollarType,pointed
51369.jpg,hasLength,long
51369.jpg,hasWaistline,natural
51369.jpg,hasSilhouette,straight
51369.jpg,belongsToCategory,upperbody
51369.jpg,depicts,shirt
56704.jpg,hasPattern,striped
56704.jpg,hasMaterialType,cotton
56704.jpg,hasOpeningType,buttoned closure
56704.jpg,hasSleeveType,short-sleeve
56704.jpg,hasNeckline,v-neck
56704.jpg,hasCollarType,mandarin-collar
56704.jpg,hasLength,long
56704.jpg,hasWaistline,natural
56704.jpg,hasSilhouette,straight
56704.jpg,belongsToCategory,upperbody
56704.jpg,depicts,shirt
8787.jpg,hasPattern,striped
8787.jpg,hasFabricTreatment,unfinished
8787.jpg,hasMaterialType,cotton
8787.jpg,hasSleeveType,long
8787.jpg,hasNeckline,pointed
8787.jpg,hasCollarType,pointed
8787.jpg,hasLength,long
8787.jpg,hasWaistline,natural
8787.jpg,hasSilhouette,straight
8787.jpg,belongsToCategory,upperbody
8787.jpg,depicts,shirt
11426.jpg,hasPattern,striped
11426.jpg,hasFabricTreatment,plain weave
11426.jpg,hasMaterialType,cotton
11426.jpg,hasOpeningType,button
11426.jpg,hasSleeveType,short-sleeve
11426.jpg,hasNeckline,notch neckline
11426.jpg,hasCollarType,pointed-collar
11426.jpg,hasLength,long
11426.jpg,hasWaistline,natural waistline
11426.jpg,hasSilhouette,straight
11426.jpg,belongsToCategory,upperbody
11426.jpg,depicts,shirt
26113.jpg,hasPattern,striped
26113.jpg,hasFabricTreatment,plain weave
26113.jpg,hasMaterialType,cotton
26113.jpg,hasOpeningType,button
26113.jpg,hasPocketType,side
26113.jpg,hasSleeveType,long
26113.jpg,hasNeckline,classic
26113.jpg,hasCollarType,pointed
26113.jpg,hasLength,long
26113.jpg,hasWaistline,natural
26113.jpg,hasSilhouette,straight
26113.jpg,belongsToCategory,upperbody
26113.jpg,depicts,shirt
20260.jpg,hasPattern,striped
20260.jpg,hasMaterialType,cotton
20260.jpg,hasOpeningType,buttoned opening
20260.jpg,hasSleeveType,short-sleeve
20260.jpg,hasNeckline,v-neck
20260.jpg,hasCollarType,notch-collar
20260.jpg,hasLength,short
20260.jpg,hasWaistline,natural waistline
20260.jpg,hasSilhouette,straight
20260.jpg,belongsToCategory,upperbody
20260.jpg,depicts,shirt
4953.jpg,hasPattern,striped
4953.jpg,hasMaterialType,cotton
4953.jpg,hasOpeningType,button
4953.jpg,hasSleeveType,short
4953.jpg,hasNeckline,v-neck
4953.jpg,hasCollarType,pointed
4953.jpg,hasLength,long
4953.jpg,hasWaistline,natural
4953.jpg,hasSilhouette,straight
4953.jpg,belongsToCategory,upperbody
4953.jpg,depicts,shirt
23049.jpg,hasPattern,striped
23049.jpg,hasMaterialType,cotton
23049.jpg,hasSleeveType,short-sleeve
23049.jpg,hasNeckline,v-neck
23049.jpg,hasCollarType,mandarin-collar
23049.jpg,hasLength,long
