relationshipType,unique_value_count,unique_values
hasOpeningType,11,"['button', 'one opening', 'round', 'buckle', 'buckle closure', 'buttonhole', 'closed', 'button hole', 'strap', 'button front', 'closed opening']"
hasMaterialType,6,"['stainless steel', 'metal', 'plastic', 'leather', 'fabric', 'rubber']"
hasFabricTreatment,6,"['polished', 'smooth', 'dyed', 'stitched', 'textured', 'embossed']"
hasSilhouette,5,"['round', 'square', 'rectangular', 'circular', 'straight']"
hasNeckline,5,"['round', 'square', 'circular', 'straight', 'no neckline']"
hasSleeveType,4,"['long', 'short', 'sleeveless', 'long-sleeve']"
belongsToCategory,4,"['upperbody', 'head', 'headwear', 'lowerbody']"
hasLength,3,"['short', 'medium', 'long']"
hasPattern,3,"['solid color', 'striped', 'geometric']"
hasLeatherType,3,"['no leather', 'calfskin', 'smooth']"
hasNickname,2,"['wristwatch', 'timepiece']"
depicts,1,['watch']
hasPocketType,1,['false']
hasWaistline,1,['natural']
