product,relationship,attribute
48136.jpg,hasPattern,solid color
48136.jpg,hasFabricTreatment,plain weave
48136.jpg,hasMaterialType,fabric
48136.jpg,hasOpeningType,zipper closure
48136.jpg,hasPocketType,pockets on sides
48136.jpg,hasSleeveType,sleeveless
48136.jpg,hasNeckline,round neckline
48136.jpg,hasLength,long
48136.jpg,hasWaistline,high-waisted
48136.jpg,hasSilhouette,straight
48136.jpg,belongsToCategory,upperbody
48136.jpg,depicts,bag
12143.jpg,hasPattern,floral
12143.jpg,hasFabricTreatment,plain weave
12143.jpg,hasMaterialType,cotton
12143.jpg,hasOpeningType,button front
12143.jpg,hasSleeveType,long-sleeve
12143.jpg,hasNeckline,v-neck
12143.jpg,hasCollarType,notch-collar
12143.jpg,hasLength,long
12143.jpg,hasWaistline,natural
12143.jpg,hasSilhouette,a-line
12143.jpg,belongsToCategory,upperbody
12143.jpg,depicts,shirt
59661.jpg,hasAnimalPattern,bird
59661.jpg,hasPattern,floral
59661.jpg,hasFabricTreatment,printed
59661.jpg,hasMaterialType,silk
59661.jpg,hasOpeningType,side opening
59661.jpg,hasSleeveType,sleeveless
59661.jpg,hasNeckline,v-neck
59661.jpg,hasLength,long
59661.jpg,hasWaistline,high-waisted
59661.jpg,hasSilhouette,a-line
59661.jpg,belongsToCategory,upperbody
59661.jpg,depicts,skirt
43280.jpg,hasFabricTreatment,plain weave
43280.jpg,hasMaterialType,fabric
43280.jpg,hasOpeningType,zipper
43280.jpg,hasSleeveType,sleeveless
43280.jpg,hasNeckline,no neckline
43280.jpg,hasLength,long
43280.jpg,hasWaistline,no waist
43280.jpg,hasSilhouette,straight
43280.jpg,belongsToCategory,upperbody
43280.jpg,depicts,bag
34945.jpg,hasPattern,solid color
34945.jpg,hasMaterialType,acrylic
34945.jpg,hasOpeningType,open front
34945.jpg,hasSleeveType,sleeveless
34945.jpg,hasNeckline,v-neck
34945.jpg,hasLength,long
34945.jpg,hasWaistline,natural
34945.jpg,hasSilhouette,a-line
34945.jpg,belongsToCategory,upperbody
