product,relationship,attribute
43294.jpg,hasPattern,solid color
43294.jpg,hasLeatherType,smooth leather
43294.jpg,hasMaterialType,leather
43294.jpg,hasOpeningType,zipper
43294.jpg,hasPocketType,no pocket
43294.jpg,hasSleeveType,sleeveless
43294.jpg,hasNeckline,round neck
43294.jpg,hasLength,short
43294.jpg,hasWaistline,natural
43294.jpg,hasSilhouette,rectangular
43294.jpg,belongsToCategory,upperbody
43294.jpg,depicts,bag
16758.jpg,hasFabricTreatment,uncoated
16758.jpg,hasLeatherType,full grain
16758.jpg,hasMaterialType,leather
16758.jpg,hasOpeningType,zipper
16758.jpg,hasSleeveType,short-sleeve
16758.jpg,hasLength,medium length
16758.jpg,hasWaistline,natural-waist
16758.jpg,hasSilhouette,a-line
16758.jpg,belongsToCategory,upperbody
16758.jpg,depicts,bag
25799.jpg,hasPattern,solid color
25799.jpg,hasLeatherType,full-grain leather
25799.jpg,hasMaterialType,leather
25799.jpg,hasOpeningType,zipper
25799.jpg,hasPocketType,side pocket
25799.jpg,hasNeckline,straight
25799.jpg,hasLength,medium
25799.jpg,hasWaistline,high-waisted
25799.jpg,hasSilhouette,straight
25799.jpg,belongsToCategory,wholebody
25799.jpg,depicts,bag
54511.jpg,hasPattern,striped
54511.jpg,hasFabricTreatment,embossed
54511.jpg,hasLeatherType,calfskin leather
54511.jpg,hasMaterialType,leather
54511.jpg,hasOpeningType,zipper
54511.jpg,hasSleeveType,short-sleeve
54511.jpg,hasNeckline,round neckline
54511.jpg,hasLength,medium
54511.jpg,hasSilhouette,rectangular
54511.jpg,belongsToCategory,upperbody
54511.jpg,depicts,bag
39930.jpg,hasLeatherType,full-grain leather
39930.jpg,hasMaterialType,leather
39930.jpg,hasOpeningType,zipper
39930.jpg,hasSleeveType,short-sleeve
39930.jpg,hasNeckline,round
39930.jpg,hasLength,short
39930.jpg,hasWaistline,high-waisted
39930.jpg,hasSilhouette,rectangular
39930.jpg,belongsToCategory,upperbody
39930.jpg,depicts,bag
14882.jpg,hasMaterialType,leather
14882.jpg,hasLength,medium length
14882.jpg,hasWaistline,high-waisted
14882.jpg,hasSilhouette,rectangular
14882.jpg,belongsToCategory,upperbody
14882.jpg,depicts,bag
25179.jpg,hasPattern,solid color
25179.jpg,hasMaterialType,leather
25179.jpg,hasLength,short
25179.jpg,hasWaistline,natural-waist
25179.jpg,hasSilhouette,a-line
25179.jpg,belongsToCategory,upperbody
25179.jpg,depicts,bag
58173.jpg,hasPattern,textured
58173.jpg,hasMaterialType,leather
58173.jpg,hasOpeningType,zipper
58173.jpg,hasPocketType,pocketless
58173.jpg,hasSleeveType,sleeveless
58173.jpg,hasNeckline,necklineless
58173.jpg,hasLapelType,lapelless
58173.jpg,hasLength,handbag
58173.jpg,hasSilhouette,barrel-shaped
58173.jpg,belongsToCategory,upperbody
58173.jpg,depicts,bag
24622.jpg,hasPattern,solid color
24622.jpg,hasLeatherType,full grain leather
24622.jpg,hasMaterialType,leather
24622.jpg,hasOpeningType,zipper closure
24622.jpg,hasSleeveType,sleeveless
24622.jpg,hasLength,long
24622.jpg,hasWaistline,high-waisted
24622.jpg,hasSilhouette,a-line
24622.jpg,belongsToCategory,upperbody
