relation1,attribute1,relation2,attribute2,frequency
depicts,shoes,hasSilhouette,flat,39
depicts,shoes,belongsToCategory,lowerbody,39
hasSilhouette,flat,depicts,shoes,39
belongsToCategory,lowerbody,depicts,shoes,39
hasSilhouette,flat,hasLength,short,38
depicts,shoes,hasLength,short,38
hasLength,short,hasSilhouette,flat,38
belongsToCategory,lowerbody,hasSilhouette,flat,38
hasSilhouette,flat,belongsToCategory,lowerbody,38
hasLength,short,depicts,shoes,38
belongsToCategory,lowerbody,hasLength,short,37
hasLength,short,belongsToCategory,lowerbody,37
hasLength,short,hasSleeveType,sleeveless,26
hasSilhouette,flat,hasSleeveType,sleeveless,26
belongsToCategory,lowerbody,hasSleeveType,sleeveless,26
depicts,shoes,hasSleeveType,sleeveless,26
hasSleeveType,sleeveless,hasLength,short,26
hasSleeveType,sleeveless,hasSilhouette,flat,26
hasSleeveType,sleeveless,belongsToCategory,lowerbody,26
hasSleeveType,sleeveless,depicts,shoes,26
belongsToCategory,lowerbody,hasOpeningType,closed,26
depicts,shoes,hasOpeningType,closed,26
hasOpeningType,closed,belongsToCategory,lowerbody,26
hasOpeningType,closed,depicts,shoes,26
hasLength,short,hasMaterialType,fabric,25
hasSilhouette,flat,hasMaterialType,fabric,25
depicts,shoes,hasMaterialType,fabric,25
hasMaterialType,fabric,hasLength,short,25
hasMaterialType,fabric,hasSilhouette,flat,25
hasMaterialType,fabric,depicts,shoes,25
hasSilhouette,flat,hasOpeningType,closed,25
hasOpeningType,closed,hasSilhouette,flat,25
belongsToCategory,lowerbody,hasMaterialType,fabric,24
hasMaterialType,fabric,belongsToCategory,lowerbody,24
hasLength,short,hasOpeningType,closed,24
hasOpeningType,closed,hasLength,short,24
hasSleeveType,sleeveless,hasMaterialType,fabric,20
hasMaterialType,fabric,hasSleeveType,sleeveless,20
hasSleeveType,sleeveless,hasOpeningType,closed,18
hasOpeningType,closed,hasSleeveType,sleeveless,18
hasOpeningType,closed,hasMaterialType,fabric,15
hasMaterialType,fabric,hasOpeningType,closed,15
