product,relationship,attribute
23560.jpg,hasPattern,solid color
23560.jpg,hasFabricTreatment,coated
23560.jpg,hasMaterialType,plastic
23560.jpg,hasOpeningType,closed opening
23560.jpg,hasSleeveType,sleeveless
23560.jpg,hasNeckline,no neckline
23560.jpg,hasLength,short
23560.jpg,hasSilhouette,rectangular
23560.jpg,hasNickname,sunglasses
23560.jpg,belongsToCategory,head
23560.jpg,depicts,glasses
30677.jpg,hasPattern,gradient
30677.jpg,hasFabricTreatment,anti-reflective coating
30677.jpg,hasMaterialType,plastic
30677.jpg,hasSleeveType,short
30677.jpg,hasNeckline,round
30677.jpg,hasLength,medium
30677.jpg,hasSilhouette,aviator
30677.jpg,hasNickname,sunglasses
30677.jpg,belongsToCategory,head
30677.jpg,depicts,glasses
28203.jpg,hasPattern,striped
28203.jpg,hasMaterialType,plastic
28203.jpg,hasLength,long
28203.jpg,hasSilhouette,aviator
28203.jpg,hasNickname,sunglasses
28203.jpg,belongsToCategory,head
28203.jpg,depicts,glasses
44076.jpg,hasMaterialType,plastic
44076.jpg,hasLength,short
44076.jpg,hasSilhouette,aviator
44076.jpg,hasNickname,sunglasses
44076.jpg,belongsToCategory,head
44076.jpg,depicts,glasses
29876.jpg,hasMaterialType,plastic
29876.jpg,hasSilhouette,aviator
29876.jpg,hasNickname,sunglasses
29876.jpg,belongsToCategory,head
29876.jpg,depicts,glasses
56137.jpg,hasFabricTreatment,coated
56137.jpg,hasMaterialType,plastic
56137.jpg,hasLength,long
56137.jpg,hasSilhouette,aviator
56137.jpg,hasNickname,sunglasses
56137.jpg,belongsToCategory,head
56137.jpg,depicts,glasses
16088.jpg,hasMaterialType,plastic
16088.jpg,hasLength,long
16088.jpg,hasSilhouette,oval
16088.jpg,belongsToCategory,head
16088.jpg,depicts,glasses
9408.jpg,hasLength,no length defined
9408.jpg,hasSilhouette,rectangular
9408.jpg,hasNickname,sunglasses
9408.jpg,belongsToCategory,head
9408.jpg,depicts,glasses
16083.jpg,hasMaterialType,plastic
16083.jpg,hasLength,long
16083.jpg,hasSilhouette,oval
16083.jpg,belongsToCategory,head
16083.jpg,depicts,glasses
38222.jpg,hasMaterialType,plastic
38222.jpg,hasLength,long
38222.jpg,hasSilhouette,rectangular
38222.jpg,belongsToCategory,head
38222.jpg,depicts,glasses
43707.jpg,hasMaterialType,metal
43707.jpg,hasSleeveType,sleeveless
43707.jpg,hasNeckline,v-neck
43707.jpg,hasLength,long
43707.jpg,hasSilhouette,oval
43707.jpg,belongsToCategory,head
43707.jpg,depicts,necklace
31187.jpg,hasFabricTreatment,coated
31187.jpg,hasMaterialType,plastic
31187.jpg,hasLength,short
31187.jpg,hasSilhouette,rectangular
31187.jpg,hasNickname,sunglasses
31187.jpg,belongsToCategory,head
31187.jpg,depicts,glasses
48894.jpg,hasMaterialType,metal
48894.jpg,hasSleeveType,long
48894.jpg,hasNeckline,high
48894.jpg,hasLength,long
48894.jpg,hasSilhouette,round
48894.jpg,belongsToCategory,head
48894.jpg,depicts,necklace
30682.jpg,hasMaterialType,plastic
30682.jpg,hasSleeveType,long
30682.jpg,hasLength,short
30682.jpg,hasSilhouette,ovals
30682.jpg,hasNickname,sunglasses
30682.jpg,belongsToCategory,head
30682.jpg,depicts,glasses
54672.jpg,hasMaterialType,plastic
54672.jpg,hasNeckline,round
54672.jpg,hasLength,long
54672.jpg,hasSilhouette,rectangular
54672.jpg,hasNickname,clock
54672.jpg,belongsToCategory,head
54672.jpg,depicts,glasses
46652.jpg,hasFabricTreatment,coated
46652.jpg,hasMaterialType,acetate
46652.jpg,hasOpeningType,hook and eye
46652.jpg,hasSleeveType,short
46652.jpg,hasNeckline,straight
46652.jpg,hasLength,long
46652.jpg,hasSilhouette,aviator
