product1,product2,shared_attributes
3300.jpg,36438.jpg,9
3256.jpg,15243.jpg,9
9796.jpg,39269.jpg,9
36438.jpg,3300.jpg,9
15243.jpg,3256.jpg,9
39269.jpg,9796.jpg,9
12712.jpg,36438.jpg,8
6620.jpg,36438.jpg,8
47109.jpg,15243.jpg,8
40300.jpg,44447.jpg,8
35582.jpg,18413.jpg,8
12712.jpg,3300.jpg,8
6620.jpg,3300.jpg,8
47109.jpg,3256.jpg,8
58231.jpg,42694.jpg,8
36438.jpg,12712.jpg,8
3300.jpg,12712.jpg,8
40300.jpg,47109.jpg,8
15243.jpg,47109.jpg,8
3256.jpg,47109.jpg,8
35582.jpg,22242.jpg,8
42694.jpg,58231.jpg,8
22242.jpg,35582.jpg,8
18413.jpg,35582.jpg,8
47109.jpg,40300.jpg,8
44447.jpg,40300.jpg,8
36438.jpg,6620.jpg,8
3300.jpg,6620.jpg,8
18413.jpg,39627.jpg,7
40300.jpg,35535.jpg,7
36438.jpg,35675.jpg,7
3300.jpg,35675.jpg,7
12712.jpg,35675.jpg,7
35675.jpg,36438.jpg,7
15243.jpg,36438.jpg,7
9405.jpg,36438.jpg,7
3256.jpg,36438.jpg,7
7713.jpg,54538.jpg,7
36438.jpg,15243.jpg,7
3300.jpg,15243.jpg,7
12712.jpg,15243.jpg,7
9405.jpg,15243.jpg,7
9796.jpg,15243.jpg,7
12712.jpg,44447.jpg,7
16119.jpg,44447.jpg,7
16119.jpg,40758.jpg,7
58231.jpg,40758.jpg,7
58231.jpg,39269.jpg,7
32277.jpg,39269.jpg,7
39627.jpg,18413.jpg,7
9796.jpg,18413.jpg,7
35675.jpg,3300.jpg,7
15243.jpg,3300.jpg,7
9405.jpg,3300.jpg,7
3256.jpg,3300.jpg,7
36438.jpg,3256.jpg,7
3300.jpg,3256.jpg,7
12712.jpg,3256.jpg,7
35582.jpg,3256.jpg,7
6620.jpg,3256.jpg,7
15894.jpg,42694.jpg,7
54538.jpg,7713.jpg,7
35675.jpg,12712.jpg,7
15243.jpg,12712.jpg,7
44447.jpg,12712.jpg,7
3256.jpg,12712.jpg,7
6620.jpg,12712.jpg,7
15243.jpg,9796.jpg,7
18413.jpg,9796.jpg,7
42694.jpg,15894.jpg,7
16119.jpg,15894.jpg,7
58231.jpg,15894.jpg,7
35582.jpg,15894.jpg,7
35582.jpg,38042.jpg,7
15894.jpg,58231.jpg,7
35582.jpg,58231.jpg,7
40758.jpg,58231.jpg,7
39269.jpg,58231.jpg,7
39269.jpg,32277.jpg,7
44447.jpg,16119.jpg,7
15894.jpg,16119.jpg,7
40758.jpg,16119.jpg,7
15894.jpg,35582.jpg,7
38042.jpg,35582.jpg,7
58231.jpg,35582.jpg,7
3256.jpg,35582.jpg,7
36438.jpg,9405.jpg,7
15243.jpg,9405.jpg,7
3300.jpg,9405.jpg,7
35535.jpg,40300.jpg,7
3256.jpg,6620.jpg,7
12712.jpg,6620.jpg,7
15243.jpg,39627.jpg,6
2966.jpg,39627.jpg,6
9405.jpg,39627.jpg,6
47109.jpg,35535.jpg,6
58231.jpg,35535.jpg,6
6620.jpg,35535.jpg,6
44447.jpg,35535.jpg,6
40758.jpg,35535.jpg,6
3256.jpg,35535.jpg,6
22242.jpg,35535.jpg,6
16119.jpg,35535.jpg,6
35582.jpg,35535.jpg,6
35675.jpg,5714.jpg,6
42694.jpg,5714.jpg,6
15894.jpg,5714.jpg,6
38042.jpg,5714.jpg,6
58231.jpg,5714.jpg,6
35582.jpg,5714.jpg,6
5714.jpg,35675.jpg,6
15243.jpg,35675.jpg,6
42694.jpg,35675.jpg,6
15894.jpg,35675.jpg,6
38042.jpg,35675.jpg,6
13179.jpg,35675.jpg,6
