product1,product2,shared_attributes
52813.jpg,44271.jpg,7
58162.jpg,44271.jpg,7
44271.jpg,58162.jpg,7
44271.jpg,52813.jpg,7
37871.jpg,32607.jpg,6
52814.jpg,32607.jpg,6
36104.jpg,32607.jpg,6
37870.jpg,32607.jpg,6
17102.jpg,32607.jpg,6
44271.jpg,32607.jpg,6
32607.jpg,37871.jpg,6
52814.jpg,37871.jpg,6
36104.jpg,37871.jpg,6
37870.jpg,37871.jpg,6
17102.jpg,37871.jpg,6
44271.jpg,37871.jpg,6
24619.jpg,17096.jpg,6
44271.jpg,17096.jpg,6
52814.jpg,17096.jpg,6
44271.jpg,26224.jpg,6
32607.jpg,44271.jpg,6
37871.jpg,44271.jpg,6
17096.jpg,44271.jpg,6
26224.jpg,44271.jpg,6
52814.jpg,44271.jpg,6
36104.jpg,44271.jpg,6
37870.jpg,44271.jpg,6
17102.jpg,44271.jpg,6
52813.jpg,58162.jpg,6
32607.jpg,52814.jpg,6
37871.jpg,52814.jpg,6
36104.jpg,52814.jpg,6
37870.jpg,52814.jpg,6
17102.jpg,52814.jpg,6
24619.jpg,52814.jpg,6
17096.jpg,52814.jpg,6
44271.jpg,52814.jpg,6
32607.jpg,36104.jpg,6
37871.jpg,36104.jpg,6
52814.jpg,36104.jpg,6
37870.jpg,36104.jpg,6
17102.jpg,36104.jpg,6
44271.jpg,36104.jpg,6
32607.jpg,37870.jpg,6
37871.jpg,37870.jpg,6
52814.jpg,37870.jpg,6
36104.jpg,37870.jpg,6
17102.jpg,37870.jpg,6
44271.jpg,37870.jpg,6
32607.jpg,17102.jpg,6
37871.jpg,17102.jpg,6
52814.jpg,17102.jpg,6
36104.jpg,17102.jpg,6
37870.jpg,17102.jpg,6
44271.jpg,17102.jpg,6
58162.jpg,52813.jpg,6
17096.jpg,24619.jpg,6
52814.jpg,24619.jpg,6
50819.jpg,32607.jpg,5
50817.jpg,32607.jpg,5
50822.jpg,32607.jpg,5
50826.jpg,32607.jpg,5
52810.jpg,32607.jpg,5
58164.jpg,32607.jpg,5
50827.jpg,32607.jpg,5
24619.jpg,32607.jpg,5
17096.jpg,32607.jpg,5
26224.jpg,32607.jpg,5
58162.jpg,32607.jpg,5
50819.jpg,37871.jpg,5
50817.jpg,37871.jpg,5
50822.jpg,37871.jpg,5
50826.jpg,37871.jpg,5
52810.jpg,37871.jpg,5
58164.jpg,37871.jpg,5
50827.jpg,37871.jpg,5
24619.jpg,37871.jpg,5
17096.jpg,37871.jpg,5
26224.jpg,37871.jpg,5
58162.jpg,37871.jpg,5
32607.jpg,50819.jpg,5
37871.jpg,50819.jpg,5
50817.jpg,50819.jpg,5
50822.jpg,50819.jpg,5
50826.jpg,50819.jpg,5
52814.jpg,50819.jpg,5
36104.jpg,50819.jpg,5
37870.jpg,50819.jpg,5
17102.jpg,50819.jpg,5
52810.jpg,50819.jpg,5
58164.jpg,50819.jpg,5
50827.jpg,50819.jpg,5
44271.jpg,50819.jpg,5
32607.jpg,50817.jpg,5
37871.jpg,50817.jpg,5
50819.jpg,50817.jpg,5
50822.jpg,50817.jpg,5
50826.jpg,50817.jpg,5
52814.jpg,50817.jpg,5
36104.jpg,50817.jpg,5
37870.jpg,50817.jpg,5
17102.jpg,50817.jpg,5
52810.jpg,50817.jpg,5
58164.jpg,50817.jpg,5
50827.jpg,50817.jpg,5
44271.jpg,50817.jpg,5
44271.jpg,17089.jpg,5
37866.jpg,17089.jpg,5
44601.jpg,37468.jpg,5
50821.jpg,37468.jpg,5
32607.jpg,50822.jpg,5
37871.jpg,50822.jpg,5
50819.jpg,50822.jpg,5
50817.jpg,50822.jpg,5
50826.jpg,50822.jpg,5
52814.jpg,50822.jpg,5
36104.jpg,50822.jpg,5
37870.jpg,50822.jpg,5
17102.jpg,50822.jpg,5
52810.jpg,50822.jpg,5
58164.jpg,50822.jpg,5
50827.jpg,50822.jpg,5
44271.jpg,50822.jpg,5
50826.jpg,17096.jpg,5
32607.jpg,17096.jpg,5
37871.jpg,17096.jpg,5
26224.jpg,17096.jpg,5
58162.jpg,17096.jpg,5
36104.jpg,17096.jpg,5
37870.jpg,17096.jpg,5
17102.jpg,17096.jpg,5
32607.jpg,26224.jpg,5
37871.jpg,26224.jpg,5
17096.jpg,26224.jpg,5
