relation1,attribute1,relation2,attribute2,frequency
depicts,shoes,belongsToCategory,lowerbody,40
belongsToCategory,lowerbody,depicts,shoes,40
belongsToCategory,lowerbody,hasMaterialType,leather,39
depicts,shoes,hasMaterialType,leather,39
hasMaterialType,leather,belongsToCategory,lowerbody,39
hasMaterialType,leather,depicts,shoes,39
belongsToCategory,lowerbody,hasSilhouette,round toe,38
depicts,shoes,hasSilhouette,round toe,38
hasSilhouette,round toe,belongsToCategory,lowerbody,38
hasSilhouette,round toe,depicts,shoes,38
hasSilhouette,round toe,hasMaterialType,leather,37
hasMaterialType,leather,hasSilhouette,round toe,37
hasMaterialType,leather,hasLeatherType,full grain leather,6
hasSilhouette,round toe,hasLeatherType,full grain leather,6
belongsToCategory,lowerbody,hasLeatherType,full grain leather,6
depicts,shoes,hasLeatherType,full grain leather,6
hasLeatherType,full grain leather,hasMaterialType,leather,6
hasLength,ankle-high,hasMaterialType,leather,6
hasMaterialType,leather,hasLength,ankle-high,6
hasSilhouette,round toe,hasLength,ankle-high,6
belongsToCategory,lowerbody,hasLength,ankle-high,6
depicts,shoes,hasLength,ankle-high,6
hasLeatherType,full grain leather,hasSilhouette,round toe,6
hasLength,ankle-high,hasSilhouette,round toe,6
hasLeatherType,full grain leather,belongsToCategory,lowerbody,6
hasLength,ankle-high,belongsToCategory,lowerbody,6
hasLeatherType,full grain leather,depicts,shoes,6
hasLength,ankle-high,depicts,shoes,6
hasLength,ankle boots,hasMaterialType,leather,6
hasMaterialType,leather,hasLength,ankle boots,6
hasSilhouette,round toe,hasLength,ankle boots,6
belongsToCategory,lowerbody,hasLength,ankle boots,6
depicts,shoes,hasLength,ankle boots,6
hasLength,ankle boots,hasSilhouette,round toe,6
hasLength,ankle boots,belongsToCategory,lowerbody,6
hasLength,ankle boots,depicts,shoes,6
hasOpeningType,lace-up,hasMaterialType,leather,5
hasMaterialType,leather,hasOpeningType,lace-up,5
hasSilhouette,round toe,hasOpeningType,lace-up,5
belongsToCategory,lowerbody,hasOpeningType,lace-up,5
depicts,shoes,hasOpeningType,lace-up,5
hasOpeningType,lace-up,hasSilhouette,round toe,5
hasOpeningType,lace-up,belongsToCategory,lowerbody,5
hasOpeningType,lace-up,depicts,shoes,5
hasLength,low-top,hasMaterialType,leather,5
hasMaterialType,leather,hasLength,low-top,5
hasSilhouette,round toe,hasLength,low-top,5
belongsToCategory,lowerbody,hasLength,low-top,5
depicts,shoes,hasLength,low-top,5
hasLength,low-top,hasSilhouette,round toe,5
hasLength,low-top,belongsToCategory,lowerbody,5
hasLength,low-top,depicts,shoes,5
hasOpeningType,slip-on,hasMaterialType,leather,5
hasMaterialType,leather,hasOpeningType,slip-on,5
hasSilhouette,round toe,hasOpeningType,slip-on,5
belongsToCategory,lowerbody,hasOpeningType,slip-on,5
depicts,shoes,hasOpeningType,slip-on,5
hasOpeningType,slip-on,hasSilhouette,round toe,5
hasOpeningType,slip-on,belongsToCategory,lowerbody,5
hasOpeningType,slip-on,depicts,shoes,5
hasLeatherType,full-grain leather,depicts,shoes,4
hasLeatherType,full-grain leather,belongsToCategory,lowerbody,4
hasLeatherType,full-grain leather,hasMaterialType,leather,4
depicts,shoes,hasLeatherType,full-grain leather,4
