product,relationship,attribute
11844.jpg,hasMaterialType,leather
11844.jpg,hasLength,midi
11844.jpg,hasSilhouette,round toe
11844.jpg,belongsToCategory,lowerbody
11844.jpg,depicts,shoes
20875.jpg,hasLeatherType,full grain leather
20875.jpg,hasMaterialType,leather
20875.jpg,hasLength,ankle-high
20875.jpg,hasSilhouette,round toe
20875.jpg,belongsToCategory,lowerbody
20875.jpg,depicts,shoes
4548.jpg,hasMaterialType,leather
4548.jpg,hasLength,full length
4548.jpg,hasSilhouette,round toe
4548.jpg,belongsToCategory,lowerbody
4548.jpg,depicts,shoes
44501.jpg,hasLeatherType,full grain leather
44501.jpg,hasMaterialType,leather
44501.jpg,hasSilhouette,round toe
44501.jpg,belongsToCategory,lowerbody
44501.jpg,depicts,shoes
46116.jpg,hasLeatherType,cow leather
46116.jpg,hasMaterialType,leather
46116.jpg,hasOpeningType,lace-up
46116.jpg,hasLength,low-top shoes
46116.jpg,hasSilhouette,round toe
46116.jpg,belongsToCategory,lowerbody
46116.jpg,depicts,shoes
7039.jpg,hasSilhouette,slip-on
7039.jpg,hasSleeveType,slip-on
7039.jpg,depicts,shoes
7039.jpg,belongsToCategory,lowerbody
7039.jpg,hasLength,short
7039.jpg,hasOpeningType,shoes
7039.jpg,hasMaterialType,leather
7039.jpg,hasLeatherType,full-grain leather
44546.jpg,hasMaterialType,leather
44546.jpg,hasLength,ankle boots
44546.jpg,hasSilhouette,round toe
44546.jpg,belongsToCategory,lowerbody
44546.jpg,depicts,shoes
1832.jpg,hasMaterialType,leather
1832.jpg,hasLeatherType,nubuck
1832.jpg,hasLength,ankle-high
1832.jpg,hasSilhouette,round toe
1832.jpg,belongsToCategory,lowerbody
1832.jpg,depicts,shoes
3802.jpg,hasPattern,solid color
3802.jpg,hasLeatherType,full-grain leather
3802.jpg,hasMaterialType,leather
3802.jpg,hasOpeningType,lace-up closure
3802.jpg,hasSleeveType,short-sleeve
3802.jpg,hasNeckline,round neckline
3802.jpg,hasLength,ankle-high
3802.jpg,hasSilhouette,round toe
3802.jpg,belongsToCategory,lowerbody
3802.jpg,depicts,shoes
13969.jpg,hasMaterialType,leather
13969.jpg,hasOpeningType,lace-up
13969.jpg,hasLength,ankle boots
13969.jpg,hasSilhouette,round toe
13969.jpg,belongsToCategory,lowerbody
13969.jpg,depicts,shoes
37247.jpg,hasFabricTreatment,smooth finish
37247.jpg,hasLeatherType,full grain leather
37247.jpg,hasMaterialType,leather
37247.jpg,hasOpeningType,slip-on shoes
37247.jpg,hasSleeveType,unadorned sleeves
37247.jpg,hasLength,low-top
37247.jpg,hasSilhouette,round toe
37247.jpg,belongsToCategory,lowerbody
37247.jpg,depicts,shoes
22818.jpg,hasLeatherType,leather
22818.jpg,hasLength,low heel
22818.jpg,hasSilhouette,round toe
22818.jpg,belongsToCategory,lowerbody
22818.jpg,depicts,shoes
3556.jpg,hasFabricTreatment,suede
3556.jpg,hasMaterialType,leather
3556.jpg,hasOpeningType,lace-up
3556.jpg,hasLength,low-top
3556.jpg,hasSilhouette,round toe
3556.jpg,belongsToCategory,lowerbody
3556.jpg,depicts,shoes
5683.jpg,hasPattern,solid color
5683.jpg,hasLeatherType,full grain leather
5683.jpg,hasMaterialType,leather
5683.jpg,hasOpeningType,shoe opening
5683.jpg,hasSleeveType,sleeveless
5683.jpg,hasNeckline,round neckline
5683.jpg,hasLength,ankle-high
5683.jpg,hasSilhouette,round toe
5683.jpg,belongsToCategory,lowerbody
5683.jpg,depicts,shoes
15365.jpg,hasMaterialType,leather
15365.jpg,hasOpeningType,slip-on
15365.jpg,hasSilhouette,round toe
15365.jpg,belongsToCategory,lowerbody
15365.jpg,depicts,shoes
22891.jpg,hasLeatherType,calf skin
22891.jpg,hasMaterialType,leather
22891.jpg,hasOpeningType,velcro fastener
22891.jpg,hasSleeveType,closed toe
22891.jpg,hasLength,ankle-high
22891.jpg,hasSilhouette,round toe
22891.jpg,belongsToCategory,lowerbody
22891.jpg,depicts,shoes
15865.jpg,hasLeatherType,smooth leather
15865.jpg,hasMaterialType,leather
15865.jpg,hasSilhouette,round toe
15865.jpg,belongsToCategory,lowerbody
15865.jpg,depicts,shoes
23242.jpg,hasMaterialType,leather
23242.jpg,hasLeatherType,leather
23242.jpg,hasSilhouette,pointed toe
23242.jpg,belongsToCategory,lowerbody
23242.jpg,depicts,shoes
10172.jpg,hasMaterialType,leather
10172.jpg,hasLength,ankle boots
10172.jpg,hasSilhouette,round toe
10172.jpg,belongsToCategory,lowerbody
10172.jpg,depicts,shoes
4741.jpg,hasAnimalPattern,no animal print
4741.jpg,hasFabricTreatment,suede finish
4741.jpg,hasLeatherType,full-grain leather
4741.jpg,hasMaterialType,leather
4741.jpg,hasOpeningType,zip closure
4741.jpg,hasSleeveType,short-sleeve
4741.jpg,hasNeckline,boat neckline
4741.jpg,hasLength,ankle boots
4741.jpg,hasSilhouette,round toe
4741.jpg,belongsToCategory,lowerbody
4741.jpg,depicts,shoes
16157.jpg,hasMaterialType,leather
16157.jpg,hasSilhouette,round toe
16157.jpg,belongsToCategory,lowerbody
16157.jpg,depicts,shoes
19354.jpg,hasPattern,solid color
19354.jpg,hasFabricTreatment,suede finish
19354.jpg,hasLeatherType,full grain leather
19354.jpg,hasMaterialType,leather
19354.jpg,hasOpeningType,closed front
19354.jpg,hasSleeveType,short-sleeve
19354.jpg,hasNeckline,crew neck
19354.jpg,hasLength,ankle boots
19354.jpg,hasSilhouette,round toe
19354.jpg,belongsToCategory,lowerbody
19354.jpg,depicts,shoes
