relationshipType,unique_value_count,unique_values
hasLength,9,"['above the knee', 'knee-length', 'above knee length', 'mid-thigh', 'above-the-knee', 'short', 'above-the-knee length', 'midi', 'long']"
hasFabricTreatment,8,"['stretchy', 'unfinished seams', 'washed', 'plain weave', 'stain resistant', 'no finish or technique', 'stonewashed', 'worn']"
hasMaterialType,7,"['cotton', 'nylon', 'fabric material', 'denim', 'fabric', 'polyester', 'silk']"
hasOpeningType,7,"['zipper', 'button', 'zipper opening', 'zipper front', 'zipper closure', 'zipper fly', 'button fly']"
hasPattern,6,"['floral', 'solid color', 'striped', 'solid-colored', 'floral print', 'striped pattern']"
depicts,5,"['skirt', 'shorts', 'bag', 'dress', 'lowerbody']"
hasPocketType,5,"['side pockets', 'pocketless', 'side pocket', 'front pockets', 'slant']"
hasSleeveType,4,"['sleeveless', 'shorts', 'short', 'short-sleeve']"
hasSilhouette,3,"['a-line', 'straight', 'slim-fit']"
hasNeckline,3,"['round neckline', 'round', 'v-neck']"
hasAnimalPattern,2,"['elephant', 'flower pattern']"
hasWaistline,1,['high-waisted']
belongsToCategory,1,['lowerbody']
hasLeatherType,1,['no leather']
hasCollarType,1,['v-neck']
hasNickname,1,['jockstrap']
