product1,product2,shared_attributes
15352.jpg,7039.jpg,10
33091.jpg,45800.jpg,10
10278.jpg,35936.jpg,10
35936.jpg,10278.jpg,10
45800.jpg,33091.jpg,10
39213.jpg,57941.jpg,10
15352.jpg,57941.jpg,10
57941.jpg,39213.jpg,10
7039.jpg,15352.jpg,10
57941.jpg,15352.jpg,10
57941.jpg,7396.jpg,9
57941.jpg,46885.jpg,9
7039.jpg,46885.jpg,9
46885.jpg,7039.jpg,9
19370.jpg,7039.jpg,9
38547.jpg,7039.jpg,9
19123.jpg,7039.jpg,9
35936.jpg,7039.jpg,9
10278.jpg,7039.jpg,9
12520.jpg,7039.jpg,9
57941.jpg,7039.jpg,9
11826.jpg,59315.jpg,9
57941.jpg,19370.jpg,9
15352.jpg,19370.jpg,9
7039.jpg,19370.jpg,9
57941.jpg,2639.jpg,9
5896.jpg,45800.jpg,9
7039.jpg,38547.jpg,9
12520.jpg,38547.jpg,9
15352.jpg,38547.jpg,9
7039.jpg,19123.jpg,9
15352.jpg,19123.jpg,9
57941.jpg,35936.jpg,9
39213.jpg,35936.jpg,9
15352.jpg,35936.jpg,9
12520.jpg,35936.jpg,9
7039.jpg,35936.jpg,9
57941.jpg,10278.jpg,9
39213.jpg,10278.jpg,9
15352.jpg,10278.jpg,9
12520.jpg,10278.jpg,9
7039.jpg,10278.jpg,9
5896.jpg,33091.jpg,9
11826.jpg,47109.jpg,9
45800.jpg,5896.jpg,9
33091.jpg,5896.jpg,9
57941.jpg,5896.jpg,9
7039.jpg,12520.jpg,9
38547.jpg,12520.jpg,9
35936.jpg,12520.jpg,9
10278.jpg,12520.jpg,9
15352.jpg,12520.jpg,9
19370.jpg,57941.jpg,9
2639.jpg,57941.jpg,9
35936.jpg,57941.jpg,9
10278.jpg,57941.jpg,9
46885.jpg,57941.jpg,9
5896.jpg,57941.jpg,9
7396.jpg,57941.jpg,9
7039.jpg,57941.jpg,9
35936.jpg,39213.jpg,9
10278.jpg,39213.jpg,9
15352.jpg,39213.jpg,9
19370.jpg,15352.jpg,9
38547.jpg,15352.jpg,9
19123.jpg,15352.jpg,9
35936.jpg,15352.jpg,9
10278.jpg,15352.jpg,9
12520.jpg,15352.jpg,9
39213.jpg,15352.jpg,9
47109.jpg,11826.jpg,9
59315.jpg,11826.jpg,9
12520.jpg,7396.jpg,8
7039.jpg,7396.jpg,8
39213.jpg,7396.jpg,8
15352.jpg,7396.jpg,8
5896.jpg,46885.jpg,8
7396.jpg,7039.jpg,8
2639.jpg,7039.jpg,8
33531.jpg,7039.jpg,8
45589.jpg,7039.jpg,8
2899.jpg,7039.jpg,8
5896.jpg,7039.jpg,8
5677.jpg,7039.jpg,8
39213.jpg,7039.jpg,8
5896.jpg,59315.jpg,8
47109.jpg,59315.jpg,8
2899.jpg,59315.jpg,8
2639.jpg,19370.jpg,8
35936.jpg,19370.jpg,8
10278.jpg,19370.jpg,8
39213.jpg,19370.jpg,8
45589.jpg,19370.jpg,8
3655.jpg,12872.jpg,8
9796.jpg,12872.jpg,8
19370.jpg,2639.jpg,8
35936.jpg,2639.jpg,8
10278.jpg,2639.jpg,8
39213.jpg,2639.jpg,8
15352.jpg,2639.jpg,8
7039.jpg,2639.jpg,8
45800.jpg,15877.jpg,8
33091.jpg,15877.jpg,8
5896.jpg,15877.jpg,8
58335.jpg,15877.jpg,8
15877.jpg,45800.jpg,8
58335.jpg,45800.jpg,8
35936.jpg,20762.jpg,8
10278.jpg,20762.jpg,8
15352.jpg,20762.jpg,8
12520.jpg,20762.jpg,8
19123.jpg,20762.jpg,8
19123.jpg,38547.jpg,8
35936.jpg,38547.jpg,8
10278.jpg,38547.jpg,8
2899.jpg,38547.jpg,8
5896.jpg,38547.jpg,8
57941.jpg,38547.jpg,8
20762.jpg,19123.jpg,8
38547.jpg,19123.jpg,8
12520.jpg,19123.jpg,8
12872.jpg,3655.jpg,8
9796.jpg,3655.jpg,8
11826.jpg,3655.jpg,8
19370.jpg,35936.jpg,8
2639.jpg,35936.jpg,8
20762.jpg,35936.jpg,8
5677.jpg,35936.jpg,8
38547.jpg,35936.jpg,8
19370.jpg,10278.jpg,8
2639.jpg,10278.jpg,8
20762.jpg,10278.jpg,8
5677.jpg,10278.jpg,8
38547.jpg,10278.jpg,8
15877.jpg,33091.jpg,8
58335.jpg,33091.jpg,8
59315.jpg,47109.jpg,8
12872.jpg,9796.jpg,8
3655.jpg,9796.jpg,8
57941.jpg,36462.jpg,8
7039.jpg,33531.jpg,8
5677.jpg,33531.jpg,8
57941.jpg,33531.jpg,8
7039.jpg,45589.jpg,8
19370.jpg,45589.jpg,8
57941.jpg,45589.jpg,8
7039.jpg,2899.jpg,8
38547.jpg,2899.jpg,8
12520.jpg,2899.jpg,8
15352.jpg,2899.jpg,8
59315.jpg,2899.jpg,8
5896.jpg,2899.jpg,8
57941.jpg,2899.jpg,8
46885.jpg,5896.jpg,8
59315.jpg,5896.jpg,8
15877.jpg,5896.jpg,8
58335.jpg,5896.jpg,8
7039.jpg,5896.jpg,8
38547.jpg,5896.jpg,8
