product,relationship,attribute
17133.jpg,hasMaterialType,leather
17133.jpg,hasOpeningType,zipper
17133.jpg,hasSleeveType,sleeveless
17133.jpg,hasNeckline,round
17133.jpg,hasLength,medium
17133.jpg,hasWaistline,natural
17133.jpg,hasSilhouette,a-line
17133.jpg,belongsToCategory,upperbody
17133.jpg,depicts,bag
47410.jpg,hasPattern,animal
47410.jpg,hasMaterialType,nylon
47410.jpg,hasLength,medium
47410.jpg,hasSilhouette,shoulder bag
47410.jpg,belongsToCategory,upperbody
47410.jpg,depicts,bag
8227.jpg,hasPattern,polka-dot
8227.jpg,hasFabricTreatment,plain weave
8227.jpg,hasMaterialType,synthetic
8227.jpg,hasOpeningType,zipper
8227.jpg,hasPocketType,side
8227.jpg,hasSleeveType,short
8227.jpg,hasNeckline,round
8227.jpg,hasLength,regular
8227.jpg,hasSilhouette,rectangular
8227.jpg,belongsToCategory,upperbody
8227.jpg,depicts,bag
10228.jpg,hasMaterialType,leather
10228.jpg,hasSilhouette,shoulder bag
10228.jpg,belongsToCategory,upperbody
10228.jpg,depicts,bag
50187.jpg,hasPattern,floral
50187.jpg,hasFabricTreatment,plain weave
50187.jpg,hasMaterialType,cotton
50187.jpg,hasOpeningType,zipper
50187.jpg,hasPocketType,side pockets
50187.jpg,hasSleeveType,sleeveless
50187.jpg,hasNeckline,round neck
50187.jpg,hasLength,regular
50187.jpg,hasSilhouette,a-line
50187.jpg,belongsToCategory,upperbody
50187.jpg,depicts,bag
48179.jpg,hasMaterialType,leather
48179.jpg,hasLength,medium
48179.jpg,hasSilhouette,shoulder bag
48179.jpg,belongsToCategory,upperbody
48179.jpg,depicts,bag
39930.jpg,hasLeatherType,full-grain leather
39930.jpg,hasMaterialType,leather
39930.jpg,hasOpeningType,zipper
39930.jpg,hasSleeveType,short-sleeve
39930.jpg,hasNeckline,round
39930.jpg,hasLength,short
39930.jpg,hasWaistline,high-waisted
39930.jpg,hasSilhouette,rectangular
39930.jpg,belongsToCategory,upperbody
39930.jpg,depicts,bag
2666.jpg,hasMaterialType,fabric
2666.jpg,hasLength,medium
2666.jpg,hasSilhouette,shoulder bag
2666.jpg,belongsToCategory,upperbody
2666.jpg,depicts,bag
25254.jpg,hasLeatherType,full-grain leather
25254.jpg,hasMaterialType,leather
25254.jpg,hasOpeningType,zipper
25254.jpg,hasSleeveType,long
25254.jpg,hasLength,short
25254.jpg,hasWaistline,high-waisted
25254.jpg,hasSilhouette,trapeze
25254.jpg,belongsToCategory,upperbody
25254.jpg,depicts,bag
58255.jpg,hasPattern,solid color
58255.jpg,hasLeatherType,smooth
58255.jpg,hasMaterialType,leather
58255.jpg,hasOpeningType,zipper
58255.jpg,hasLength,short
58255.jpg,hasSilhouette,rectangular
58255.jpg,belongsToCategory,upperbody
58255.jpg,depicts,bag
5559.jpg,hasFabricTreatment,plain weave
5559.jpg,hasMaterialType,cotton
5559.jpg,hasOpeningType,zipper
5559.jpg,hasSleeveType,sleeveless
5559.jpg,hasNeckline,v-shaped
5559.jpg,hasLength,regular
5559.jpg,hasWaistline,natural
5559.jpg,hasSilhouette,regular
5559.jpg,belongsToCategory,upperbody
5559.jpg,depicts,vest
52652.jpg,hasPattern,solid color
52652.jpg,hasFabricTreatment,textured
52652.jpg,hasMaterialType,fabric
52652.jpg,hasOpeningType,zipper
52652.jpg,hasSleeveType,short
52652.jpg,hasLength,long
52652.jpg,hasWaistline,natural
52652.jpg,hasSilhouette,a-line
52652.jpg,belongsToCategory,upperbody
52652.jpg,depicts,bag
10223.jpg,hasMaterialType,leather
10223.jpg,hasLength,medium
10223.jpg,hasSilhouette,shoulder bag
10223.jpg,belongsToCategory,upperbody
10223.jpg,depicts,bag
42878.jpg,hasFabricTreatment,brushed
42878.jpg,hasMaterialType,faux leather
42878.jpg,hasOpeningType,zipper
42878.jpg,hasPocketType,no pocket
42878.jpg,hasSleeveType,sleeveless
42878.jpg,hasLength,regular
42878.jpg,hasSilhouette,rectangular
42878.jpg,belongsToCategory,upperbody
42878.jpg,depicts,bag
54489.jpg,hasFabricTreatment,suede
54489.jpg,hasMaterialType,leather
54489.jpg,hasOpeningType,zipper
54489.jpg,hasSleeveType,short-sleeve
54489.jpg,hasNeckline,round
54489.jpg,hasLength,long
54489.jpg,hasWaistline,natural
54489.jpg,hasSilhouette,straight
54489.jpg,belongsToCategory,upperbody
54489.jpg,depicts,bag
54018.jpg,hasAnimalPattern,wolf
54018.jpg,hasPattern,plaid
54018.jpg,hasMaterialType,leather
54018.jpg,hasOpeningType,zipper
54018.jpg,hasPocketType,external
54018.jpg,hasSleeveType,long
54018.jpg,hasLength,short
54018.jpg,hasWaistline,natural
54018.jpg,hasSilhouette,a-line
54018.jpg,belongsToCategory,upperbody
54018.jpg,depicts,bag
25870.jpg,hasFabricTreatment,solid
25870.jpg,hasMaterialType,nylon
25870.jpg,hasOpeningType,zipper
25870.jpg,hasPocketType,zipper
25870.jpg,hasSleeveType,short
25870.jpg,hasLength,long
25870.jpg,hasWaistline,natural
25870.jpg,hasSilhouette,straight
25870.jpg,belongsToCategory,upperbody
25870.jpg,depicts,bag
34465.jpg,hasMaterialType,polyester
34465.jpg,hasLength,long
34465.jpg,hasSilhouette,regular
34465.jpg,belongsToCategory,upperbody
34465.jpg,depicts,bag
49556.jpg,hasPattern,floral
49556.jpg,hasFabricTreatment,suede
49556.jpg,hasMaterialType,leather
49556.jpg,hasOpeningType,zipper
49556.jpg,hasSleeveType,short
49556.jpg,hasNeckline,round
49556.jpg,hasLength,medium
49556.jpg,hasWaistline,natural
49556.jpg,hasSilhouette,straight
49556.jpg,belongsToCategory,upperbody
49556.jpg,depicts,bag
10216.jpg,hasPattern,floral
10216.jpg,hasMaterialType,fabric
10216.jpg,hasOpeningType,zipper
10216.jpg,hasSleeveType,short
10216.jpg,hasNeckline,round
10216.jpg,hasLength,long
10216.jpg,hasWaistline,natural
10216.jpg,hasSilhouette,a-line
10216.jpg,belongsToCategory,upperbody
10216.jpg,depicts,bag
37694.jpg,hasOpeningType,zipper
37694.jpg,hasLength,long
37694.jpg,hasSilhouette,regular
37694.jpg,belongsToCategory,upperbody
37694.jpg,depicts,bag
54014.jpg,hasFabricTreatment,smooth
54014.jpg,hasMaterialType,leather
54014.jpg,hasOpeningType,zipper
54014.jpg,hasSleeveType,sleeveless
54014.jpg,hasNeckline,round
54014.jpg,hasLength,medium
54014.jpg,hasWaistline,natural
54014.jpg,hasSilhouette,satchel
54014.jpg,belongsToCategory,upperbody
54014.jpg,depicts,bag
10225.jpg,hasMaterialType,leather
10225.jpg,hasOpeningType,zipper
10225.jpg,hasPocketType,side pockets
10225.jpg,hasSleeveType,sleeveless
10225.jpg,hasNeckline,round
10225.jpg,hasLength,short
10225.jpg,hasWaistline,high-waisted
10225.jpg,hasSilhouette,a-line
10225.jpg,belongsToCategory,upperbody
10225.jpg,depicts,bag
42866.jpg,hasPattern,striped
42866.jpg,hasFabricTreatment,embossed
42866.jpg,hasMaterialType,leather
42866.jpg,hasOpeningType,zipper
42866.jpg,hasSleeveType,sleeveless
42866.jpg,hasLength,long
42866.jpg,hasSilhouette,rectangular
42866.jpg,belongsToCategory,upperbody
42866.jpg,depicts,bag
50962.jpg,hasFabricTreatment,suede
50962.jpg,hasMaterialType,leather
50962.jpg,hasOpeningType,zipper
50962.jpg,hasLength,shoulder bag
50962.jpg,hasWaistline,natural
50962.jpg,hasSilhouette,straight
50962.jpg,belongsToCategory,upperbody
50962.jpg,depicts,bag
25146.jpg,hasPattern,striped
25146.jpg,hasFabricTreatment,solid
25146.jpg,hasMaterialType,cotton
25146.jpg,hasOpeningType,slit
25146.jpg,hasSleeveType,short
25146.jpg,hasNeckline,round
25146.jpg,hasLength,regular
25146.jpg,hasWaistline,natural
25146.jpg,hasSilhouette,horizontal
25146.jpg,belongsToCategory,upperbody
25146.jpg,depicts,bag
51924.jpg,hasPattern,solid color
51924.jpg,hasMaterialType,leather
51924.jpg,hasOpeningType,zipper
51924.jpg,hasLength,medium
51924.jpg,hasSilhouette,shoulder bag
51924.jpg,belongsToCategory,upperbody
51924.jpg,depicts,bag
46972.jpg,hasPattern,solid color
46972.jpg,hasLeatherType,no leather
46972.jpg,hasMaterialType,fabric
46972.jpg,hasOpeningType,zipper closure
46972.jpg,hasSleeveType,sleeveless
46972.jpg,hasNeckline,round neckline
46972.jpg,hasLength,medium
46972.jpg,hasSilhouette,shoulder bag
46972.jpg,belongsToCategory,upperbody
46972.jpg,depicts,bag
48182.jpg,hasFabricTreatment,non-treated
48182.jpg,hasMaterialType,fabric
48182.jpg,hasOpeningType,zipper
48182.jpg,hasPocketType,side pockets
48182.jpg,hasSleeveType,short
48182.jpg,hasLength,long
48182.jpg,hasWaistline,natural
48182.jpg,hasSilhouette,a-line
48182.jpg,belongsToCategory,upperbody
48182.jpg,depicts,bag
47361.jpg,hasMaterialType,leather
47361.jpg,hasLength,short
47361.jpg,hasSilhouette,shoulder bag
47361.jpg,belongsToCategory,upperbody
47361.jpg,depicts,bag
58274.jpg,hasPattern,solid color
58274.jpg,hasFabricTreatment,water resistant
58274.jpg,hasMaterialType,polyester
58274.jpg,hasOpeningType,zipper closure
58274.jpg,hasPocketType,interior pockets
58274.jpg,hasLength,short
58274.jpg,hasSilhouette,shoulder bag
58274.jpg,belongsToCategory,upperbody
58274.jpg,depicts,bag
47692.jpg,hasPattern,solid color
47692.jpg,hasFabricTreatment,plain weave
47692.jpg,hasMaterialType,fabric
47692.jpg,hasOpeningType,zipper
47692.jpg,hasSleeveType,short
47692.jpg,hasNeckline,round
47692.jpg,hasLength,long
47692.jpg,hasWaistline,high
47692.jpg,hasSilhouette,a-line
47692.jpg,belongsToCategory,upperbody
47692.jpg,depicts,bag
10727.jpg,hasMaterialType,leather
10727.jpg,hasOpeningType,zipper
10727.jpg,hasPocketType,side pockets
10727.jpg,hasSleeveType,short
10727.jpg,hasNeckline,v-neck
10727.jpg,hasLength,long
10727.jpg,hasWaistline,natural
10727.jpg,hasSilhouette,a-line
10727.jpg,belongsToCategory,upperbody
10727.jpg,depicts,bag
47927.jpg,hasAnimalPattern,animal pattern
47927.jpg,hasPattern,plaid
47927.jpg,hasFabricTreatment,suede
47927.jpg,hasMaterialType,leather
47927.jpg,hasOpeningType,zipper
47927.jpg,hasSleeveType,sleeveless
47927.jpg,hasNeckline,round
47927.jpg,hasLength,short
47927.jpg,hasSilhouette,a-line
47927.jpg,belongsToCategory,upperbody
47927.jpg,depicts,bag
14805.jpg,hasMaterialType,fabric
14805.jpg,hasLength,long
14805.jpg,hasSilhouette,bag
14805.jpg,belongsToCategory,upperbody
14805.jpg,depicts,bag
54491.jpg,hasPattern,striped
54491.jpg,hasFabricTreatment,plain weave
54491.jpg,hasMaterialType,cotton
54491.jpg,hasOpeningType,zipper closure
54491.jpg,hasPocketType,exterior pocket
54491.jpg,hasSleeveType,short-sleeve
54491.jpg,hasLength,medium
54491.jpg,hasWaistline,natural-waist
54491.jpg,hasSilhouette,shoulder bag
54491.jpg,belongsToCategory,upperbody
54491.jpg,depicts,bag
53678.jpg,hasPattern,solid color
53678.jpg,hasLeatherType,suede
53678.jpg,hasMaterialType,leather
53678.jpg,hasOpeningType,zipper
53678.jpg,hasNeckline,round
53678.jpg,hasLength,medium
53678.jpg,hasSilhouette,rectangular
53678.jpg,hasNickname,purse
53678.jpg,belongsToCategory,upperbody
53678.jpg,depicts,bag
10321.jpg,hasPattern,solid color pattern
10321.jpg,hasFabricTreatment,no special treatment
10321.jpg,hasLeatherType,no leather
10321.jpg,hasMaterialType,fabric
10321.jpg,hasOpeningType,zipper opening
10321.jpg,hasPocketType,side pocket
10321.jpg,hasSleeveType,sleeveless
10321.jpg,hasNeckline,round neckline
10321.jpg,hasLength,short
10321.jpg,hasWaistline,natural-waist
10321.jpg,hasSilhouette,shoulder bag
10321.jpg,belongsToCategory,upperbody
10321.jpg,depicts,bag
37432.jpg,hasPattern,solid color
37432.jpg,hasLeatherType,full-grain leather
37432.jpg,hasMaterialType,leather
37432.jpg,hasOpeningType,zipper closure
37432.jpg,hasPocketType,side pockets
37432.jpg,hasSleeveType,long-sleeve
37432.jpg,hasNeckline,round neckline
37432.jpg,hasLength,medium-length
37432.jpg,hasWaistline,high-waisted
37432.jpg,hasSilhouette,shoulder bag
37432.jpg,belongsToCategory,upperbody
37432.jpg,depicts,bag
27677.jpg,hasMaterialType,leather
27677.jpg,hasLength,medium length
27677.jpg,hasWaistline,no waist
27677.jpg,hasSilhouette,shoulder bag
27677.jpg,belongsToCategory,upperbody
27677.jpg,depicts,bag
