product,relationship,attribute
24664.jpg,hasMaterialType,fabric
24664.jpg,hasLength,short
24664.jpg,hasSilhouette,slipper
24664.jpg,belongsToCategory,lowerbody
24664.jpg,depicts,shoes
10754.jpg,hasAnimalPattern,mickey mouse
10754.jpg,hasPattern,cartoon
10754.jpg,hasFabricTreatment,painted
10754.jpg,hasMaterialType,rubber
10754.jpg,hasOpeningType,slipper
10754.jpg,hasLength,short
10754.jpg,hasSilhouette,slipper
10754.jpg,belongsToCategory,lowerbody
10754.jpg,depicts,shoes
3805.jpg,hasMaterialType,synthetic
3805.jpg,hasOpeningType,slip-on
3805.jpg,hasLength,short
3805.jpg,hasSilhouette,slipper-like
3805.jpg,belongsToCategory,lowerbody
3805.jpg,depicts,shoes
47563.jpg,hasFabricTreatment,plain weave
47563.jpg,hasMaterialType,fabric
47563.jpg,hasOpeningType,slipper
47563.jpg,hasLength,short
47563.jpg,hasSilhouette,slipper
47563.jpg,belongsToCategory,lowerbody
47563.jpg,depicts,shoes
34120.jpg,hasMaterialType,leather
34120.jpg,hasOpeningType,slipper
34120.jpg,hasLength,short
34120.jpg,hasSilhouette,slipper
34120.jpg,belongsToCategory,lowerbody
34120.jpg,depicts,shoes
46885.jpg,hasPattern,solid color
46885.jpg,hasMaterialType,fabric
46885.jpg,hasOpeningType,slip-on
46885.jpg,hasLength,short
46885.jpg,hasSilhouette,slip-on
46885.jpg,belongsToCategory,shoes
46885.jpg,depicts,shoes
7039.jpg,hasSilhouette,slip-on
7039.jpg,hasSleeveType,slip-on
7039.jpg,depicts,shoes
7039.jpg,belongsToCategory,lowerbody
7039.jpg,hasLength,short
7039.jpg,hasOpeningType,shoes
7039.jpg,hasMaterialType,leather
7039.jpg,hasLeatherType,full-grain leather
43952.jpg,hasPattern,polka-dot
43952.jpg,hasFabricTreatment,plain weave
43952.jpg,hasMaterialType,fabric
43952.jpg,hasOpeningType,strap opening
43952.jpg,hasPocketType,no pocket
43952.jpg,hasSleeveType,sleeveless
43952.jpg,hasNeckline,open neckline
43952.jpg,hasLength,short
43952.jpg,hasSilhouette,slipper-like
43952.jpg,belongsToCategory,lowerbody
43952.jpg,depicts,shoes
29226.jpg,hasMaterialType,fabric
29226.jpg,hasOpeningType,one-piece opening
29226.jpg,hasLength,short
29226.jpg,hasSilhouette,slipper
29226.jpg,belongsToCategory,lowerbody
29226.jpg,depicts,shoes
49829.jpg,hasSilhouette,flat
49829.jpg,hasCollarType,open
49829.jpg,hasSleeveType,short
49829.jpg,hasPattern,floral
49829.jpg,depicts,shoes
49829.jpg,belongsToCategory,upperbody
49829.jpg,hasLength,short
49829.jpg,hasNeckline,round
49829.jpg,hasOpeningType,zipper
49829.jpg,hasMaterialType,fabric
49829.jpg,hasFabricTreatment,plain weave
54540.jpg,hasMaterialType,fabric
54540.jpg,hasOpeningType,lace-up
54540.jpg,hasSleeveType,long-sleeve
54540.jpg,hasLength,ankle-length
54540.jpg,hasSilhouette,round
54540.jpg,belongsToCategory,upperbody
54540.jpg,depicts,shoes
9719.jpg,hasPattern,striped
9719.jpg,hasFabricTreatment,textured
9719.jpg,hasMaterialType,fabric
9719.jpg,hasOpeningType,slipper
9719.jpg,hasLength,short
9719.jpg,hasSilhouette,slipper
9719.jpg,belongsToCategory,lowerbody
9719.jpg,depicts,shoes
13478.jpg,hasLeatherType,nappa
13478.jpg,hasMaterialType,leather
13478.jpg,hasOpeningType,slipper
13478.jpg,hasLength,short
13478.jpg,hasSilhouette,slipper
13478.jpg,belongsToCategory,lowerbody
13478.jpg,depicts,shoes
49827.jpg,hasPattern,striped
49827.jpg,hasFabricTreatment,non-woven fabric
49827.jpg,hasMaterialType,rubber
49827.jpg,hasOpeningType,closed toe and closed heel
49827.jpg,hasSleeveType,short
49827.jpg,hasNeckline,open
49827.jpg,hasLength,short
49827.jpg,hasSilhouette,flat
49827.jpg,belongsToCategory,lowerbody
49827.jpg,depicts,shoes
59013.jpg,hasMaterialType,cotton
59013.jpg,hasOpeningType,lace-up
59013.jpg,hasSleeveType,short
59013.jpg,hasLength,ankle-length
59013.jpg,hasSilhouette,slipper
59013.jpg,belongsToCategory,lowerbody
59013.jpg,depicts,shoes
18477.jpg,hasPattern,striped
18477.jpg,hasFabricTreatment,textured
18477.jpg,hasMaterialType,fabric
18477.jpg,hasOpeningType,lace-up front
18477.jpg,hasSleeveType,short
18477.jpg,hasLength,short
18477.jpg,hasWaistline,natural
18477.jpg,hasSilhouette,flat
18477.jpg,belongsToCategory,lowerbody
18477.jpg,depicts,shoes
6100.jpg,hasMaterialType,fabric
6100.jpg,hasLength,short
6100.jpg,hasSilhouette,slipper
6100.jpg,belongsToCategory,lowerbody
6100.jpg,depicts,shoes
15869.jpg,hasMaterialType,rubber
15869.jpg,hasLength,short
15869.jpg,hasSilhouette,slipper
15869.jpg,belongsToCategory,lowerbody
15869.jpg,depicts,shoes
13655.jpg,hasMaterialType,fabric
13655.jpg,hasOpeningType,slipper
13655.jpg,hasLength,short
13655.jpg,hasSilhouette,slipper
13655.jpg,belongsToCategory,lowerbody
13655.jpg,depicts,shoes
54543.jpg,hasPattern,solid color
54543.jpg,hasFabricTreatment,suede
54543.jpg,hasLeatherType,nubuck
54543.jpg,hasMaterialType,fabric
54543.jpg,hasSleeveType,short
54543.jpg,hasLength,long
54543.jpg,hasSilhouette,ankle boots
54543.jpg,belongsToCategory,upperbody
54543.jpg,depicts,shoes
42694.jpg,hasPattern,striped
42694.jpg,hasFabricTreatment,plain weave
42694.jpg,hasMaterialType,fabric
42694.jpg,hasSleeveType,short
42694.jpg,hasLength,short
42694.jpg,hasSilhouette,flat
42694.jpg,belongsToCategory,lowerbody
42694.jpg,depicts,shoes
53450.jpg,hasMaterialType,rubber
53450.jpg,hasLength,short
53450.jpg,hasSilhouette,slipper-like
53450.jpg,belongsToCategory,lowerbody
53450.jpg,depicts,shoes
45337.jpg,hasMaterialType,fabric
45337.jpg,hasOpeningType,closed
45337.jpg,hasPocketType,pocketless
45337.jpg,hasSleeveType,sleeveless
45337.jpg,hasNeckline,round
45337.jpg,hasLength,short
45337.jpg,hasSilhouette,sandal
45337.jpg,belongsToCategory,upperbody
45337.jpg,depicts,shoes
15876.jpg,hasFabricTreatment,no treatment
15876.jpg,hasMaterialType,fabric
15876.jpg,hasOpeningType,slipper opening
15876.jpg,hasLength,short
15876.jpg,hasSilhouette,slipper
15876.jpg,belongsToCategory,lowerbody
15876.jpg,depicts,shoes
34519.jpg,hasMaterialType,fabric
34519.jpg,hasLength,short
34519.jpg,hasSilhouette,slipper
34519.jpg,belongsToCategory,lowerbody
34519.jpg,depicts,shoes
39664.jpg,hasPattern,striped
39664.jpg,hasMaterialType,fabric
39664.jpg,hasOpeningType,lace-up
39664.jpg,hasLength,short
39664.jpg,hasSilhouette,slipper
39664.jpg,belongsToCategory,lowerbody
39664.jpg,depicts,shoes
30251.jpg,hasPattern,striped
30251.jpg,hasFabricTreatment,plain weave
30251.jpg,hasMaterialType,synthetic
30251.jpg,hasOpeningType,zipper
30251.jpg,hasPocketType,pockets
30251.jpg,hasSleeveType,sleeveless
30251.jpg,hasNeckline,round
30251.jpg,hasLength,short
30251.jpg,hasSilhouette,slipper
30251.jpg,belongsToCategory,upperbody
30251.jpg,depicts,shoes
13179.jpg,hasPattern,striped
13179.jpg,hasMaterialType,fabric
13179.jpg,hasOpeningType,lace-up
13179.jpg,hasSleeveType,short
13179.jpg,hasLength,ankle-length
13179.jpg,hasSilhouette,athletic
13179.jpg,belongsToCategory,lowerbody
13179.jpg,depicts,shoes
17046.jpg,hasMaterialType,synthetic
17046.jpg,hasOpeningType,closed
17046.jpg,hasSleeveType,short
17046.jpg,hasLength,short
17046.jpg,hasSilhouette,flat
17046.jpg,belongsToCategory,lowerbody
17046.jpg,depicts,shoes
25492.jpg,hasPattern,solid color
25492.jpg,hasLeatherType,no leather
25492.jpg,hasMaterialType,fabric
25492.jpg,hasOpeningType,closed opening
25492.jpg,hasSleeveType,short-sleeve
25492.jpg,hasNeckline,round neck
25492.jpg,hasLength,short
25492.jpg,hasSilhouette,slipper-like
25492.jpg,belongsToCategory,lowerbody
25492.jpg,depicts,shoes
24177.jpg,hasMaterialType,fabric
24177.jpg,hasLength,short
24177.jpg,hasSilhouette,slipper
24177.jpg,belongsToCategory,lowerbody
24177.jpg,depicts,shoes
57309.jpg,hasFabricTreatment,smooth
57309.jpg,hasMaterialType,fabric
57309.jpg,hasOpeningType,slipper
57309.jpg,hasLength,short
57309.jpg,hasSilhouette,slipper
57309.jpg,belongsToCategory,lowerbody
57309.jpg,depicts,shoes
58231.jpg,hasPattern,solid color
58231.jpg,hasMaterialType,fabric
58231.jpg,hasOpeningType,closed
58231.jpg,hasSleeveType,short
58231.jpg,hasNeckline,round
58231.jpg,hasLength,short
58231.jpg,hasSilhouette,flat
58231.jpg,belongsToCategory,lowerbody
58231.jpg,depicts,shoes
28638.jpg,hasFabricTreatment,plain weave
28638.jpg,hasMaterialType,synthetic
28638.jpg,hasOpeningType,slip-on
