relation1,attribute1,relation2,attribute2,frequency
belongsToCategory,upperbody,hasWaistline,natural,40
hasWaistline,natural,belongsToCategory,upperbody,40
hasWaistline,natural,hasMaterialType,cotton,30
belongsToCategory,upperbody,hasMaterialType,cotton,30
hasMaterialType,cotton,hasWaistline,natural,30
hasMaterialType,cotton,belongsToCategory,upperbody,30
depicts,bra,hasWaistline,natural,24
depicts,bra,belongsToCategory,upperbody,24
hasWaistline,natural,depicts,bra,24
belongsToCategory,upperbody,depicts,bra,24
hasWaistline,natural,hasNeckline,v-neck,24
belongsToCategory,upperbody,hasNeckline,v-neck,24
hasNeckline,v-neck,hasWaistline,natural,24
hasNeckline,v-neck,belongsToCategory,upperbody,24
hasWaistline,natural,hasSleeveType,sleeveless,22
belongsToCategory,upperbody,hasSleeveType,sleeveless,22
hasSleeveType,sleeveless,hasWaistline,natural,22
hasSleeveType,sleeveless,belongsToCategory,upperbody,22
hasSilhouette,fitted,hasWaistline,natural,21
hasWaistline,natural,hasSilhouette,fitted,21
belongsToCategory,upperbody,hasSilhouette,fitted,21
hasSilhouette,fitted,belongsToCategory,upperbody,21
depicts,bra,hasSleeveType,sleeveless,20
hasSleeveType,sleeveless,depicts,bra,20
hasNeckline,v-neck,hasMaterialType,cotton,19
hasMaterialType,cotton,hasNeckline,v-neck,19
depicts,bra,hasSilhouette,fitted,17
hasSilhouette,fitted,depicts,bra,17
depicts,bra,hasMaterialType,cotton,15
hasSilhouette,fitted,hasSleeveType,sleeveless,15
hasSleeveType,sleeveless,hasSilhouette,fitted,15
hasMaterialType,cotton,depicts,bra,15
hasSleeveType,sleeveless,hasMaterialType,cotton,14
hasSilhouette,fitted,hasMaterialType,cotton,14
hasMaterialType,cotton,hasSleeveType,sleeveless,14
hasMaterialType,cotton,hasSilhouette,fitted,14
hasLength,regular,hasMaterialType,cotton,14
hasMaterialType,cotton,hasLength,regular,14
hasWaistline,natural,hasLength,regular,14
belongsToCategory,upperbody,hasLength,regular,14
hasLength,regular,hasWaistline,natural,14
hasLength,regular,belongsToCategory,upperbody,14
hasWaistline,natural,hasPattern,striped,12
belongsToCategory,upperbody,hasPattern,striped,12
hasPattern,striped,hasWaistline,natural,12
hasPattern,striped,belongsToCategory,upperbody,12
hasWaistline,natural,hasFabricTreatment,stretchy,12
belongsToCategory,upperbody,hasFabricTreatment,stretchy,12
depicts,bra,hasFabricTreatment,stretchy,12
hasFabricTreatment,stretchy,hasWaistline,natural,12
hasFabricTreatment,stretchy,belongsToCategory,upperbody,12
hasFabricTreatment,stretchy,depicts,bra,12
depicts,bra,hasNeckline,v-neck,12
hasNeckline,v-neck,depicts,bra,12
hasSilhouette,fitted,hasNeckline,v-neck,12
hasNeckline,v-neck,hasSilhouette,fitted,12
hasMaterialType,cotton,hasPattern,striped,11
hasPattern,striped,hasMaterialType,cotton,11
hasWaistline,natural,hasLength,short,11
belongsToCategory,upperbody,hasLength,short,11
hasLength,short,hasWaistline,natural,11
hasLength,short,belongsToCategory,upperbody,11
hasLength,regular,hasNeckline,v-neck,11
hasNeckline,v-neck,hasLength,regular,11
depicts,shirt,hasMaterialType,cotton,11
depicts,shirt,hasWaistline,natural,11
depicts,shirt,belongsToCategory,upperbody,11
hasMaterialType,cotton,depicts,shirt,11
hasWaistline,natural,depicts,shirt,11
belongsToCategory,upperbody,depicts,shirt,11
hasNeckline,v-neck,hasSleeveType,sleeveless,11
hasSleeveType,sleeveless,hasNeckline,v-neck,11
hasSilhouette,fitted,hasPattern,striped,10
depicts,bra,hasPattern,striped,10
hasLength,short,hasSleeveType,sleeveless,10
hasSleeveType,sleeveless,hasLength,short,10
hasPattern,striped,hasSilhouette,fitted,10
hasPattern,striped,depicts,bra,10
hasSleeveType,sleeveless,hasFabricTreatment,stretchy,10
hasSilhouette,fitted,hasFabricTreatment,stretchy,10
hasFabricTreatment,stretchy,hasSleeveType,sleeveless,10
hasFabricTreatment,stretchy,hasSilhouette,fitted,10
hasSleeveType,sleeveless,hasPattern,striped,9
hasPattern,striped,hasSleeveType,sleeveless,9
depicts,bra,hasLength,short,9
hasLength,short,depicts,bra,9
hasSleeveType,short-sleeve,hasMaterialType,cotton,9
hasMaterialType,cotton,hasSleeveType,short-sleeve,9
hasNeckline,v-neck,hasSleeveType,short-sleeve,9
hasWaistline,natural,hasSleeveType,short-sleeve,9
belongsToCategory,upperbody,hasSleeveType,short-sleeve,9
hasSleeveType,short-sleeve,hasNeckline,v-neck,9
hasSleeveType,short-sleeve,hasWaistline,natural,9
hasSilhouette,a-line,hasWaistline,natural,9
hasWaistline,natural,hasSilhouette,a-line,9
belongsToCategory,upperbody,hasSilhouette,a-line,9
hasSleeveType,short-sleeve,belongsToCategory,upperbody,9
hasSilhouette,a-line,belongsToCategory,upperbody,9
depicts,shirt,hasLength,regular,9
hasLength,regular,depicts,shirt,9
hasLength,short,hasMaterialType,cotton,8
hasMaterialType,cotton,hasLength,short,8
hasSilhouette,a-line,hasMaterialType,cotton,8
hasSilhouette,a-line,hasNeckline,v-neck,8
hasMaterialType,cotton,hasSilhouette,a-line,8
hasNeckline,v-neck,hasSilhouette,a-line,8
hasNeckline,v-neck,hasPattern,striped,8
hasPattern,striped,hasNeckline,v-neck,8
depicts,shirt,hasNeckline,v-neck,8
hasNeckline,v-neck,depicts,shirt,8
hasSilhouette,fitted,hasLength,short,7
hasLength,short,hasSilhouette,fitted,7
hasWaistline,natural,hasPattern,floral,7
belongsToCategory,upperbody,hasPattern,floral,7
hasLength,regular,hasSleeveType,short-sleeve,7
hasSleeveType,short-sleeve,hasLength,regular,7
hasPattern,floral,hasWaistline,natural,7
hasPattern,floral,belongsToCategory,upperbody,7
hasWaistline,natural,hasOpeningType,back closure,7
belongsToCategory,upperbody,hasOpeningType,back closure,7
depicts,bra,hasOpeningType,back closure,7
hasOpeningType,back closure,hasWaistline,natural,7
hasOpeningType,back closure,belongsToCategory,upperbody,7
hasOpeningType,back closure,depicts,bra,7
hasOpeningType,zipper,hasMaterialType,cotton,6
hasMaterialType,cotton,hasOpeningType,zipper,6
hasSleeveType,sleeveless,hasOpeningType,zipper,6
hasWaistline,natural,hasOpeningType,zipper,6
belongsToCategory,upperbody,hasOpeningType,zipper,6
hasOpeningType,zipper,hasSleeveType,sleeveless,6
hasOpeningType,zipper,hasWaistline,natural,6
hasOpeningType,zipper,belongsToCategory,upperbody,6
hasOpeningType,back closure,hasFabricTreatment,stretchy,6
hasFabricTreatment,stretchy,hasOpeningType,back closure,6
hasOpeningType,button,hasMaterialType,cotton,6
hasMaterialType,cotton,hasOpeningType,button,6
hasWaistline,natural,hasOpeningType,button,6
belongsToCategory,upperbody,hasOpeningType,button,6
hasOpeningType,button,hasWaistline,natural,6
hasOpeningType,button,belongsToCategory,upperbody,6
hasLength,short,hasNeckline,v-neck,6
hasNeckline,v-neck,hasLength,short,6
depicts,bra,hasOpeningType,zipper,5
hasOpeningType,zipper,depicts,bra,5
hasMaterialType,cotton,hasPattern,floral,5
hasNeckline,v-neck,hasPattern,floral,5
hasPattern,floral,hasMaterialType,cotton,5
hasSilhouette,a-line,hasSleeveType,short-sleeve,5
hasPattern,floral,hasNeckline,v-neck,5
hasSilhouette,a-line,hasLength,regular,5
hasSleeveType,short-sleeve,hasSilhouette,a-line,5
hasLength,regular,hasSilhouette,a-line,5
hasWaistline,natural,hasMaterialType,fabric,5
belongsToCategory,upperbody,hasMaterialType,fabric,5
depicts,bra,hasMaterialType,fabric,5
hasSleeveType,sleeveless,hasOpeningType,back closure,5
hasSilhouette,fitted,hasOpeningType,back closure,5
hasOpeningType,back closure,hasSleeveType,sleeveless,5
hasMaterialType,fabric,hasWaistline,natural,5
hasOpeningType,back closure,hasSilhouette,fitted,5
hasMaterialType,fabric,belongsToCategory,upperbody,5
hasMaterialType,fabric,depicts,bra,5
hasNeckline,v-neck,hasOpeningType,button,5
hasOpeningType,button,hasNeckline,v-neck,5
hasNeckline,v-neck,hasFabricTreatment,stretchy,5
hasFabricTreatment,stretchy,hasNeckline,v-neck,5
hasMaterialType,cotton,hasFabricTreatment,plain weave,5
hasWaistline,natural,hasFabricTreatment,plain weave,5
belongsToCategory,upperbody,hasFabricTreatment,plain weave,5
hasFabricTreatment,plain weave,hasMaterialType,cotton,5
hasFabricTreatment,plain weave,hasWaistline,natural,5
hasFabricTreatment,plain weave,belongsToCategory,upperbody,5
hasSilhouette,fitted,hasLength,regular,5
hasLength,regular,hasSilhouette,fitted,5
hasOpeningType,zipper,hasPattern,striped,4
hasLength,short,hasPattern,striped,4
hasPattern,striped,hasOpeningType,zipper,4
hasPattern,striped,hasLength,short,4
depicts,t-shirt,hasNeckline,v-neck,4
depicts,t-shirt,hasWaistline,natural,4
depicts,t-shirt,belongsToCategory,upperbody,4
hasNeckline,v-neck,depicts,t-shirt,4
hasWaistline,natural,depicts,t-shirt,4
belongsToCategory,upperbody,depicts,t-shirt,4
hasWaistline,natural,hasPattern,solid color,4
belongsToCategory,upperbody,hasPattern,solid color,4
hasMaterialType,fabric,hasFabricTreatment,stretchy,4
hasFabricTreatment,stretchy,hasMaterialType,fabric,4
hasSleeveType,sleeveless,hasMaterialType,fabric,4
hasSilhouette,fitted,hasMaterialType,fabric,4
hasMaterialType,fabric,hasSleeveType,sleeveless,4
hasPattern,solid color,hasWaistline,natural,4
hasMaterialType,fabric,hasSilhouette,fitted,4
hasPattern,solid color,belongsToCategory,upperbody,4
depicts,shirt,hasSilhouette,a-line,4
hasSilhouette,a-line,depicts,shirt,4
depicts,bra,hasPattern,floral,4
hasPattern,floral,depicts,bra,4
hasNeckline,sweetheart,hasFabricTreatment,stretchy,4
hasNeckline,sweetheart,hasSleeveType,sleeveless,4
hasFabricTreatment,stretchy,hasNeckline,sweetheart,4
hasSleeveType,sleeveless,hasNeckline,sweetheart,4
hasWaistline,natural,hasNeckline,sweetheart,4
belongsToCategory,upperbody,hasNeckline,sweetheart,4
depicts,bra,hasNeckline,sweetheart,4
hasNeckline,sweetheart,hasWaistline,natural,4
hasNeckline,sweetheart,belongsToCategory,upperbody,4
hasNeckline,sweetheart,depicts,bra,4
hasSilhouette,fitted,hasPattern,floral,4
hasMaterialType,cotton,hasFabricTreatment,stretchy,4
hasFabricTreatment,stretchy,hasMaterialType,cotton,4
hasPattern,floral,hasSilhouette,fitted,4
hasNeckline,v-neck,hasFabricTreatment,plain weave,4
hasSilhouette,regular,hasMaterialType,cotton,4
depicts,shirt,hasOpeningType,button,4
hasFabricTreatment,plain weave,hasNeckline,v-neck,4
hasSilhouette,regular,hasWaistline,natural,4
hasMaterialType,cotton,hasSilhouette,regular,4
hasWaistline,natural,hasSilhouette,regular,4
belongsToCategory,upperbody,hasSilhouette,regular,4
hasSilhouette,regular,belongsToCategory,upperbody,4
hasOpeningType,button,depicts,shirt,4
hasLength,regular,hasFabricTreatment,plain weave,4
hasFabricTreatment,plain weave,hasLength,regular,4
depicts,shirt,hasSleeveType,short-sleeve,4
depicts,shirt,hasSilhouette,fitted,4
hasSleeveType,short-sleeve,depicts,shirt,4
hasSilhouette,fitted,depicts,shirt,4
hasSilhouette,fitted,hasOpeningType,zipper,3
hasNeckline,plunging neckline,hasSleeveType,sleeveless,3
hasSleeveType,sleeveless,hasNeckline,plunging neckline,3
hasWaistline,natural,hasNeckline,plunging neckline,3
hasSilhouette,fitted,hasNeckline,plunging neckline,3
belongsToCategory,upperbody,hasNeckline,plunging neckline,3
depicts,bra,hasNeckline,plunging neckline,3
hasNeckline,plunging neckline,hasWaistline,natural,3
hasOpeningType,zipper,hasSilhouette,fitted,3
hasNeckline,plunging neckline,hasSilhouette,fitted,3
hasNeckline,plunging neckline,belongsToCategory,upperbody,3
hasNeckline,plunging neckline,depicts,bra,3
hasLength,regular,hasPattern,floral,3
hasSilhouette,a-line,hasPattern,floral,3
depicts,t-shirt,hasMaterialType,cotton,3
depicts,t-shirt,hasSleeveType,short-sleeve,3
hasPattern,floral,hasLength,regular,3
depicts,t-shirt,hasLength,regular,3
hasPattern,floral,hasSilhouette,a-line,3
hasMaterialType,cotton,depicts,t-shirt,3
hasSleeveType,short-sleeve,depicts,t-shirt,3
hasLength,regular,depicts,t-shirt,3
hasOpeningType,back closure,hasMaterialType,fabric,3
hasMaterialType,fabric,hasOpeningType,back closure,3
hasCollarType,v-neck,hasMaterialType,cotton,3
hasMaterialType,cotton,hasCollarType,v-neck,3
hasWaistline,natural,hasCollarType,v-neck,3
belongsToCategory,upperbody,hasCollarType,v-neck,3
hasCollarType,v-neck,hasWaistline,natural,3
hasCollarType,v-neck,belongsToCategory,upperbody,3
hasSleeveType,short-sleeve,hasOpeningType,button,3
hasOpeningType,button,hasSleeveType,short-sleeve,3
depicts,bra,hasSilhouette,a-line,3
hasSilhouette,a-line,depicts,bra,3
hasSleeveType,sleeveless,hasPattern,floral,3
hasNeckline,v-neck,hasOpeningType,zipper,3
hasPattern,floral,hasSleeveType,sleeveless,3
hasOpeningType,zipper,hasNeckline,v-neck,3
hasLength,body-hugging,hasFabricTreatment,stretchy,3
hasLength,body-hugging,hasOpeningType,back closure,3
hasFabricTreatment,stretchy,hasLength,body-hugging,3
hasOpeningType,back closure,hasLength,body-hugging,3
hasWaistline,natural,hasLength,body-hugging,3
hasSilhouette,fitted,hasLength,body-hugging,3
belongsToCategory,upperbody,hasLength,body-hugging,3
depicts,bra,hasLength,body-hugging,3
hasLength,body-hugging,hasWaistline,natural,3
hasLength,body-hugging,hasSilhouette,fitted,3
hasLength,body-hugging,belongsToCategory,upperbody,3
hasLength,body-hugging,depicts,bra,3
hasFabricTreatment,stretchy,hasPattern,floral,3
hasPattern,floral,hasFabricTreatment,stretchy,3
hasLength,short,hasFabricTreatment,stretchy,3
hasNeckline,sweetheart,hasMaterialType,cotton,3
hasMaterialType,cotton,hasNeckline,sweetheart,3
hasFabricTreatment,stretchy,hasLength,short,3
hasFabricTreatment,stretchy,hasPattern,striped,3
hasPattern,striped,hasFabricTreatment,stretchy,3
hasSleeveType,short-sleeve,hasPattern,striped,3
hasPattern,striped,hasSleeveType,short-sleeve,3
depicts,shirt,hasFabricTreatment,plain weave,3
hasSleeveType,short,hasMaterialType,cotton,3
hasMaterialType,cotton,hasSleeveType,short,3
hasWaistline,natural,hasSleeveType,short,3
belongsToCategory,upperbody,hasSleeveType,short,3
depicts,shirt,hasSleeveType,short,3
hasSleeveType,short,hasWaistline,natural,3
depicts,shirt,hasSilhouette,regular,3
hasSleeveType,short,belongsToCategory,upperbody,3
hasFabricTreatment,plain weave,depicts,shirt,3
hasSleeveType,short,depicts,shirt,3
hasSilhouette,regular,depicts,shirt,3
hasLength,regular,hasPattern,striped,3
hasPattern,striped,hasLength,regular,3
