product,relationship,attribute
21896.jpg,hasPattern,floral
21896.jpg,hasMaterialType,cotton
21896.jpg,hasOpeningType,zipper closure
21896.jpg,hasSleeveType,short-sleeve
21896.jpg,hasNeckline,v-neck
21896.jpg,hasCollarType,v-neck
21896.jpg,hasLength,knee-length
21896.jpg,hasWaistline,natural
21896.jpg,hasSilhouette,a-line
21896.jpg,belongsToCategory,upperbody
21896.jpg,depicts,dress
45845.jpg,hasPattern,floral
45845.jpg,hasMaterialType,cotton
45845.jpg,hasOpeningType,button front
45845.jpg,hasSleeveType,short-sleeve
45845.jpg,hasNeckline,v-neck
45845.jpg,hasCollarType,v-neck
45845.jpg,hasLength,knee-length
45845.jpg,hasWaistline,high-waisted
45845.jpg,hasSilhouette,a-line
45845.jpg,belongsToCategory,upperbody
45845.jpg,depicts,dress
15830.jpg,hasPattern,floral
15830.jpg,hasFabricTreatment,plain weave
15830.jpg,hasMaterialType,cotton
15830.jpg,hasOpeningType,zipper closure
15830.jpg,hasSleeveType,short-sleeve
15830.jpg,hasNeckline,v-neck
15830.jpg,hasCollarType,v-neck
15830.jpg,hasLength,knee-length
15830.jpg,hasWaistline,natural-waist
15830.jpg,hasSilhouette,a-line
15830.jpg,belongsToCategory,upperbody
15830.jpg,depicts,dress
22020.jpg,hasPattern,floral
22020.jpg,hasMaterialType,cotton
22020.jpg,hasOpeningType,zipper
22020.jpg,hasSleeveType,short-sleeve
22020.jpg,hasNeckline,v-neck
22020.jpg,hasCollarType,v-neck
22020.jpg,hasLength,knee-length
22020.jpg,hasWaistline,natural-waist
22020.jpg,hasSilhouette,a-line
22020.jpg,belongsToCategory,lowerbody
22020.jpg,depicts,dress
28937.jpg,hasPattern,floral
28937.jpg,hasMaterialType,cotton
28937.jpg,hasOpeningType,zipper
28937.jpg,hasSleeveType,short-sleeve
28937.jpg,hasNeckline,v-neck
28937.jpg,hasCollarType,round
28937.jpg,hasLength,knee-length
28937.jpg,hasWaistline,fitted
28937.jpg,hasSilhouette,a-line
28937.jpg,belongsToCategory,upperbody
28937.jpg,depicts,dress
47040.jpg,hasPattern,floral
47040.jpg,hasMaterialType,cotton
47040.jpg,hasOpeningType,zipper closure
47040.jpg,hasSleeveType,short-sleeve
47040.jpg,hasNeckline,v-neck
47040.jpg,hasLength,knee-length
47040.jpg,hasWaistline,natural-waist
47040.jpg,hasSilhouette,a-line
47040.jpg,belongsToCategory,upperbody
47040.jpg,depicts,dress
24373.jpg,hasPattern,floral
24373.jpg,hasMaterialType,cotton
24373.jpg,hasOpeningType,round neckline
24373.jpg,hasSleeveType,short-sleeve
24373.jpg,hasNeckline,v-neck
24373.jpg,hasCollarType,v-neck
24373.jpg,hasWaistline,natural-waist
24373.jpg,hasLength,knee-length
24373.jpg,hasSilhouette,a-line
24373.jpg,belongsToCategory,upperbody
24373.jpg,depicts,dress
22036.jpg,hasPattern,floral
22036.jpg,hasMaterialType,cotton
22036.jpg,hasOpeningType,zipper
22036.jpg,hasSleeveType,short-sleeve
22036.jpg,hasNeckline,v-neck
22036.jpg,hasCollarType,v-neck
22036.jpg,hasLength,knee-length
22036.jpg,hasWaistline,natural
22036.jpg,hasSilhouette,a-line
22036.jpg,belongsToCategory,upperbody
22036.jpg,depicts,dress
28704.jpg,hasPattern,floral
28704.jpg,hasMaterialType,cotton
28704.jpg,hasSleeveType,short-sleeve
28704.jpg,hasNeckline,v-neck
28704.jpg,hasCollarType,v-neck
28704.jpg,hasLength,knee-length
28704.jpg,hasWaistline,natural waistline
28704.jpg,hasSilhouette,a-line
28704.jpg,belongsToCategory,upperbody
28704.jpg,depicts,dress
6972.jpg,hasPattern,floral
6972.jpg,hasMaterialType,cotton
6972.jpg,hasOpeningType,button
6972.jpg,hasSleeveType,short-sleeve
6972.jpg,hasNeckline,v-neck
6972.jpg,hasCollarType,v-neck
6972.jpg,hasLength,knee-length
6972.jpg,hasWaistline,natural-waist
6972.jpg,hasSilhouette,a-line
6972.jpg,belongsToCategory,upperbody
6972.jpg,depicts,shirt
37929.jpg,hasPattern,floral
37929.jpg,hasFabricTreatment,plain weave
37929.jpg,hasMaterialType,cotton
37929.jpg,hasOpeningType,zipper
37929.jpg,hasSleeveType,sleeveless
37929.jpg,hasNeckline,v-neck
37929.jpg,hasCollarType,v-neck
37929.jpg,hasLength,knee-length
37929.jpg,hasWaistline,high-waisted
37929.jpg,hasSilhouette,a-line
37929.jpg,belongsToCategory,upperbody
37929.jpg,depicts,dress
18295.jpg,hasPattern,floral
18295.jpg,hasMaterialType,cotton
18295.jpg,hasOpeningType,button
18295.jpg,hasSleeveType,three-quarter length sleeves
18295.jpg,hasNeckline,v-neck
18295.jpg,hasCollarType,v-neck
18295.jpg,hasLength,knee-length
18295.jpg,hasWaistline,fitted
18295.jpg,hasSilhouette,a-line
18295.jpg,belongsToCategory,upperbody
18295.jpg,depicts,dress
53411.jpg,hasPattern,floral
53411.jpg,hasMaterialType,cotton
53411.jpg,hasOpeningType,zipper
53411.jpg,hasPocketType,side pockets
53411.jpg,hasSleeveType,short-sleeve
53411.jpg,hasNeckline,v-neck
53411.jpg,hasCollarType,v-neck
53411.jpg,hasLength,knee-length
53411.jpg,hasWaistline,high-waisted
53411.jpg,hasSilhouette,a-line
53411.jpg,belongsToCategory,lowerbody
53411.jpg,depicts,dress
36827.jpg,hasPattern,floral
36827.jpg,hasMaterialType,cotton
36827.jpg,hasSleeveType,short-sleeve
36827.jpg,hasNeckline,v-neck
36827.jpg,hasCollarType,v-neck
36827.jpg,hasLength,knee-length
36827.jpg,hasWaistline,natural-waist
36827.jpg,hasSilhouette,a-line
36827.jpg,belongsToCategory,upperbody
36827.jpg,depicts,dress
28688.jpg,hasAnimalPattern,no animal patterns
28688.jpg,hasPattern,floral
28688.jpg,hasMaterialType,cotton
28688.jpg,hasSleeveType,short-sleeve
28688.jpg,hasNeckline,v-neck
28688.jpg,hasCollarType,v-neck
28688.jpg,hasLength,knee-length
28688.jpg,hasWaistline,natural waistline
28688.jpg,hasSilhouette,a-line
28688.jpg,belongsToCategory,upperbody
28688.jpg,depicts,dress
45725.jpg,hasFabricTreatment,plain weave
45725.jpg,hasMaterialType,cotton
45725.jpg,hasSleeveType,short-sleeve
45725.jpg,hasNeckline,v-neck
45725.jpg,hasCollarType,v-neck
45725.jpg,hasWaistline,natural-waist
45725.jpg,hasLength,knee-length
45725.jpg,hasSilhouette,a-line
45725.jpg,belongsToCategory,upperbody
45725.jpg,depicts,dress
23446.jpg,hasPattern,floral
23446.jpg,hasMaterialType,cotton
23446.jpg,hasOpeningType,front opening
23446.jpg,hasSleeveType,short-sleeve
23446.jpg,hasNeckline,v-neck
23446.jpg,hasCollarType,v-neck
23446.jpg,hasLength,knee-length
23446.jpg,hasWaistline,natural-waist
23446.jpg,hasSilhouette,a-line
23446.jpg,belongsToCategory,upperbody
23446.jpg,depicts,blouse
45856.jpg,hasPattern,floral
45856.jpg,hasMaterialType,cotton
45856.jpg,hasOpeningType,zipper
45856.jpg,hasSleeveType,short-sleeve
45856.jpg,hasNeckline,v-neck
45856.jpg,hasCollarType,v-neck
