relation1,attribute1,relation2,attribute2,frequency
hasSilhouette,straight,hasWaistline,high-waisted,40
belongsToCategory,lowerbody,hasWaistline,high-waisted,40
depicts,pants,hasWaistline,high-waisted,40
hasWaistline,high-waisted,hasSilhouette,straight,40
belongsToCategory,lowerbody,hasSilhouette,straight,40
depicts,pants,hasSilhouette,straight,40
hasWaistline,high-waisted,belongsToCategory,lowerbody,40
hasSilhouette,straight,belongsToCategory,lowerbody,40
depicts,pants,belongsToCategory,lowerbody,40
hasWaistline,high-waisted,depicts,pants,40
hasSilhouette,straight,depicts,pants,40
belongsToCategory,lowerbody,depicts,pants,40
hasWaistline,high-waisted,hasLength,ankle-length,39
hasSilhouette,straight,hasLength,ankle-length,39
belongsToCategory,lowerbody,hasLength,ankle-length,39
depicts,pants,hasLength,ankle-length,39
hasLength,ankle-length,hasWaistline,high-waisted,39
hasLength,ankle-length,hasSilhouette,straight,39
hasLength,ankle-length,belongsToCategory,lowerbody,39
hasLength,ankle-length,depicts,pants,39
hasWaistline,high-waisted,hasMaterialType,cotton,38
hasSilhouette,straight,hasMaterialType,cotton,38
belongsToCategory,lowerbody,hasMaterialType,cotton,38
depicts,pants,hasMaterialType,cotton,38
hasMaterialType,cotton,hasWaistline,high-waisted,38
hasMaterialType,cotton,hasSilhouette,straight,38
hasMaterialType,cotton,belongsToCategory,lowerbody,38
hasMaterialType,cotton,depicts,pants,38
hasLength,ankle-length,hasMaterialType,cotton,37
hasMaterialType,cotton,hasLength,ankle-length,37
hasPocketType,side pockets,hasMaterialType,cotton,18
hasWaistline,high-waisted,hasOpeningType,zipper,18
hasSilhouette,straight,hasOpeningType,zipper,18
belongsToCategory,lowerbody,hasOpeningType,zipper,18
depicts,pants,hasOpeningType,zipper,18
hasMaterialType,cotton,hasPocketType,side pockets,18
hasLength,ankle-length,hasPocketType,side pockets,18
hasWaistline,high-waisted,hasPocketType,side pockets,18
hasSilhouette,straight,hasPocketType,side pockets,18
belongsToCategory,lowerbody,hasPocketType,side pockets,18
depicts,pants,hasPocketType,side pockets,18
hasPocketType,side pockets,hasLength,ankle-length,18
hasOpeningType,zipper,hasWaistline,high-waisted,18
hasPocketType,side pockets,hasWaistline,high-waisted,18
hasOpeningType,zipper,hasSilhouette,straight,18
hasPocketType,side pockets,hasSilhouette,straight,18
hasOpeningType,zipper,belongsToCategory,lowerbody,18
hasPocketType,side pockets,belongsToCategory,lowerbody,18
hasOpeningType,zipper,depicts,pants,18
hasPocketType,side pockets,depicts,pants,18
hasOpeningType,zipper,hasMaterialType,cotton,17
hasMaterialType,cotton,hasOpeningType,zipper,17
hasLength,ankle-length,hasOpeningType,zipper,17
hasOpeningType,zipper,hasLength,ankle-length,17
hasLength,ankle-length,hasSleeveType,long-sleeve,17
hasWaistline,high-waisted,hasSleeveType,long-sleeve,17
hasSilhouette,straight,hasSleeveType,long-sleeve,17
belongsToCategory,lowerbody,hasSleeveType,long-sleeve,17
depicts,pants,hasSleeveType,long-sleeve,17
hasSleeveType,long-sleeve,hasLength,ankle-length,17
hasSleeveType,long-sleeve,hasWaistline,high-waisted,17
hasSleeveType,long-sleeve,hasSilhouette,straight,17
hasSleeveType,long-sleeve,belongsToCategory,lowerbody,17
hasSleeveType,long-sleeve,depicts,pants,17
hasSleeveType,long-sleeve,hasMaterialType,cotton,16
hasMaterialType,cotton,hasSleeveType,long-sleeve,16
hasLength,ankle-length,hasFabricTreatment,plain weave,11
hasWaistline,high-waisted,hasFabricTreatment,plain weave,11
hasSilhouette,straight,hasFabricTreatment,plain weave,11
belongsToCategory,lowerbody,hasFabricTreatment,plain weave,11
depicts,pants,hasFabricTreatment,plain weave,11
hasFabricTreatment,plain weave,hasLength,ankle-length,11
hasFabricTreatment,plain weave,hasWaistline,high-waisted,11
hasFabricTreatment,plain weave,hasSilhouette,straight,11
hasFabricTreatment,plain weave,belongsToCategory,lowerbody,11
hasFabricTreatment,plain weave,depicts,pants,11
hasLength,ankle-length,hasPattern,solid color,11
hasWaistline,high-waisted,hasPattern,solid color,11
hasSilhouette,straight,hasPattern,solid color,11
belongsToCategory,lowerbody,hasPattern,solid color,11
depicts,pants,hasPattern,solid color,11
hasPattern,solid color,hasLength,ankle-length,11
hasPattern,solid color,hasWaistline,high-waisted,11
hasPattern,solid color,hasSilhouette,straight,11
hasPattern,solid color,belongsToCategory,lowerbody,11
hasPattern,solid color,depicts,pants,11
hasMaterialType,cotton,hasFabricTreatment,plain weave,10
hasFabricTreatment,plain weave,hasMaterialType,cotton,10
hasMaterialType,cotton,hasPattern,solid color,10
hasPattern,solid color,hasMaterialType,cotton,10
hasPocketType,side pockets,hasOpeningType,zipper,9
hasOpeningType,zipper,hasPocketType,side pockets,9
hasLength,ankle-length,hasOpeningType,zipper closure,8
hasWaistline,high-waisted,hasOpeningType,zipper closure,8
hasSilhouette,straight,hasOpeningType,zipper closure,8
belongsToCategory,lowerbody,hasOpeningType,zipper closure,8
depicts,pants,hasOpeningType,zipper closure,8
hasOpeningType,zipper closure,hasLength,ankle-length,8
hasOpeningType,zipper closure,hasWaistline,high-waisted,8
hasOpeningType,zipper closure,hasSilhouette,straight,8
hasOpeningType,zipper closure,belongsToCategory,lowerbody,8
hasOpeningType,zipper closure,depicts,pants,8
hasMaterialType,cotton,hasPattern,striped,8
hasLength,ankle-length,hasPattern,striped,8
hasWaistline,high-waisted,hasPattern,striped,8
hasSilhouette,straight,hasPattern,striped,8
belongsToCategory,lowerbody,hasPattern,striped,8
depicts,pants,hasPattern,striped,8
hasPattern,striped,hasMaterialType,cotton,8
hasPattern,striped,hasLength,ankle-length,8
hasPattern,striped,hasWaistline,high-waisted,8
hasPattern,striped,hasSilhouette,straight,8
hasPattern,striped,belongsToCategory,lowerbody,8
hasPattern,striped,depicts,pants,8
hasOpeningType,zipper closure,hasMaterialType,cotton,7
hasMaterialType,cotton,hasOpeningType,zipper closure,7
hasSleeveType,long-sleeve,hasPocketType,side pockets,7
hasPocketType,side pockets,hasSleeveType,long-sleeve,7
hasMaterialType,cotton,hasPattern,floral,7
hasLength,ankle-length,hasPattern,floral,7
hasWaistline,high-waisted,hasPattern,floral,7
hasSilhouette,straight,hasPattern,floral,7
belongsToCategory,lowerbody,hasPattern,floral,7
depicts,pants,hasPattern,floral,7
