relation1,attribute1,relation2,attribute2,frequency
hasSleeveType,short-sleeve,hasMaterialType,cotton,40
belongsToCategory,upperbody,hasMaterialType,cotton,40
hasMaterialType,cotton,hasSleeveType,short-sleeve,40
belongsToCategory,upperbody,hasSleeveType,short-sleeve,40
hasMaterialType,cotton,belongsToCategory,upperbody,40
hasSleeveType,short-sleeve,belongsToCategory,upperbody,40
depicts,t-shirt,hasMaterialType,cotton,39
depicts,t-shirt,hasSleeveType,short-sleeve,39
depicts,t-shirt,belongsToCategory,upperbody,39
hasMaterialType,cotton,depicts,t-shirt,39
hasSleeveType,short-sleeve,depicts,t-shirt,39
belongsToCategory,upperbody,depicts,t-shirt,39
hasSilhouette,crew neck,hasMaterialType,cotton,35
hasSilhouette,crew neck,hasSleeveType,short-sleeve,35
hasMaterialType,cotton,hasSilhouette,crew neck,35
hasSleeveType,short-sleeve,hasSilhouette,crew neck,35
belongsToCategory,upperbody,hasSilhouette,crew neck,35
hasSilhouette,crew neck,belongsToCategory,upperbody,35
depicts,t-shirt,hasSilhouette,crew neck,34
hasSilhouette,crew neck,depicts,t-shirt,34
hasNeckline,crew neck,hasMaterialType,cotton,33
hasNeckline,crew neck,hasSleeveType,short-sleeve,33
hasMaterialType,cotton,hasNeckline,crew neck,33
hasSleeveType,short-sleeve,hasNeckline,crew neck,33
belongsToCategory,upperbody,hasNeckline,crew neck,33
hasNeckline,crew neck,belongsToCategory,upperbody,33
depicts,t-shirt,hasNeckline,crew neck,32
hasNeckline,crew neck,depicts,t-shirt,32
hasCollarType,crew-neck,hasMaterialType,cotton,27
hasCollarType,crew-neck,hasSleeveType,short-sleeve,27
hasMaterialType,cotton,hasCollarType,crew-neck,27
hasSleeveType,short-sleeve,hasCollarType,crew-neck,27
belongsToCategory,upperbody,hasCollarType,crew-neck,27
hasCollarType,crew-neck,belongsToCategory,upperbody,27
depicts,t-shirt,hasCollarType,crew-neck,26
hasCollarType,crew-neck,depicts,t-shirt,26
hasSilhouette,crew neck,hasCollarType,crew-neck,22
hasCollarType,crew-neck,hasSilhouette,crew neck,22
hasLength,short,hasMaterialType,cotton,21
hasLength,short,hasSleeveType,short-sleeve,21
hasMaterialType,cotton,hasLength,short,21
hasSleeveType,short-sleeve,hasLength,short,21
belongsToCategory,upperbody,hasLength,short,21
depicts,t-shirt,hasLength,short,21
hasLength,short,belongsToCategory,upperbody,21
hasLength,short,depicts,t-shirt,21
hasCollarType,crew-neck,hasNeckline,crew neck,20
hasNeckline,crew neck,hasCollarType,crew-neck,20
hasLength,short,hasNeckline,crew neck,18
hasNeckline,crew neck,hasLength,short,18
hasSilhouette,crew neck,hasLength,short,18
