product,relationship,attribute
39146.jpg,hasPattern,striped
39146.jpg,hasMaterialType,synthetic fabric
39146.jpg,hasOpeningType,zipper closure
39146.jpg,hasSleeveType,sleeveless
39146.jpg,hasNeckline,v-neck
39146.jpg,hasCollarType,round
39146.jpg,hasLength,knee-length
39146.jpg,hasWaistline,high-waisted
39146.jpg,hasSilhouette,a-line
39146.jpg,belongsToCategory,upperbody
39146.jpg,depicts,dress
30847.jpg,hasPattern,floral
30847.jpg,hasFabricTreatment,plain weave
30847.jpg,hasMaterialType,cotton
30847.jpg,hasOpeningType,zip
30847.jpg,hasSleeveType,short
30847.jpg,hasNeckline,round
30847.jpg,hasCollarType,round
30847.jpg,hasLength,knee-length
30847.jpg,hasWaistline,natural
30847.jpg,hasSilhouette,a-line
30847.jpg,belongsToCategory,upperbody
30847.jpg,depicts,dress
54571.jpg,hasPattern,floral
54571.jpg,hasMaterialType,cotton
54571.jpg,hasOpeningType,zipper
54571.jpg,hasPocketType,side pockets
54571.jpg,hasSleeveType,three-quarter length sleeves
54571.jpg,hasNeckline,round
54571.jpg,hasCollarType,round
54571.jpg,hasLength,knee-length
54571.jpg,hasWaistline,natural
54571.jpg,hasSilhouette,a-line
54571.jpg,belongsToCategory,upperbody
54571.jpg,depicts,dress
31322.jpg,hasPattern,floral
31322.jpg,hasFabricTreatment,plain weave
31322.jpg,hasMaterialType,cotton
31322.jpg,hasOpeningType,button
31322.jpg,hasSleeveType,short
31322.jpg,hasNeckline,round
31322.jpg,hasCollarType,round
31322.jpg,hasLength,knee-length
31322.jpg,hasWaistline,natural
31322.jpg,hasSilhouette,a-line
31322.jpg,belongsToCategory,upperbody
31322.jpg,depicts,dress
22775.jpg,hasPattern,floral
22775.jpg,hasFabricTreatment,unfinished seams
22775.jpg,hasMaterialType,cotton
22775.jpg,hasOpeningType,front opening
22775.jpg,hasSleeveType,short
22775.jpg,hasNeckline,round
22775.jpg,hasCollarType,round
22775.jpg,hasLength,knee-length
22775.jpg,hasWaistline,natural
22775.jpg,hasSilhouette,a-line
22775.jpg,belongsToCategory,upperbody
22775.jpg,depicts,dress
45685.jpg,hasPattern,floral
45685.jpg,hasMaterialType,cotton
45685.jpg,hasOpeningType,zipper
45685.jpg,hasSleeveType,short-sleeve
45685.jpg,hasNeckline,v-neck
45685.jpg,hasCollarType,round neck
45685.jpg,hasLength,long
45685.jpg,hasWaistline,high-waisted
45685.jpg,hasSilhouette,a-line
45685.jpg,belongsToCategory,upperbody
45685.jpg,depicts,dress
34901.jpg,hasFabricTreatment,solid
34901.jpg,hasMaterialType,cotton
34901.jpg,hasSleeveType,sleeveless
34901.jpg,hasNeckline,round
34901.jpg,hasCollarType,round
34901.jpg,hasLength,knee-length
34901.jpg,hasWaistline,natural
34901.jpg,hasSilhouette,a-line
34901.jpg,belongsToCategory,upperbody
34901.jpg,depicts,dress
28957.jpg,hasPattern,floral
28957.jpg,hasMaterialType,cotton
28957.jpg,hasOpeningType,zipper
28957.jpg,hasNeckline,round
28957.jpg,hasCollarType,round
28957.jpg,hasLength,knee-length
28957.jpg,hasWaistline,natural
28957.jpg,hasSilhouette,a-line
28957.jpg,belongsToCategory,upperbody
28957.jpg,depicts,dress
40616.jpg,hasPattern,floral
40616.jpg,hasFabricTreatment,plain weave
40616.jpg,hasMaterialType,cotton
40616.jpg,hasOpeningType,button
40616.jpg,hasSleeveType,sleeveless
40616.jpg,hasNeckline,round
40616.jpg,hasCollarType,round
40616.jpg,hasLength,knee-length
40616.jpg,hasWaistline,natural
40616.jpg,hasSilhouette,a-line
40616.jpg,belongsToCategory,upperbody
40616.jpg,depicts,dress
34988.jpg,hasPattern,striped
34988.jpg,hasFabricTreatment,plain weave
34988.jpg,hasMaterialType,cotton
34988.jpg,hasOpeningType,zipper
34988.jpg,hasSleeveType,sleeveless
34988.jpg,hasNeckline,v-neck
34988.jpg,hasLength,long
34988.jpg,hasWaistline,high-waisted
34988.jpg,hasSilhouette,a-line
34988.jpg,belongsToCategory,lowerbody
34988.jpg,depicts,dress
11564.jpg,hasPattern,floral
11564.jpg,hasFabricTreatment,printed
11564.jpg,hasMaterialType,cotton
11564.jpg,hasOpeningType,side opening
11564.jpg,hasSleeveType,short
11564.jpg,hasNeckline,round
11564.jpg,hasCollarType,round
11564.jpg,hasLength,knee-length
11564.jpg,hasWaistline,natural
11564.jpg,hasSilhouette,a-line
11564.jpg,belongsToCategory,upperbody
11564.jpg,depicts,dress
39237.jpg,hasPattern,floral
39237.jpg,hasMaterialType,cotton
39237.jpg,hasSleeveType,sleeveless
39237.jpg,hasNeckline,round
39237.jpg,hasCollarType,round
39237.jpg,hasLength,above-the-knee
39237.jpg,hasWaistline,natural
39237.jpg,hasSilhouette,a-line
39237.jpg,belongsToCategory,upperbody
39237.jpg,depicts,shirt
54744.jpg,hasPattern,floral
54744.jpg,hasMaterialType,cotton
54744.jpg,hasSleeveType,short
54744.jpg,hasNeckline,round
54744.jpg,hasCollarType,round
54744.jpg,hasLength,above-knee
54744.jpg,hasWaistline,natural
54744.jpg,hasSilhouette,a-line
54744.jpg,belongsToCategory,upperbody
54744.jpg,depicts,dress
52367.jpg,hasPattern,floral
52367.jpg,hasMaterialType,cotton
52367.jpg,hasSleeveType,sleeveless
52367.jpg,hasNeckline,round
52367.jpg,hasLength,knee-length
52367.jpg,hasWaistline,natural
52367.jpg,hasSilhouette,a-line
52367.jpg,belongsToCategory,upperbody
52367.jpg,depicts,dress
53842.jpg,hasPattern,floral
53842.jpg,hasFabricTreatment,plain weave
53842.jpg,hasMaterialType,cotton
53842.jpg,hasOpeningType,zipper
53842.jpg,hasSleeveType,short
53842.jpg,hasNeckline,round
53842.jpg,hasCollarType,round
53842.jpg,hasLength,knee-length
53842.jpg,hasWaistline,natural
53842.jpg,hasSilhouette,a-line
53842.jpg,belongsToCategory,upperbody
53842.jpg,depicts,dress
33047.jpg,hasPattern,floral
33047.jpg,hasFabricTreatment,plain weave
33047.jpg,hasMaterialType,cotton
33047.jpg,hasOpeningType,zipper
33047.jpg,hasSleeveType,short-sleeve
33047.jpg,hasNeckline,round
33047.jpg,hasCollarType,round
33047.jpg,hasLength,knee-length
33047.jpg,hasWaistline,natural
33047.jpg,hasSilhouette,a-line
33047.jpg,belongsToCategory,upperbody
33047.jpg,depicts,dress
28976.jpg,hasPattern,floral
28976.jpg,hasMaterialType,cotton
28976.jpg,hasOpeningType,zipper
28976.jpg,hasSleeveType,short-sleeve
28976.jpg,hasNeckline,round
28976.jpg,hasCollarType,round
28976.jpg,hasLength,knee-length
28976.jpg,hasWaistline,natural
28976.jpg,hasSilhouette,a-line
28976.jpg,belongsToCategory,upperbody
28976.jpg,depicts,dress
36050.jpg,hasPattern,solid color
36050.jpg,hasFabricTreatment,plain weave
36050.jpg,hasMaterialType,cotton
36050.jpg,hasOpeningType,zipper
36050.jpg,hasSleeveType,short
36050.jpg,hasNeckline,round
36050.jpg,hasLength,long
36050.jpg,hasWaistline,high-waisted
36050.jpg,hasSilhouette,a-line
36050.jpg,belongsToCategory,upperbody
36050.jpg,depicts,bag
59607.jpg,hasPattern,floral
59607.jpg,hasFabricTreatment,beaded
59607.jpg,hasMaterialType,chiffon
59607.jpg,hasSleeveType,sleeveless
59607.jpg,hasNeckline,round
59607.jpg,hasLength,long
59607.jpg,hasWaistline,high-waisted
59607.jpg,hasSilhouette,a-line
59607.jpg,belongsToCategory,lowerbody
59607.jpg,depicts,dress
40605.jpg,hasPattern,floral
40605.jpg,hasMaterialType,cotton
40605.jpg,hasOpeningType,zipper
40605.jpg,hasSleeveType,sleeveless
40605.jpg,hasNeckline,round
40605.jpg,hasLength,knee-length
40605.jpg,hasWaistline,natural
40605.jpg,hasSilhouette,a-line
40605.jpg,belongsToCategory,upperbody
40605.jpg,depicts,dress
40648.jpg,hasPattern,floral
40648.jpg,hasFabricTreatment,plain weave
40648.jpg,hasMaterialType,cotton
40648.jpg,hasOpeningType,zipper
40648.jpg,hasSleeveType,sleeveless
40648.jpg,hasNeckline,round
40648.jpg,hasCollarType,round
40648.jpg,hasLength,above-knee
40648.jpg,hasWaistline,natural
40648.jpg,hasSilhouette,a-line
40648.jpg,belongsToCategory,upperbody
40648.jpg,depicts,dress
39167.jpg,hasMaterialType,cotton
39167.jpg,hasSleeveType,sleeveless
39167.jpg,hasNeckline,round
39167.jpg,hasLength,knee-length
39167.jpg,hasWaistline,natural
39167.jpg,hasSilhouette,a-line
39167.jpg,belongsToCategory,upperbody
39167.jpg,depicts,dress
19076.jpg,hasPattern,geometric
19076.jpg,hasMaterialType,cotton
19076.jpg,hasOpeningType,button
19076.jpg,hasSleeveType,short
19076.jpg,hasNeckline,round
19076.jpg,hasCollarType,round
19076.jpg,hasLength,knee-length
19076.jpg,hasWaistline,natural
19076.jpg,hasSilhouette,a-line
19076.jpg,belongsToCategory,upperbody
19076.jpg,depicts,dress
42669.jpg,hasPattern,solid color
42669.jpg,hasMaterialType,cotton
42669.jpg,hasSleeveType,sleeveless
42669.jpg,hasNeckline,round
42669.jpg,hasLength,knee-length
42669.jpg,hasWaistline,high-waisted
42669.jpg,hasSilhouette,a-line
42669.jpg,belongsToCategory,lowerbody
42669.jpg,depicts,dress
16442.jpg,hasPattern,plaid
16442.jpg,hasMaterialType,cotton
16442.jpg,hasOpeningType,zipper
16442.jpg,hasSleeveType,short-sleeve
16442.jpg,hasNeckline,round
16442.jpg,hasCollarType,crew-neck
16442.jpg,hasLength,long
16442.jpg,hasWaistline,high-waisted
16442.jpg,hasSilhouette,a-line
16442.jpg,belongsToCategory,upperbody
16442.jpg,depicts,sweatshirt
47005.jpg,hasPattern,floral
47005.jpg,hasFabricTreatment,printed
47005.jpg,hasMaterialType,cotton
47005.jpg,hasOpeningType,button
47005.jpg,hasSleeveType,sleeveless
47005.jpg,hasNeckline,round
47005.jpg,hasLength,knee-length
47005.jpg,hasWaistline,natural
47005.jpg,hasSilhouette,a-line
47005.jpg,belongsToCategory,upperbody
47005.jpg,depicts,dress
52358.jpg,hasPattern,striped
52358.jpg,hasMaterialType,cotton
52358.jpg,hasOpeningType,zipper
52358.jpg,hasSleeveType,sleeveless
52358.jpg,hasNeckline,round
52358.jpg,hasLength,knee-length
52358.jpg,hasWaistline,high-waisted
52358.jpg,hasSilhouette,a-line
52358.jpg,belongsToCategory,lowerbody
52358.jpg,depicts,dress
18275.jpg,hasPattern,striped
18275.jpg,hasFabricTreatment,plain weave
18275.jpg,hasMaterialType,cotton
18275.jpg,hasOpeningType,zipper
18275.jpg,hasSleeveType,sleeveless
18275.jpg,hasNeckline,round
18275.jpg,hasCollarType,notch
18275.jpg,hasLength,knee-length
18275.jpg,hasWaistline,natural
18275.jpg,hasSilhouette,a-line
18275.jpg,belongsToCategory,upperbody
18275.jpg,depicts,dress
55789.jpg,hasAnimalPattern,no animals
55789.jpg,hasPattern,floral
55789.jpg,hasMaterialType,fabric
55789.jpg,hasOpeningType,front opening
55789.jpg,hasSleeveType,long
55789.jpg,hasNeckline,round
55789.jpg,hasLength,long
55789.jpg,hasWaistline,natural
55789.jpg,hasSilhouette,a-line
55789.jpg,belongsToCategory,lowerbody
55789.jpg,depicts,dress
42534.jpg,hasPattern,floral
42534.jpg,hasFabricTreatment,plain weave
42534.jpg,hasMaterialType,cotton
42534.jpg,hasOpeningType,front opening
42534.jpg,hasSleeveType,short
42534.jpg,hasNeckline,round
42534.jpg,hasCollarType,round
42534.jpg,hasLength,knee-length
42534.jpg,hasWaistline,natural
42534.jpg,hasSilhouette,a-line
42534.jpg,belongsToCategory,upperbody
42534.jpg,depicts,dress
29158.jpg,hasFabricTreatment,plain weave
29158.jpg,hasMaterialType,cotton
29158.jpg,hasOpeningType,open front
29158.jpg,hasSleeveType,sleeveless
29158.jpg,hasNeckline,round
29158.jpg,hasLength,knee-length
29158.jpg,hasWaistline,natural
29158.jpg,hasSilhouette,a-line
29158.jpg,belongsToCategory,upperbody
29158.jpg,depicts,dress
24497.jpg,hasAnimalPattern,no
24497.jpg,hasPattern,floral
24497.jpg,hasLeatherType,non-existent
24497.jpg,hasMaterialType,cotton
24497.jpg,hasOpeningType,zipper
24497.jpg,hasPocketType,non-existent
24497.jpg,hasSleeveType,three-quarter length
24497.jpg,hasNeckline,round
24497.jpg,hasLapelType,non-existent
24497.jpg,hasCollarType,round
24497.jpg,hasLength,knee-length
24497.jpg,hasWaistline,defined
24497.jpg,hasSilhouette,a-line
24497.jpg,belongsToCategory,upperbody
24497.jpg,depicts,dress
46018.jpg,hasPattern,floral
46018.jpg,hasFabricTreatment,plain-weave
46018.jpg,hasMaterialType,cotton
46018.jpg,hasOpeningType,front-opening
46018.jpg,hasSleeveType,short
46018.jpg,hasNeckline,round
46018.jpg,hasCollarType,round
46018.jpg,hasLength,knee-length
46018.jpg,hasWaistline,natural
46018.jpg,hasSilhouette,a-line
46018.jpg,belongsToCategory,upperbody
46018.jpg,depicts,dress
26935.jpg,hasPattern,striped
26935.jpg,hasFabricTreatment,plain weave
26935.jpg,hasMaterialType,cotton
26935.jpg,hasOpeningType,button
26935.jpg,hasSleeveType,short-sleeve
26935.jpg,hasNeckline,round
26935.jpg,hasCollarType,round
26935.jpg,hasLength,knee-length
26935.jpg,hasWaistline,natural
26935.jpg,hasSilhouette,a-line
26935.jpg,belongsToCategory,upperbody
26935.jpg,depicts,dress
58702.jpg,hasPattern,floral
58702.jpg,hasMaterialType,cotton
58702.jpg,hasSleeveType,short-sleeve
58702.jpg,hasNeckline,round
58702.jpg,hasCollarType,round
58702.jpg,hasLength,knee-length
58702.jpg,hasWaistline,natural
58702.jpg,hasSilhouette,a-line
58702.jpg,belongsToCategory,upperbody
58702.jpg,depicts,dress
54716.jpg,hasAnimalPattern,rose
54716.jpg,hasPattern,floral
54716.jpg,hasSleeveType,sleeveless
54716.jpg,hasNeckline,round
54716.jpg,hasCollarType,round
54716.jpg,hasLength,knee-length
54716.jpg,hasWaistline,natural
54716.jpg,hasSilhouette,a-line
54716.jpg,belongsToCategory,upperbody
54716.jpg,depicts,dress
23324.jpg,hasPattern,floral
23324.jpg,hasMaterialType,cotton
23324.jpg,hasSleeveType,short
23324.jpg,hasNeckline,round
23324.jpg,hasCollarType,round
23324.jpg,hasLength,above the knee
23324.jpg,hasWaistline,defined
23324.jpg,hasSilhouette,a-line
23324.jpg,belongsToCategory,upperbody
23324.jpg,depicts,dress
42211.jpg,hasMaterialType,cotton
42211.jpg,hasSleeveType,short
42211.jpg,hasNeckline,round
42211.jpg,hasCollarType,round
42211.jpg,hasLength,knee-length
42211.jpg,hasWaistline,natural
42211.jpg,hasSilhouette,a-line
42211.jpg,belongsToCategory,upperbody
