relation1,attribute1,relation2,attribute2,frequency
depicts,bag,belongsToCategory,upperbody,33
belongsToCategory,upperbody,depicts,bag,33
depicts,bag,hasLength,long,30
hasLength,long,depicts,bag,30
belongsToCategory,upperbody,hasLength,long,27
hasLength,long,belongsToCategory,upperbody,27
depicts,bag,hasSilhouette,rectangular,22
hasSilhouette,rectangular,depicts,bag,22
depicts,bag,hasOpeningType,zipper,20
hasOpeningType,zipper,depicts,bag,20
belongsToCategory,upperbody,hasOpeningType,zipper,18
hasOpeningType,zipper,belongsToCategory,upperbody,18
depicts,bag,hasMaterialType,fabric,17
hasMaterialType,fabric,depicts,bag,17
hasSilhouette,rectangular,hasLength,long,16
hasLength,long,hasSilhouette,rectangular,16
belongsToCategory,upperbody,hasSilhouette,rectangular,16
hasSilhouette,rectangular,belongsToCategory,upperbody,16
belongsToCategory,upperbody,hasMaterialType,fabric,14
hasMaterialType,fabric,belongsToCategory,upperbody,14
hasLength,long,hasOpeningType,zipper,13
hasOpeningType,zipper,hasLength,long,13
belongsToCategory,upperbody,hasPattern,floral,12
depicts,bag,hasPattern,floral,12
hasPattern,floral,belongsToCategory,upperbody,12
hasPattern,floral,depicts,bag,12
hasLength,long,hasMaterialType,fabric,12
belongsToCategory,upperbody,hasOpeningType,zipper closure,12
depicts,bag,hasOpeningType,zipper closure,12
hasMaterialType,fabric,hasLength,long,12
hasOpeningType,zipper closure,belongsToCategory,upperbody,12
hasOpeningType,zipper closure,depicts,bag,12
hasSilhouette,rectangular,hasOpeningType,zipper,11
hasOpeningType,zipper,hasSilhouette,rectangular,11
hasLength,long,hasOpeningType,zipper closure,11
depicts,bag,hasSleeveType,sleeveless,11
hasOpeningType,zipper closure,hasLength,long,11
belongsToCategory,upperbody,hasWaistline,high-waisted,11
depicts,bag,hasWaistline,high-waisted,11
hasWaistline,high-waisted,belongsToCategory,upperbody,11
hasSleeveType,sleeveless,depicts,bag,11
hasWaistline,high-waisted,depicts,bag,11
hasLength,long,hasSleeveType,sleeveless,10
belongsToCategory,upperbody,hasSleeveType,sleeveless,10
hasSleeveType,sleeveless,hasLength,long,10
hasWaistline,high-waisted,hasLength,long,10
hasLength,long,hasWaistline,high-waisted,10
hasSleeveType,sleeveless,belongsToCategory,upperbody,10
belongsToCategory,upperbody,hasSilhouette,a-line,10
depicts,bag,hasSilhouette,a-line,10
hasSilhouette,a-line,belongsToCategory,upperbody,10
hasSilhouette,a-line,depicts,bag,10
hasOpeningType,zipper,hasPattern,floral,8
hasLength,long,hasPattern,floral,8
hasPattern,floral,hasOpeningType,zipper,8
hasPattern,floral,hasLength,long,8
belongsToCategory,upperbody,hasWaistline,natural,8
depicts,bag,hasWaistline,natural,8
hasWaistline,natural,belongsToCategory,upperbody,8
hasWaistline,natural,depicts,bag,8
hasSilhouette,a-line,hasLength,long,8
hasLength,long,hasSilhouette,a-line,8
belongsToCategory,upperbody,hasMaterialType,synthetic,7
depicts,bag,hasMaterialType,synthetic,7
hasMaterialType,synthetic,belongsToCategory,upperbody,7
hasMaterialType,synthetic,depicts,bag,7
hasWaistline,high-waisted,hasOpeningType,zipper closure,7
hasOpeningType,zipper closure,hasWaistline,high-waisted,7
hasSilhouette,a-line,hasPattern,floral,7
hasPattern,floral,hasSilhouette,a-line,7
hasSilhouette,rectangular,hasMaterialType,fabric,7
hasMaterialType,fabric,hasSilhouette,rectangular,7
hasLength,long,hasMaterialType,synthetic,6
hasMaterialType,synthetic,hasLength,long,6
hasWaistline,natural,hasLength,long,6
hasLength,long,hasWaistline,natural,6
belongsToCategory,upperbody,hasSilhouette,straight,6
depicts,bag,hasSilhouette,straight,6
hasSilhouette,straight,belongsToCategory,upperbody,6
hasSilhouette,straight,depicts,bag,6
belongsToCategory,bag,hasSilhouette,rectangular,6
hasSilhouette,rectangular,belongsToCategory,bag,6
depicts,bag,hasPattern,solid color,6
hasOpeningType,zipper closure,hasMaterialType,fabric,6
hasWaistline,high-waisted,hasMaterialType,fabric,6
hasMaterialType,fabric,hasOpeningType,zipper closure,6
hasLength,long,hasNeckline,round neckline,6
hasWaistline,high-waisted,hasNeckline,round neckline,6
belongsToCategory,upperbody,hasNeckline,round neckline,6
depicts,bag,hasNeckline,round neckline,6
hasNeckline,round neckline,hasLength,long,6
hasMaterialType,fabric,hasWaistline,high-waisted,6
hasNeckline,round neckline,hasWaistline,high-waisted,6
hasNeckline,round neckline,belongsToCategory,upperbody,6
hasPattern,solid color,depicts,bag,6
hasNeckline,round neckline,depicts,bag,6
hasSilhouette,a-line,hasWaistline,high-waisted,6
hasWaistline,high-waisted,hasSilhouette,a-line,6
hasOpeningType,zipper,hasMaterialType,fabric,6
hasMaterialType,fabric,hasOpeningType,zipper,6
belongsToCategory,upperbody,hasSleeveType,long,6
depicts,bag,hasSleeveType,long,6
hasSleeveType,long,belongsToCategory,upperbody,6
hasSleeveType,long,depicts,bag,6
hasMaterialType,fabric,hasPattern,floral,6
hasPattern,floral,hasMaterialType,fabric,6
depicts,bag,hasMaterialType,leather,6
hasSleeveType,sleeveless,hasOpeningType,zipper,6
hasOpeningType,zipper,hasSleeveType,sleeveless,6
hasMaterialType,leather,depicts,bag,6
hasLength,long,hasSleeveType,short-sleeve,6
belongsToCategory,upperbody,hasSleeveType,short-sleeve,6
depicts,bag,hasSleeveType,short-sleeve,6
hasSleeveType,short-sleeve,hasLength,long,6
hasSleeveType,short-sleeve,belongsToCategory,upperbody,6
hasSleeveType,short-sleeve,depicts,bag,6
hasSilhouette,a-line,hasMaterialType,fabric,6
hasMaterialType,fabric,hasSilhouette,a-line,6
hasWaistline,natural,hasOpeningType,zipper,5
hasOpeningType,zipper,hasWaistline,natural,5
belongsToCategory,upperbody,hasPattern,solid color,5
hasSleeveType,sleeveless,hasOpeningType,zipper closure,5
hasOpeningType,zipper closure,hasSleeveType,sleeveless,5
hasWaistline,high-waisted,hasSleeveType,sleeveless,5
hasSleeveType,sleeveless,hasWaistline,high-waisted,5
hasPattern,solid color,belongsToCategory,upperbody,5
hasWaistline,high-waisted,hasPattern,floral,5
hasSilhouette,a-line,hasOpeningType,zipper closure,5
hasPattern,floral,hasWaistline,high-waisted,5
hasOpeningType,zipper closure,hasSilhouette,a-line,5
hasSilhouette,rectangular,hasPattern,solid color,5
hasPattern,solid color,hasSilhouette,rectangular,5
hasLength,long,hasMaterialType,leather,5
hasMaterialType,leather,hasLength,long,5
hasSilhouette,rectangular,hasOpeningType,zipper closure,5
hasSilhouette,rectangular,hasSleeveType,sleeveless,5
hasOpeningType,zipper closure,hasSilhouette,rectangular,5
hasSleeveType,sleeveless,hasSilhouette,rectangular,5
hasSilhouette,rectangular,hasMaterialType,leather,5
hasMaterialType,leather,hasSilhouette,rectangular,5
hasLength,long,hasPattern,striped,5
belongsToCategory,upperbody,hasPattern,striped,5
depicts,bag,hasPattern,striped,5
hasPattern,striped,hasLength,long,5
hasPattern,striped,belongsToCategory,upperbody,5
hasPattern,striped,depicts,bag,5
hasSilhouette,a-line,hasOpeningType,zipper,5
hasOpeningType,zipper,hasSilhouette,a-line,5
depicts,bag,hasNeckline,round,5
hasNeckline,round,depicts,bag,5
hasWaistline,natural,hasPattern,floral,4
hasOpeningType,zipper,hasMaterialType,synthetic,4
hasWaistline,natural,hasMaterialType,synthetic,4
hasMaterialType,synthetic,hasOpeningType,zipper,4
hasSilhouette,straight,hasOpeningType,zipper,4
hasSilhouette,straight,hasLength,long,4
hasPattern,floral,hasWaistline,natural,4
hasMaterialType,synthetic,hasWaistline,natural,4
hasOpeningType,zipper,hasSilhouette,straight,4
hasLength,long,hasSilhouette,straight,4
hasLength,long,hasPattern,solid color,4
hasNeckline,round neckline,hasOpeningType,zipper closure,4
hasNeckline,round neckline,hasSleeveType,sleeveless,4
hasOpeningType,zipper closure,hasNeckline,round neckline,4
hasSleeveType,sleeveless,hasNeckline,round neckline,4
hasPattern,solid color,hasLength,long,4
hasMaterialType,cotton,hasPattern,floral,4
hasOpeningType,zipper closure,hasPattern,floral,4
hasPattern,floral,hasMaterialType,cotton,4
belongsToCategory,upperbody,hasMaterialType,cotton,4
depicts,bag,hasMaterialType,cotton,4
hasPattern,floral,hasOpeningType,zipper closure,4
hasMaterialType,cotton,belongsToCategory,upperbody,4
hasMaterialType,cotton,depicts,bag,4
hasSleeveType,long,hasOpeningType,zipper,4
hasOpeningType,zipper,hasSleeveType,long,4
depicts,bag,hasLength,short,4
hasLength,short,depicts,bag,4
hasOpeningType,zipper,hasMaterialType,leather,4
belongsToCategory,upperbody,hasMaterialType,leather,4
hasMaterialType,leather,hasOpeningType,zipper,4
hasMaterialType,leather,belongsToCategory,upperbody,4
hasSilhouette,rectangular,hasMaterialType,synthetic,4
hasMaterialType,synthetic,hasSilhouette,rectangular,4
hasWaistline,high-waisted,hasOpeningType,zipper,4
hasOpeningType,zipper,hasWaistline,high-waisted,4
depicts,bag,hasLength,medium,4
hasLength,medium,depicts,bag,4
hasSleeveType,short-sleeve,hasOpeningType,zipper closure,4
hasOpeningType,zipper closure,hasSleeveType,short-sleeve,4
hasWaistline,high-waisted,hasSleeveType,short-sleeve,4
hasSleeveType,short-sleeve,hasWaistline,high-waisted,4
hasNeckline,round,hasOpeningType,zipper,4
hasOpeningType,zipper,hasNeckline,round,4
belongsToCategory,upperbody,hasNeckline,round,4
hasNeckline,round,belongsToCategory,upperbody,4
hasSilhouette,rectangular,hasSleeveType,short-sleeve,4
hasSleeveType,short-sleeve,hasSilhouette,rectangular,4
hasSilhouette,straight,hasPattern,floral,3
hasSleeveType,short,hasOpeningType,zipper,3
hasOpeningType,zipper,hasSleeveType,short,3
hasLength,long,hasSleeveType,short,3
hasWaistline,natural,hasSleeveType,short,3
belongsToCategory,upperbody,hasSleeveType,short,3
