product,relationship,attribute
11200.jpg,hasFabricTreatment,polished
11200.jpg,hasMaterialType,metal
11200.jpg,hasSleeveType,long
11200.jpg,hasLength,short
11200.jpg,hasSilhouette,square
11200.jpg,belongsToCategory,upperbody
11200.jpg,depicts,watch
52178.jpg,hasFabricTreatment,polished
52178.jpg,hasMaterialType,metal
52178.jpg,hasLength,short
52178.jpg,hasSilhouette,curved
52178.jpg,hasNickname,leaf ring
52178.jpg,belongsToCategory,upperbody
52178.jpg,depicts,ring
17424.jpg,hasPattern,solid color
17424.jpg,hasFabricTreatment,polished
17424.jpg,hasMaterialType,metal
17424.jpg,hasOpeningType,snap fastener
17424.jpg,hasNeckline,round neck
17424.jpg,hasLength,short
17424.jpg,hasWaistline,no waist
17424.jpg,hasSilhouette,round
17424.jpg,belongsToCategory,upperbody
17424.jpg,depicts,watch
48755.jpg,hasPattern,geometric
48755.jpg,hasFabricTreatment,polished
48755.jpg,hasMaterialType,metal
48755.jpg,hasLength,short
48755.jpg,hasSilhouette,circular
48755.jpg,belongsToCategory,upperbody
48755.jpg,depicts,necklace
40557.jpg,hasFabricTreatment,polished
40557.jpg,hasMaterialType,metal
40557.jpg,hasOpeningType,buckle
40557.jpg,hasNeckline,round
40557.jpg,hasLength,short
40557.jpg,hasSilhouette,circular
40557.jpg,belongsToCategory,upperbody
40557.jpg,depicts,watch
46468.jpg,hasPattern,solid color
46468.jpg,hasFabricTreatment,polished
46468.jpg,hasMaterialType,metal
46468.jpg,hasSleeveType,long-sleeve
46468.jpg,hasLength,short
46468.jpg,hasSilhouette,circular
46468.jpg,belongsToCategory,upperbody
46468.jpg,depicts,watch
48907.jpg,hasFabricTreatment,polished
48907.jpg,hasMaterialType,metal
48907.jpg,hasNeckline,round neckline
48907.jpg,hasLength,short
48907.jpg,hasSilhouette,round
48907.jpg,belongsToCategory,upperbody
48907.jpg,depicts,necklace
32307.jpg,hasFabricTreatment,polished
32307.jpg,hasMaterialType,metal
32307.jpg,hasOpeningType,button
32307.jpg,hasSleeveType,short
32307.jpg,hasNeckline,round
32307.jpg,hasLength,short
32307.jpg,hasSilhouette,round
32307.jpg,belongsToCategory,head
32307.jpg,depicts,watch
58857.jpg,hasPattern,striped
58857.jpg,hasFabricTreatment,polished
58857.jpg,hasMaterialType,gold
58857.jpg,hasLength,short
58857.jpg,belongsToCategory,upperbody
58857.jpg,depicts,cufflink
33931.jpg,hasFabricTreatment,polished
33931.jpg,hasMaterialType,metal
33931.jpg,hasOpeningType,button
33931.jpg,hasSleeveType,sleeveless
33931.jpg,hasLength,short
33931.jpg,hasSilhouette,strap
33931.jpg,belongsToCategory,upperbody
33931.jpg,depicts,watch
48939.jpg,hasFabricTreatment,polished
