relation1,attribute1,relation2,attribute2,frequency
hasSilhouette,straight,hasMaterialType,cotton,40
hasMaterialType,cotton,hasSilhouette,straight,40
belongsToCategory,lowerbody,hasMaterialType,cotton,37
belongsToCategory,lowerbody,hasSilhouette,straight,37
hasMaterialType,cotton,belongsToCategory,lowerbody,37
hasSilhouette,straight,belongsToCategory,lowerbody,37
depicts,shorts,hasMaterialType,cotton,22
depicts,shorts,hasSilhouette,straight,22
depicts,shorts,belongsToCategory,lowerbody,22
hasMaterialType,cotton,depicts,shorts,22
hasSilhouette,straight,depicts,shorts,22
belongsToCategory,lowerbody,depicts,shorts,22
hasOpeningType,zipper,hasMaterialType,cotton,21
hasMaterialType,cotton,hasOpeningType,zipper,21
hasSilhouette,straight,hasOpeningType,zipper,21
belongsToCategory,lowerbody,hasOpeningType,zipper,21
hasOpeningType,zipper,hasSilhouette,straight,21
hasOpeningType,zipper,belongsToCategory,lowerbody,21
hasWaistline,high-waisted,hasMaterialType,cotton,16
hasMaterialType,cotton,hasWaistline,high-waisted,16
hasSilhouette,straight,hasWaistline,high-waisted,16
belongsToCategory,lowerbody,hasWaistline,high-waisted,16
hasWaistline,high-waisted,hasSilhouette,straight,16
hasWaistline,high-waisted,belongsToCategory,lowerbody,16
hasLength,long,hasMaterialType,cotton,15
hasMaterialType,cotton,hasLength,long,15
hasSilhouette,straight,hasLength,long,15
hasLength,long,hasSilhouette,straight,15
hasPocketType,side pockets,hasMaterialType,cotton,14
hasMaterialType,cotton,hasPocketType,side pockets,14
hasSilhouette,straight,hasPocketType,side pockets,14
belongsToCategory,lowerbody,hasPocketType,side pockets,14
hasPocketType,side pockets,hasSilhouette,straight,14
hasPocketType,side pockets,belongsToCategory,lowerbody,14
depicts,pants,hasMaterialType,cotton,14
depicts,pants,hasSilhouette,straight,14
depicts,pants,belongsToCategory,lowerbody,14
hasMaterialType,cotton,depicts,pants,14
hasSilhouette,straight,depicts,pants,14
belongsToCategory,lowerbody,depicts,pants,14
hasMaterialType,cotton,hasPattern,striped,14
hasSilhouette,straight,hasPattern,striped,14
hasPattern,striped,hasMaterialType,cotton,14
hasPattern,striped,hasSilhouette,straight,14
hasWaistline,high,hasMaterialType,cotton,13
belongsToCategory,lowerbody,hasLength,long,13
hasMaterialType,cotton,hasWaistline,high,13
hasSilhouette,straight,hasWaistline,high,13
belongsToCategory,lowerbody,hasWaistline,high,13
hasWaistline,high,hasSilhouette,straight,13
hasLength,long,belongsToCategory,lowerbody,13
