product1,product2,shared_attributes
29725.jpg,53892.jpg,9
53892.jpg,29725.jpg,9
27672.jpg,29727.jpg,8
47401.jpg,52569.jpg,8
29725.jpg,52569.jpg,8
53892.jpg,42005.jpg,8
38453.jpg,42005.jpg,8
29725.jpg,21549.jpg,8
42005.jpg,53892.jpg,8
27672.jpg,53892.jpg,8
38458.jpg,53892.jpg,8
53892.jpg,27672.jpg,8
38458.jpg,27672.jpg,8
29727.jpg,27672.jpg,8
38458.jpg,57230.jpg,8
21549.jpg,29725.jpg,8
38458.jpg,29725.jpg,8
52569.jpg,29725.jpg,8
53892.jpg,38458.jpg,8
27672.jpg,38458.jpg,8
57230.jpg,38458.jpg,8
29725.jpg,38458.jpg,8
42005.jpg,38453.jpg,8
52569.jpg,47401.jpg,8
57230.jpg,42835.jpg,7
38458.jpg,42835.jpg,7
53756.jpg,42835.jpg,7
52647.jpg,52594.jpg,7
52569.jpg,29727.jpg,7
53892.jpg,29727.jpg,7
29725.jpg,29727.jpg,7
38458.jpg,29727.jpg,7
29727.jpg,52569.jpg,7
21549.jpg,52569.jpg,7
53892.jpg,52569.jpg,7
47401.jpg,54384.jpg,7
42887.jpg,54384.jpg,7
57230.jpg,54384.jpg,7
38458.jpg,54384.jpg,7
27672.jpg,42005.jpg,7
53892.jpg,21549.jpg,7
52569.jpg,21549.jpg,7
54384.jpg,42887.jpg,7
57230.jpg,42887.jpg,7
38458.jpg,42887.jpg,7
21549.jpg,53892.jpg,7
38453.jpg,53892.jpg,7
29727.jpg,53892.jpg,7
52569.jpg,53892.jpg,7
52594.jpg,52647.jpg,7
57230.jpg,52647.jpg,7
38458.jpg,52647.jpg,7
38453.jpg,52647.jpg,7
53756.jpg,52647.jpg,7
42005.jpg,27672.jpg,7
57230.jpg,27672.jpg,7
29725.jpg,27672.jpg,7
38453.jpg,27672.jpg,7
42835.jpg,57230.jpg,7
52647.jpg,57230.jpg,7
27672.jpg,57230.jpg,7
54384.jpg,57230.jpg,7
42887.jpg,57230.jpg,7
27672.jpg,29725.jpg,7
29727.jpg,29725.jpg,7
42835.jpg,38458.jpg,7
52647.jpg,38458.jpg,7
29727.jpg,38458.jpg,7
54384.jpg,38458.jpg,7
42887.jpg,38458.jpg,7
47401.jpg,38458.jpg,7
53892.jpg,38453.jpg,7
52647.jpg,38453.jpg,7
27672.jpg,38453.jpg,7
42835.jpg,53756.jpg,7
52647.jpg,53756.jpg,7
54384.jpg,47401.jpg,7
38458.jpg,47401.jpg,7
42005.jpg,42835.jpg,6
53892.jpg,42835.jpg,6
52647.jpg,42835.jpg,6
27672.jpg,42835.jpg,6
54384.jpg,42835.jpg,6
42887.jpg,42835.jpg,6
46972.jpg,52594.jpg,6
27672.jpg,52594.jpg,6
38453.jpg,52594.jpg,6
50185.jpg,53068.jpg,6
36067.jpg,53068.jpg,6
47401.jpg,53068.jpg,6
47956.jpg,29727.jpg,6
54384.jpg,29727.jpg,6
21549.jpg,29727.jpg,6
42887.jpg,29727.jpg,6
50185.jpg,29727.jpg,6
47377.jpg,29727.jpg,6
57230.jpg,29727.jpg,6
54384.jpg,52569.jpg,6
38458.jpg,52569.jpg,6
50185.jpg,47956.jpg,6
47377.jpg,47956.jpg,6
29727.jpg,47956.jpg,6
27672.jpg,47956.jpg,6
52569.jpg,54384.jpg,6
52813.jpg,54384.jpg,6
42835.jpg,54384.jpg,6
29727.jpg,54384.jpg,6
47303.jpg,54384.jpg,6
52647.jpg,54384.jpg,6
27672.jpg,54384.jpg,6
42835.jpg,42005.jpg,6
21549.jpg,42005.jpg,6
