product,relationship,attribute
38968.jpg,hasAnimalPattern,not present
38968.jpg,hasFabricTreatment,water resistant
38968.jpg,hasLeatherType,not present
38968.jpg,hasMaterialType,nylon
38968.jpg,hasOpeningType,zipper
38968.jpg,hasPocketType,side pockets
38968.jpg,hasSleeveType,long-sleeve
38968.jpg,hasNeckline,not present
38968.jpg,hasLapelType,not present
38968.jpg,hasCollarType,not present
38968.jpg,hasLength,long
38968.jpg,hasWaistline,high-waisted
38968.jpg,hasSilhouette,straight
38968.jpg,belongsToCategory,upperbody
38968.jpg,depicts,backpack
5259.jpg,hasMaterialType,polyester
5259.jpg,hasLength,full length
5259.jpg,hasWaistline,high-waisted
5259.jpg,hasSilhouette,straight
5259.jpg,belongsToCategory,upperbody
5259.jpg,depicts,backpack
11123.jpg,hasMaterialType,nylon
11123.jpg,hasSilhouette,straight
11123.jpg,belongsToCategory,upperbody
11123.jpg,depicts,backpack
18332.jpg,hasPattern,abstract
18332.jpg,hasMaterialType,nylon
18332.jpg,hasOpeningType,zipper
18332.jpg,hasPocketType,front pocket
18332.jpg,hasSleeveType,short
18332.jpg,hasLength,medium
18332.jpg,hasSilhouette,backpack
18332.jpg,belongsToCategory,upperbody
18332.jpg,depicts,bag
34466.jpg,hasMaterialType,polyester
34466.jpg,hasLength,regular length
34466.jpg,hasSilhouette,straight
34466.jpg,belongsToCategory,upperbody
34466.jpg,depicts,backpack
2262.jpg,hasAnimalPattern,animal pattern
2262.jpg,hasPattern,plaid pattern
2262.jpg,hasMaterialType,polyester
2262.jpg,hasOpeningType,zip closure
2262.jpg,hasPocketType,side pockets
2262.jpg,hasSleeveType,short-sleeve
2262.jpg,hasNeckline,crew neckline
2262.jpg,hasLength,long
2262.jpg,hasWaistline,high-waisted
2262.jpg,hasSilhouette,straight
2262.jpg,belongsToCategory,upperbody
2262.jpg,depicts,backpack
54488.jpg,hasMaterialType,synthetic
54488.jpg,hasOpeningType,zipper
54488.jpg,hasPocketType,inside pocket
54488.jpg,hasSleeveType,long
54488.jpg,hasNeckline,straight
54488.jpg,hasLength,short
54488.jpg,hasWaistline,natural
54488.jpg,hasSilhouette,straight
54488.jpg,belongsToCategory,upperbody
54488.jpg,depicts,bag
29071.jpg,hasMaterialType,polyester
29071.jpg,hasOpeningType,zipper opening
