relation1,attribute1,relation2,attribute2,frequency
depicts,glasses,hasMaterialType,plastic,40
hasMaterialType,plastic,depicts,glasses,40
belongsToCategory,head,hasMaterialType,plastic,39
hasMaterialType,plastic,belongsToCategory,head,39
depicts,glasses,belongsToCategory,head,39
belongsToCategory,head,depicts,glasses,39
hasSilhouette,aviator,hasMaterialType,plastic,17
hasMaterialType,plastic,hasSilhouette,aviator,17
belongsToCategory,head,hasSilhouette,aviator,17
depicts,glasses,hasSilhouette,aviator,17
hasSilhouette,aviator,belongsToCategory,head,17
hasSilhouette,aviator,depicts,glasses,17
hasLength,long,hasMaterialType,plastic,17
hasMaterialType,plastic,hasLength,long,17
belongsToCategory,head,hasLength,long,17
depicts,glasses,hasLength,long,17
hasLength,long,belongsToCategory,head,17
hasLength,long,depicts,glasses,17
hasNickname,sunglasses,hasMaterialType,plastic,16
hasMaterialType,plastic,hasNickname,sunglasses,16
depicts,glasses,hasNickname,sunglasses,16
hasNickname,sunglasses,depicts,glasses,16
belongsToCategory,head,hasNickname,sunglasses,15
hasNickname,sunglasses,belongsToCategory,head,15
hasSilhouette,round,hasMaterialType,plastic,15
hasMaterialType,plastic,hasSilhouette,round,15
depicts,glasses,hasSilhouette,round,15
hasSilhouette,round,depicts,glasses,15
belongsToCategory,head,hasSilhouette,round,14
hasSilhouette,round,belongsToCategory,head,14
hasLength,short,hasMaterialType,plastic,10
hasMaterialType,plastic,hasLength,short,10
belongsToCategory,head,hasLength,short,10
depicts,glasses,hasLength,short,10
hasLength,short,belongsToCategory,head,10
hasLength,short,depicts,glasses,10
hasSilhouette,aviator,hasLength,long,9
hasLength,long,hasSilhouette,aviator,9
hasNickname,sunglasses,hasSilhouette,aviator,7
hasSilhouette,aviator,hasNickname,sunglasses,7
hasNickname,sunglasses,hasLength,short,7
hasLength,short,hasNickname,sunglasses,7
hasMaterialType,plastic,hasFabricTreatment,coated,7
belongsToCategory,head,hasFabricTreatment,coated,7
depicts,glasses,hasFabricTreatment,coated,7
hasFabricTreatment,coated,hasMaterialType,plastic,7
hasFabricTreatment,coated,belongsToCategory,head,7
hasFabricTreatment,coated,depicts,glasses,7
hasNickname,sunglasses,hasSilhouette,round,7
hasSilhouette,round,hasNickname,sunglasses,7
hasMaterialType,plastic,hasPattern,striped,6
belongsToCategory,head,hasPattern,striped,6
depicts,glasses,hasPattern,striped,6
hasPattern,striped,hasMaterialType,plastic,6
hasPattern,striped,belongsToCategory,head,6
hasPattern,striped,depicts,glasses,6
hasSilhouette,round,hasLength,short,6
hasLength,short,hasSilhouette,round,6
hasNickname,sunglasses,hasFabricTreatment,coated,5
hasFabricTreatment,coated,hasNickname,sunglasses,5
hasSilhouette,oval,hasMaterialType,plastic,5
hasMaterialType,plastic,hasSilhouette,oval,5
belongsToCategory,head,hasSilhouette,oval,5
depicts,glasses,hasSilhouette,oval,5
hasSilhouette,oval,belongsToCategory,head,5
hasSilhouette,oval,depicts,glasses,5
hasSilhouette,round,hasPattern,striped,5
hasPattern,striped,hasSilhouette,round,5
hasNeckline,round,hasMaterialType,plastic,4
hasMaterialType,plastic,hasNeckline,round,4
belongsToCategory,head,hasNeckline,round,4
depicts,glasses,hasNeckline,round,4
hasNeckline,round,belongsToCategory,head,4
hasNeckline,round,depicts,glasses,4
hasNickname,sunglasses,hasPattern,striped,4
hasPattern,striped,hasNickname,sunglasses,4
hasSilhouette,round,hasFabricTreatment,coated,4
hasSleeveType,sleeveless,hasMaterialType,plastic,4
hasMaterialType,plastic,hasSleeveType,sleeveless,4
hasNickname,sunglasses,hasSleeveType,sleeveless,4
belongsToCategory,head,hasSleeveType,sleeveless,4
depicts,glasses,hasSleeveType,sleeveless,4
hasFabricTreatment,coated,hasSilhouette,round,4
hasSleeveType,sleeveless,hasNickname,sunglasses,4
hasSleeveType,sleeveless,belongsToCategory,head,4
hasSleeveType,sleeveless,depicts,glasses,4
hasMaterialType,plastic,hasAnimalPattern,no,3
belongsToCategory,head,hasAnimalPattern,no,3
depicts,glasses,hasAnimalPattern,no,3
hasAnimalPattern,no,hasMaterialType,plastic,3
hasAnimalPattern,no,belongsToCategory,head,3
hasAnimalPattern,no,depicts,glasses,3
hasSilhouette,oval,hasLength,long,3
hasLength,long,hasSilhouette,oval,3
hasLength,short,hasFabricTreatment,coated,3
hasFabricTreatment,coated,hasLength,short,3
hasSilhouette,round,hasLength,long,3
hasLength,long,hasSilhouette,round,3
hasSleeveType,sleeveless,hasFabricTreatment,coated,3
hasFabricTreatment,coated,hasSleeveType,sleeveless,3
hasLength,short,hasSleeveType,sleeveless,3
hasSilhouette,round,hasSleeveType,sleeveless,3
hasSleeveType,sleeveless,hasLength,short,3
hasSleeveType,sleeveless,hasSilhouette,round,3
hasNeckline,straight,hasPattern,striped,3
hasLength,short,hasPattern,striped,3
hasNeckline,straight,hasMaterialType,plastic,3
hasPattern,striped,hasNeckline,straight,3
hasMaterialType,plastic,hasNeckline,straight,3
hasLength,short,hasNeckline,straight,3
hasSilhouette,round,hasNeckline,straight,3
hasNickname,sunglasses,hasNeckline,straight,3
belongsToCategory,head,hasNeckline,straight,3
depicts,glasses,hasNeckline,straight,3
hasPattern,striped,hasLength,short,3
hasNeckline,straight,hasLength,short,3
hasNeckline,straight,hasSilhouette,round,3
hasNeckline,straight,hasNickname,sunglasses,3
hasNeckline,straight,belongsToCategory,head,3
hasNeckline,straight,depicts,glasses,3
hasMaterialType,plastic,hasPattern,gradient,2
hasNickname,sunglasses,hasPattern,gradient,2
belongsToCategory,head,hasPattern,gradient,2
depicts,glasses,hasPattern,gradient,2
hasPattern,gradient,hasMaterialType,plastic,2
