product,relationship,attribute
21896.jpg,hasPattern,floral
21896.jpg,hasMaterialType,cotton
21896.jpg,hasOpeningType,zipper closure
21896.jpg,hasSleeveType,short-sleeve
21896.jpg,hasNeckline,v-neck
21896.jpg,hasCollarType,v-neck
21896.jpg,hasLength,knee-length
21896.jpg,hasWaistline,natural
21896.jpg,hasSilhouette,a-line
21896.jpg,belongsToCategory,upperbody
21896.jpg,depicts,dress
7413.jpg,hasPattern,floral
7413.jpg,hasMaterialType,cotton
7413.jpg,hasOpeningType,closed front
7413.jpg,hasSleeveType,short-sleeve
7413.jpg,hasNeckline,round neckline
7413.jpg,hasCollarType,round neck
7413.jpg,hasLength,knee-length
7413.jpg,hasWaistline,natural
7413.jpg,hasSilhouette,a-line
7413.jpg,belongsToCategory,upperbody
7413.jpg,depicts,dress
22036.jpg,hasPattern,floral
22036.jpg,hasMaterialType,cotton
22036.jpg,hasOpeningType,zipper
22036.jpg,hasSleeveType,short-sleeve
22036.jpg,hasNeckline,v-neck
22036.jpg,hasCollarType,v-neck
22036.jpg,hasLength,knee-length
22036.jpg,hasWaistline,natural
22036.jpg,hasSilhouette,a-line
22036.jpg,belongsToCategory,upperbody
22036.jpg,depicts,dress
28959.jpg,hasPattern,striped
28959.jpg,hasFabricTreatment,plain weave
28959.jpg,hasMaterialType,cotton
28959.jpg,hasOpeningType,zipper
28959.jpg,hasSleeveType,short-sleeve
28959.jpg,hasNeckline,round neck
28959.jpg,hasLength,knee-length
28959.jpg,hasWaistline,natural
28959.jpg,hasSilhouette,a-line
28959.jpg,belongsToCategory,upperbody
28959.jpg,depicts,dress
36503.jpg,hasPattern,floral
36503.jpg,hasMaterialType,cotton
36503.jpg,hasOpeningType,zipper
36503.jpg,hasSleeveType,short-sleeve
36503.jpg,hasNeckline,v-neck
36503.jpg,hasCollarType,mandarin-collar
36503.jpg,hasLength,knee-length
36503.jpg,hasWaistline,natural
36503.jpg,hasSilhouette,a-line
36503.jpg,belongsToCategory,upperbody
36503.jpg,depicts,dress
59367.jpg,hasAnimalPattern,no animal patterns
59367.jpg,hasPattern,floral
59367.jpg,hasMaterialType,cotton
59367.jpg,hasOpeningType,buttons
59367.jpg,hasSleeveType,short-sleeve
59367.jpg,hasNeckline,round neck
59367.jpg,hasLength,knee-length
59367.jpg,hasWaistline,natural
59367.jpg,hasSilhouette,straight
59367.jpg,belongsToCategory,upperbody
59367.jpg,depicts,dress
28754.jpg,hasPattern,floral
28754.jpg,hasFabricTreatment,plain weave
28754.jpg,hasMaterialType,cotton
28754.jpg,hasOpeningType,button-front closure
28754.jpg,hasSleeveType,short-sleeve
28754.jpg,hasNeckline,round neck
28754.jpg,hasCollarType,v-neck
28754.jpg,hasLength,knee-length
28754.jpg,hasWaistline,natural
28754.jpg,hasSilhouette,a-line
28754.jpg,belongsToCategory,upperbody
28754.jpg,depicts,dress
11616.jpg,hasPattern,floral
11616.jpg,hasFabricTreatment,plain weave
11616.jpg,hasMaterialType,cotton
11616.jpg,hasOpeningType,zippered front
11616.jpg,hasSleeveType,short-sleeve
11616.jpg,hasNeckline,round neck
11616.jpg,hasCollarType,round collar
11616.jpg,hasLength,knee-length
11616.jpg,hasWaistline,natural
11616.jpg,hasSilhouette,a-line
11616.jpg,belongsToCategory,upperbody
11616.jpg,depicts,dress
53843.jpg,hasPattern,floral
53843.jpg,hasFabricTreatment,plain weave
53843.jpg,hasMaterialType,cotton
53843.jpg,hasSleeveType,short-sleeve
53843.jpg,hasNeckline,round neckline
53843.jpg,hasCollarType,round neck
53843.jpg,hasLength,knee-length
53843.jpg,hasWaistline,natural
53843.jpg,hasSilhouette,a-line
53843.jpg,belongsToCategory,upperbody
53843.jpg,depicts,dress
58678.jpg,hasPattern,floral
58678.jpg,hasFabricTreatment,unfinished seams
58678.jpg,hasMaterialType,cotton
58678.jpg,hasOpeningType,zipper
58678.jpg,hasSleeveType,short-sleeve
58678.jpg,hasNeckline,v-shaped
58678.jpg,hasCollarType,v-neck
58678.jpg,hasLength,knee-length
58678.jpg,hasWaistline,natural
58678.jpg,hasSilhouette,straight
58678.jpg,belongsToCategory,upperbody
58678.jpg,depicts,dress
15833.jpg,hasPattern,floral
15833.jpg,hasMaterialType,cotton
15833.jpg,hasSleeveType,short-sleeve
15833.jpg,hasNeckline,round neckline
15833.jpg,hasCollarType,round neck
15833.jpg,hasLength,knee-length
15833.jpg,hasWaistline,natural
15833.jpg,hasSilhouette,straight
15833.jpg,belongsToCategory,upperbody
15833.jpg,depicts,dress
22072.jpg,hasPattern,floral
22072.jpg,hasFabricTreatment,plain weave
22072.jpg,hasMaterialType,cotton
22072.jpg,hasOpeningType,zipper
22072.jpg,hasSleeveType,short-sleeve
22072.jpg,hasNeckline,round
22072.jpg,hasCollarType,v-neck
22072.jpg,hasLength,knee-length
22072.jpg,hasWaistline,natural
22072.jpg,hasSilhouette,a-line
22072.jpg,belongsToCategory,upperbody
22072.jpg,depicts,dress
27279.jpg,hasPattern,floral
27279.jpg,hasFabricTreatment,plain weave
27279.jpg,hasMaterialType,cotton
27279.jpg,hasOpeningType,zipper
27279.jpg,hasNeckline,v-neck
27279.jpg,hasCollarType,v-neck
27279.jpg,hasLength,knee-length
27279.jpg,hasWaistline,natural
27279.jpg,hasSilhouette,a-line
27279.jpg,belongsToCategory,upperbody
27279.jpg,depicts,dress
20096.jpg,hasPattern,floral
20096.jpg,hasMaterialType,cotton
20096.jpg,hasSleeveType,short-sleeve
20096.jpg,hasNeckline,v-neck
20096.jpg,hasCollarType,v-neck
20096.jpg,hasLength,knee-length
20096.jpg,hasWaistline,natural
20096.jpg,hasSilhouette,a-line
20096.jpg,belongsToCategory,upperbody
20096.jpg,depicts,dress
59059.jpg,hasPattern,floral
59059.jpg,hasFabricTreatment,printed
59059.jpg,hasMaterialType,cotton
59059.jpg,hasOpeningType,front opening
59059.jpg,hasSleeveType,short-sleeve
59059.jpg,hasNeckline,round neck
59059.jpg,hasCollarType,v-neck
59059.jpg,hasLength,knee-length
59059.jpg,hasWaistline,natural
59059.jpg,hasSilhouette,a-line
59059.jpg,belongsToCategory,upperbody
59059.jpg,depicts,dress
42686.jpg,hasPattern,floral
42686.jpg,hasMaterialType,cotton
42686.jpg,hasOpeningType,button closure
42686.jpg,hasSleeveType,short-sleeve
42686.jpg,hasNeckline,round neckline
42686.jpg,hasCollarType,round neck
42686.jpg,hasLength,knee-length
42686.jpg,hasWaistline,natural
42686.jpg,hasSilhouette,a-line
42686.jpg,belongsToCategory,upperbody
42686.jpg,depicts,dress
22071.jpg,hasPattern,floral
22071.jpg,hasFabricTreatment,plain weave
22071.jpg,hasMaterialType,cotton
22071.jpg,hasOpeningType,zip
22071.jpg,hasSleeveType,short-sleeve
22071.jpg,hasNeckline,v-neck
22071.jpg,hasCollarType,v-neck
22071.jpg,hasLength,knee-length
22071.jpg,hasWaistline,natural
22071.jpg,hasSilhouette,a-line
22071.jpg,belongsToCategory,upperbody
22071.jpg,depicts,dress
33047.jpg,hasPattern,floral
33047.jpg,hasFabricTreatment,plain weave
33047.jpg,hasMaterialType,cotton
