product,relationship,attribute
36311.jpg,hasMaterialType,cotton
36311.jpg,hasSleeveType,short-sleeve
36311.jpg,hasNeckline,round neck
36311.jpg,hasLapelType,no-lapel
36311.jpg,hasCollarType,crew-neck
36311.jpg,hasLength,short
36311.jpg,hasWaistline,natural
36311.jpg,hasSilhouette,straight
36311.jpg,belongsToCategory,upperbody
36311.jpg,depicts,t-shirt
33266.jpg,hasPattern,solid color
33266.jpg,hasFabricTreatment,plain weave
33266.jpg,hasMaterialType,cotton
33266.jpg,hasOpeningType,v-neck
33266.jpg,hasSleeveType,short-sleeve
33266.jpg,hasNeckline,round neck
33266.jpg,hasLength,short
33266.jpg,hasWaistline,high-waisted
33266.jpg,hasSilhouette,fitted
33266.jpg,belongsToCategory,upperbody
33266.jpg,depicts,t-shirt
44693.jpg,hasMaterialType,cotton
44693.jpg,hasOpeningType,round neck
44693.jpg,hasSleeveType,short-sleeve
44693.jpg,hasNeckline,crew-neck
44693.jpg,hasCollarType,crew-neck
44693.jpg,hasLength,short
44693.jpg,hasWaistline,defined
44693.jpg,hasSilhouette,straight
44693.jpg,belongsToCategory,upperbody
44693.jpg,depicts,t-shirt
3867.jpg,hasPattern,striped
3867.jpg,hasFabricTreatment,perforated
3867.jpg,hasMaterialType,cotton
3867.jpg,hasOpeningType,crew neck
3867.jpg,hasSleeveType,short-sleeve
3867.jpg,hasNeckline,round neck
3867.jpg,hasCollarType,crew-neck
3867.jpg,hasLength,short
3867.jpg,hasSilhouette,straight
3867.jpg,belongsToCategory,upperbody
3867.jpg,depicts,t-shirt
34012.jpg,hasPattern,floral
34012.jpg,hasFabricTreatment,plain weave
34012.jpg,hasMaterialType,cotton
34012.jpg,hasOpeningType,button
34012.jpg,hasSleeveType,short-sleeve
34012.jpg,hasNeckline,round neckline
34012.jpg,hasCollarType,round neck
34012.jpg,hasLength,short
34012.jpg,hasSilhouette,straight
34012.jpg,belongsToCategory,upperbody
34012.jpg,depicts,t-shirt
5156.jpg,hasPattern,graphic print
5156.jpg,hasMaterialType,cotton
5156.jpg,hasOpeningType,crew neck opening
5156.jpg,hasSleeveType,short-sleeve
5156.jpg,hasNeckline,round neck
5156.jpg,hasCollarType,crew-neck
5156.jpg,hasLength,short
5156.jpg,hasWaistline,natural
5156.jpg,hasSilhouette,fitted
5156.jpg,belongsToCategory,upperbody
5156.jpg,depicts,t-shirt
37600.jpg,hasAnimalPattern,zebra
37600.jpg,hasPattern,striped
37600.jpg,hasMaterialType,cotton
37600.jpg,hasOpeningType,button
37600.jpg,hasSleeveType,short-sleeve
37600.jpg,hasNeckline,round neck
37600.jpg,hasCollarType,crew-neck
37600.jpg,hasLength,short
37600.jpg,hasWaistline,high-waisted
37600.jpg,hasSilhouette,a-line
37600.jpg,belongsToCategory,upperbody
37600.jpg,depicts,t-shirt
2701.jpg,hasMaterialType,cotton
2701.jpg,hasSleeveType,short-sleeve
2701.jpg,hasNeckline,round neckline
2701.jpg,hasCollarType,round neck
2701.jpg,hasLength,short-sleeved
2701.jpg,hasWaistline,fitted
2701.jpg,hasSilhouette,straight
2701.jpg,belongsToCategory,upperbody
2701.jpg,depicts,t-shirt
1912.jpg,hasMaterialType,cotton
1912.jpg,hasSleeveType,short-sleeve
1912.jpg,hasNeckline,round neck
1912.jpg,hasCollarType,crew-neck
1912.jpg,hasLength,short
1912.jpg,hasSilhouette,straight
1912.jpg,hasNickname,t-shirt
1912.jpg,belongsToCategory,upperbody
1912.jpg,depicts,shirt
15527.jpg,hasMaterialType,cotton
15527.jpg,hasSleeveType,short-sleeve
15527.jpg,hasNeckline,crew neckline
15527.jpg,hasCollarType,round neck
15527.jpg,hasLength,short
15527.jpg,hasSilhouette,straight
15527.jpg,belongsToCategory,upperbody
15527.jpg,depicts,t-shirt
3937.jpg,hasMaterialType,cotton
3937.jpg,hasSleeveType,short-sleeve
3937.jpg,hasNeckline,round neck
3937.jpg,hasCollarType,crew-neck
3937.jpg,hasLength,short
3937.jpg,hasWaistline,natural
3937.jpg,hasSilhouette,a-line
3937.jpg,belongsToCategory,upperbody
3937.jpg,depicts,t-shirt
8199.jpg,hasMaterialType,cotton
8199.jpg,hasOpeningType,button
8199.jpg,hasSleeveType,short-sleeve
8199.jpg,hasNeckline,round neck
8199.jpg,hasCollarType,crew-neck
8199.jpg,hasLength,short
8199.jpg,hasWaistline,natural
8199.jpg,hasSilhouette,straight
8199.jpg,belongsToCategory,upperbody
8199.jpg,depicts,t-shirt
35879.jpg,hasMaterialType,cotton
35879.jpg,hasSleeveType,short-sleeve
35879.jpg,hasNeckline,round neck
35879.jpg,hasCollarType,crew-neck
35879.jpg,hasLength,short
35879.jpg,hasWaistline,natural
35879.jpg,hasSilhouette,straight
35879.jpg,belongsToCategory,upperbody
35879.jpg,depicts,t-shirt
53432.jpg,hasMaterialType,cotton
53432.jpg,hasOpeningType,round neck
53432.jpg,hasSleeveType,short-sleeve
53432.jpg,hasCollarType,crew-neck
53432.jpg,hasLength,short
53432.jpg,hasWaistline,natural
53432.jpg,hasSilhouette,straight
53432.jpg,belongsToCategory,upperbody
53432.jpg,depicts,t-shirt
35874.jpg,hasPattern,graphic print
35874.jpg,hasMaterialType,cotton
35874.jpg,hasSleeveType,short-sleeve
35874.jpg,hasNeckline,round neckline
35874.jpg,hasCollarType,crew-neck
35874.jpg,hasLength,short
35874.jpg,hasWaistline,natural waistline
35874.jpg,hasSilhouette,straight
