relation1,attribute1,relation2,attribute2,frequency
belongsToCategory,upperbody,hasSleeveType,short-sleeve,39
hasSleeveType,short-sleeve,belongsToCategory,upperbody,39
belongsToCategory,upperbody,hasMaterialType,cotton,37
hasMaterialType,cotton,belongsToCategory,upperbody,37
hasSleeveType,short-sleeve,hasMaterialType,cotton,36
hasMaterialType,cotton,hasSleeveType,short-sleeve,36
belongsToCategory,upperbody,hasCollarType,crew-neck,35
hasCollarType,crew-neck,belongsToCategory,upperbody,35
hasCollarType,crew-neck,hasSleeveType,short-sleeve,34
hasSleeveType,short-sleeve,hasCollarType,crew-neck,34
depicts,t-shirt,belongsToCategory,upperbody,33
belongsToCategory,upperbody,depicts,t-shirt,33
hasCollarType,crew-neck,hasMaterialType,cotton,32
hasMaterialType,cotton,hasCollarType,crew-neck,32
depicts,t-shirt,hasSleeveType,short-sleeve,32
hasSleeveType,short-sleeve,depicts,t-shirt,32
depicts,t-shirt,hasMaterialType,cotton,31
hasMaterialType,cotton,depicts,t-shirt,31
depicts,t-shirt,hasCollarType,crew-neck,30
hasCollarType,crew-neck,depicts,t-shirt,30
hasLength,short,hasSleeveType,short-sleeve,29
hasSleeveType,short-sleeve,hasLength,short,29
belongsToCategory,upperbody,hasLength,short,29
hasLength,short,belongsToCategory,upperbody,29
hasLength,short,hasCollarType,crew-neck,28
hasCollarType,crew-neck,hasLength,short,28
hasLength,short,hasMaterialType,cotton,26
hasMaterialType,cotton,hasLength,short,26
depicts,t-shirt,hasLength,short,26
hasLength,short,depicts,t-shirt,26
belongsToCategory,upperbody,hasNeckline,round neck,25
hasNeckline,round neck,belongsToCategory,upperbody,25
hasNeckline,round neck,hasSleeveType,short-sleeve,24
hasSleeveType,short-sleeve,hasNeckline,round neck,24
hasNeckline,round neck,hasMaterialType,cotton,23
hasMaterialType,cotton,hasNeckline,round neck,23
hasCollarType,crew-neck,hasNeckline,round neck,23
hasNeckline,round neck,hasCollarType,crew-neck,23
depicts,t-shirt,hasNeckline,round neck,21
hasNeckline,round neck,depicts,t-shirt,21
belongsToCategory,upperbody,hasPattern,striped,20
hasPattern,striped,belongsToCategory,upperbody,20
hasLength,short,hasNeckline,round neck,20
hasNeckline,round neck,hasLength,short,20
hasSleeveType,short-sleeve,hasPattern,striped,19
hasPattern,striped,hasSleeveType,short-sleeve,19
hasMaterialType,cotton,hasPattern,striped,18
hasCollarType,crew-neck,hasPattern,striped,18
hasPattern,striped,hasMaterialType,cotton,18
hasPattern,striped,hasCollarType,crew-neck,18
hasLength,short,hasPattern,striped,17
hasPattern,striped,hasLength,short,17
depicts,t-shirt,hasPattern,striped,16
belongsToCategory,upperbody,hasSilhouette,regular fit,16
hasSilhouette,regular fit,belongsToCategory,upperbody,16
hasPattern,striped,depicts,t-shirt,16
hasSilhouette,regular fit,hasSleeveType,short-sleeve,15
hasSleeveType,short-sleeve,hasSilhouette,regular fit,15
hasSilhouette,regular fit,hasMaterialType,cotton,14
hasMaterialType,cotton,hasSilhouette,regular fit,14
hasNeckline,round neck,hasPattern,striped,13
hasPattern,striped,hasNeckline,round neck,13
hasSilhouette,regular fit,hasCollarType,crew-neck,13
hasCollarType,crew-neck,hasSilhouette,regular fit,13
depicts,t-shirt,hasSilhouette,regular fit,13
hasSilhouette,regular fit,depicts,t-shirt,13
hasSilhouette,regular fit,hasNeckline,round neck,12
hasNeckline,round neck,hasSilhouette,regular fit,12
hasSilhouette,regular fit,hasLength,short,10
hasLength,short,hasSilhouette,regular fit,10
hasSleeveType,short-sleeve,hasOpeningType,round neck,9
belongsToCategory,upperbody,hasOpeningType,round neck,9
hasOpeningType,round neck,hasSleeveType,short-sleeve,9
hasOpeningType,round neck,belongsToCategory,upperbody,9
hasLength,short sleeve,hasMaterialType,cotton,8
hasMaterialType,cotton,hasLength,short sleeve,8
belongsToCategory,upperbody,hasLength,short sleeve,8
hasLength,short sleeve,belongsToCategory,upperbody,8
hasOpeningType,round neck,hasMaterialType,cotton,8
