product1,product2,shared_attributes
30803.jpg,16292.jpg,11
16292.jpg,30803.jpg,11
9692.jpg,26297.jpg,10
40270.jpg,26297.jpg,10
16292.jpg,2747.jpg,10
8002.jpg,2747.jpg,10
9868.jpg,2747.jpg,10
12935.jpg,2747.jpg,10
16292.jpg,16037.jpg,10
30803.jpg,16037.jpg,10
7550.jpg,16037.jpg,10
26297.jpg,9692.jpg,10
16292.jpg,9692.jpg,10
30803.jpg,9692.jpg,10
40270.jpg,9692.jpg,10
17233.jpg,9692.jpg,10
4756.jpg,9692.jpg,10
2747.jpg,16292.jpg,10
16037.jpg,16292.jpg,10
9692.jpg,16292.jpg,10
8002.jpg,16292.jpg,10
9868.jpg,16292.jpg,10
12935.jpg,16292.jpg,10
6076.jpg,16292.jpg,10
17233.jpg,16292.jpg,10
4756.jpg,16292.jpg,10
16037.jpg,30803.jpg,10
9692.jpg,30803.jpg,10
6076.jpg,30803.jpg,10
17233.jpg,30803.jpg,10
4756.jpg,30803.jpg,10
46410.jpg,56236.jpg,10
26297.jpg,40270.jpg,10
9692.jpg,40270.jpg,10
2747.jpg,8002.jpg,10
16292.jpg,8002.jpg,10
9868.jpg,8002.jpg,10
12935.jpg,8002.jpg,10
48401.jpg,38282.jpg,10
2747.jpg,9868.jpg,10
16292.jpg,9868.jpg,10
8002.jpg,9868.jpg,10
12935.jpg,9868.jpg,10
46410.jpg,44225.jpg,10
2747.jpg,12935.jpg,10
16292.jpg,12935.jpg,10
8002.jpg,12935.jpg,10
9868.jpg,12935.jpg,10
56236.jpg,46410.jpg,10
44225.jpg,46410.jpg,10
16292.jpg,6076.jpg,10
30803.jpg,6076.jpg,10
9692.jpg,17233.jpg,10
16292.jpg,17233.jpg,10
30803.jpg,17233.jpg,10
4756.jpg,17233.jpg,10
16037.jpg,7550.jpg,10
38282.jpg,48401.jpg,10
9692.jpg,4756.jpg,10
16292.jpg,4756.jpg,10
30803.jpg,4756.jpg,10
17233.jpg,4756.jpg,10
30124.jpg,12932.jpg,9
2747.jpg,26297.jpg,9
16037.jpg,26297.jpg,9
16292.jpg,26297.jpg,9
30803.jpg,26297.jpg,9
8002.jpg,26297.jpg,9
9868.jpg,26297.jpg,9
12935.jpg,26297.jpg,9
28849.jpg,26297.jpg,9
17233.jpg,26297.jpg,9
7550.jpg,26297.jpg,9
59797.jpg,26297.jpg,9
4756.jpg,26297.jpg,9
9692.jpg,14018.jpg,9
16292.jpg,14018.jpg,9
30803.jpg,14018.jpg,9
9713.jpg,14018.jpg,9
17233.jpg,14018.jpg,9
4756.jpg,14018.jpg,9
26297.jpg,2747.jpg,9
16037.jpg,2747.jpg,9
9692.jpg,2747.jpg,9
30803.jpg,2747.jpg,9
40270.jpg,2747.jpg,9
28849.jpg,2747.jpg,9
17233.jpg,2747.jpg,9
7550.jpg,2747.jpg,9
59797.jpg,2747.jpg,9
4756.jpg,2747.jpg,9
9692.jpg,44586.jpg,9
16292.jpg,44586.jpg,9
30803.jpg,44586.jpg,9
17233.jpg,44586.jpg,9
4756.jpg,44586.jpg,9
16037.jpg,17627.jpg,9
38282.jpg,17627.jpg,9
6076.jpg,17627.jpg,9
7550.jpg,17627.jpg,9
26297.jpg,16037.jpg,9
2747.jpg,16037.jpg,9
17627.jpg,16037.jpg,9
17275.jpg,16037.jpg,9
9692.jpg,16037.jpg,9
52129.jpg,16037.jpg,9
40270.jpg,16037.jpg,9
8002.jpg,16037.jpg,9
9868.jpg,16037.jpg,9
42176.jpg,16037.jpg,9
12935.jpg,16037.jpg,9
16126.jpg,16037.jpg,9
28849.jpg,16037.jpg,9
6076.jpg,16037.jpg,9
17233.jpg,16037.jpg,9
59797.jpg,16037.jpg,9
4756.jpg,16037.jpg,9
15162.jpg,16037.jpg,9
5442.jpg,27581.jpg,9
4883.jpg,27581.jpg,9
16037.jpg,17275.jpg,9
30124.jpg,17275.jpg,9
4865.jpg,17275.jpg,9
4865.jpg,31356.jpg,9
27581.jpg,5442.jpg,9
14018.jpg,9692.jpg,9
