relationshipType,unique_value_count,unique_values
hasFabricTreatment,12,"['suede', 'no treatment', 'texturized', 'perforated', 'tanned', 'breathable mesh panels', 'smooth', 'no-treatment', 'suede-finish', 'suede finish', 'unbleached', 'stitching']"
hasOpeningType,11,"['closed-opening', 'lace-up', 'closed opening', 'closed-toe', 'closed', 'zipper', 'slip-on', 'ties', 'open at the toe', 'slip-ons', 'laces or velcro']"
hasSilhouette,9,"['round', 'closed-toe', 'regular', 'slip-on', 'athletic', 'closed', 'sandal', 'sneaker', 'loafer']"
hasLeatherType,8,"['smooth-leather', 'full-grain', 'full-grain leather', 'smooth finish', 'smooth leather', 'nubuck', 'suede', 'full grain leather']"
hasSleeveType,7,"['sleeveless', 'slip-on', 'short-sleeve', 'short', 'closed', 'long-sleeve', 'short sleeveless']"
hasLength,6,"['closed-toe', 'low-top', 'ankle-high', 'ankle-length', 'flat', 'short']"
hasMaterialType,5,"['leather', 'fabric', 'synthetic', 'synthetic material', 'canvas']"
hasNeckline,5,"['no-neckline', 'round', 'round-neck', 'round neck', 'round neckline']"
hasPattern,4,"['solid-color', 'solid color', 'striped', 'solid-colored']"
hasWaistline,4,"['high', 'high-waisted', 'natural', 'no-waist']"
hasPocketType,3,"['no-pockets', 'pocketless', 'non-pocketed']"
hasLapelType,2,"['no-lapel', 'lapelless']"
belongsToCategory,1,['lowerbody']
depicts,1,['shoes']
hasCollarType,1,['slip-on']
