product,relationship,attribute
23559.jpg,hasLength,short
23559.jpg,hasSilhouette,straight
23559.jpg,belongsToCategory,upperbody
23559.jpg,depicts,perfume
23605.jpg,hasMaterialType,liquid
23605.jpg,hasLength,long
23605.jpg,hasSilhouette,straight
23605.jpg,belongsToCategory,upperbody
23605.jpg,depicts,perfume
43962.jpg,hasMaterialType,fabric
43962.jpg,hasOpeningType,zipper
43962.jpg,hasSleeveType,short
43962.jpg,hasLength,knee-length
43962.jpg,hasWaistline,natural
43962.jpg,hasSilhouette,a-line
43962.jpg,hasNickname,fragrance
43962.jpg,belongsToCategory,upperbody
43962.jpg,depicts,perfume
44100.jpg,hasMaterialType,glass
44100.jpg,hasLength,short
44100.jpg,hasSilhouette,cylinder
44100.jpg,hasNickname,perfume bottle
44100.jpg,belongsToCategory,clothing accessories
44100.jpg,depicts,perfume bottle
18813.jpg,hasPattern,striped
18813.jpg,hasFabricTreatment,solid
18813.jpg,hasMaterialType,fabric
18813.jpg,hasOpeningType,buckle
18813.jpg,hasSleeveType,short
18813.jpg,hasNeckline,round
18813.jpg,hasLength,short
18813.jpg,hasWaistline,high
18813.jpg,hasSilhouette,straight
18813.jpg,belongsToCategory,upperbody
18813.jpg,depicts,belt
25978.jpg,hasPattern,solid color
25978.jpg,hasFabricTreatment,textured
25978.jpg,hasMaterialType,fabric
25978.jpg,hasSleeveType,sleeveless
25978.jpg,hasNeckline,round neckline
25978.jpg,hasLength,short
25978.jpg,hasSilhouette,straight
25978.jpg,belongsToCategory,upperbody
25978.jpg,depicts,perfume bottle
45765.jpg,hasPattern,solid color
45765.jpg,hasLeatherType,no leather
45765.jpg,hasMaterialType,glass
45765.jpg,hasOpeningType,screw cap opening
45765.jpg,hasSleeveType,sleeveless
45765.jpg,hasNeckline,round neckline
45765.jpg,hasLength,short
45765.jpg,hasSilhouette,cylindrical
45765.jpg,hasNickname,perfume
45765.jpg,belongsToCategory,head
45765.jpg,depicts,perfume bottle
46938.jpg,hasMaterialType,glass
46938.jpg,hasLength,short
46938.jpg,hasSilhouette,straight
46938.jpg,belongsToCategory,upperbody
46938.jpg,depicts,perfume bottle
56395.jpg,hasFabricTreatment,perfumed
56395.jpg,hasMaterialType,liquid
56395.jpg,hasSleeveType,sleeveless
56395.jpg,hasLength,full-length
56395.jpg,hasSilhouette,straight
56395.jpg,belongsToCategory,wholebody
56395.jpg,depicts,perfume
44083.jpg,hasPattern,striped
44083.jpg,hasMaterialType,synthetic
44083.jpg,hasOpeningType,zipper
44083.jpg,hasSleeveType,short-sleeve
44083.jpg,hasNeckline,round neck
44083.jpg,hasLength,knee-length
44083.jpg,hasWaistline,natural-waist
44083.jpg,hasSilhouette,straight
44083.jpg,belongsToCategory,upperbody
44083.jpg,depicts,perfume bottle
22652.jpg,hasFabricTreatment,solid
22652.jpg,hasMaterialType,fabric
22652.jpg,hasOpeningType,zipper
22652.jpg,hasPocketType,zipper
22652.jpg,hasSleeveType,short
22652.jpg,hasNeckline,round
22652.jpg,hasLength,long
22652.jpg,hasSilhouette,straight
22652.jpg,belongsToCategory,wholebody
22652.jpg,depicts,bag
45710.jpg,hasFabricTreatment,smooth fabric
45710.jpg,hasMaterialType,glass material
45710.jpg,hasOpeningType,closed opening
45710.jpg,hasPocketType,no pocket
45710.jpg,hasSleeveType,sleeveless
45710.jpg,hasNeckline,round neckline
45710.jpg,hasLength,short
45710.jpg,hasSilhouette,straight
45710.jpg,belongsToCategory,upperbody
45710.jpg,depicts,perfume bottle
54488.jpg,hasMaterialType,synthetic
54488.jpg,hasOpeningType,zipper
54488.jpg,hasPocketType,inside pocket
54488.jpg,hasSleeveType,long
54488.jpg,hasNeckline,straight
54488.jpg,hasLength,short
54488.jpg,hasWaistline,natural
54488.jpg,hasSilhouette,straight
54488.jpg,belongsToCategory,upperbody
54488.jpg,depicts,bag
37907.jpg,hasPattern,solid color
37907.jpg,hasMaterialType,fabric
37907.jpg,hasOpeningType,button
37907.jpg,hasSleeveType,short-sleeve
37907.jpg,hasNeckline,round neck
37907.jpg,hasLength,ankle length
37907.jpg,hasWaistline,high-waisted
37907.jpg,hasSilhouette,straight
37907.jpg,hasNickname,perfume bottle
37907.jpg,belongsToCategory,lowerbody
37907.jpg,depicts,perfume bottle
44133.jpg,hasMaterialType,fabric
44133.jpg,hasSleeveType,sleeveless
44133.jpg,hasNeckline,round neckline
44133.jpg,hasLength,short
44133.jpg,hasSilhouette,straight
44133.jpg,belongsToCategory,upperbody
44133.jpg,depicts,perfume
44073.jpg,hasPattern,solid color pattern
44073.jpg,hasMaterialType,fabric material
44073.jpg,hasSleeveType,sleeveless
44073.jpg,hasNeckline,round neckline
44073.jpg,hasLength,short
44073.jpg,hasWaistline,natural-waist
44073.jpg,hasSilhouette,straight
44073.jpg,belongsToCategory,upperbody
44073.jpg,depicts,perfume bottle
44075.jpg,hasMaterialType,fabric
44075.jpg,hasLength,long
44075.jpg,hasSilhouette,straight
44075.jpg,belongsToCategory,upperbody
44075.jpg,depicts,perfume bottle
32539.jpg,hasMaterialType,glass
32539.jpg,hasSilhouette,straight
32539.jpg,belongsToCategory,upperbody
32539.jpg,depicts,perfume bottle
55338.jpg,hasMaterialType,glass
55338.jpg,hasLength,short
55338.jpg,hasSilhouette,cylinder
55338.jpg,belongsToCategory,perfume bottle
55338.jpg,depicts,perfume bottle
