relationshipType,unique_value_count,unique_values
hasFabricTreatment,12,"['unbleached', 'treated with dye or pigment', 'textured', 'perforated', 'non-sheer', 'lined', 'breathable mesh', 'smooth', 'nubuck', 'plain weave', 'glossy', 'treated fabric']"
hasSilhouette,11,"['slip-on', 'flat', 'round toe', 'athletic', 'round', 'closed-toe', 'sneaker', 'closed toe', 'asymmetrical', 'low-top sneaker', 'slipper']"
hasLength,10,"['low-top', 'ankle-high', 'low-cut', 'short', 'flat', 'slip-on', 'ankle-length', 'full-length', 'ankle length', 'closed-toe']"
hasOpeningType,8,"['closed toe', 'side opening', 'slip-on', 'slit openings', 'open', 'closed opening', 'zipper', 'lace-up']"
hasNeckline,8,"['round neckline', 'round', 'round neck', 'round-neck', 'necklineless', 'no neckline', 'v-neck', 'closed neckline']"
hasSleeveType,5,"['sleeveless', 'short-sleeve', 'short', 'slip-on', 'short sleeveless']"
hasPocketType,4,"['pocketless', 'no-pockets', 'no pocket', 'unpocketsed']"
hasPattern,4,"['solid color', 'striped', 'solid-color', 'plain pattern']"
hasLapelType,3,"['lapel-less', 'no-lapel', 'lapelless']"
depicts,3,"['shoes', 'sandals', 'dress']"
hasWaistline,3,"['non-waisted', 'no-waist', 'high-waisted']"
belongsToCategory,2,"['lowerbody', 'wholebody']"
hasMaterialType,1,['synthetic']
hasLeatherType,1,['no leather']
