relationshipType,unique_value_count,unique_values
hasPattern,11,"['graphic print', 'abstract', 'solid color', 'solid-color', 'striped', 'stripe', 'geometric', 'plain weave', 'graphic pattern', 'cartoon character', 'stripe pattern']"
hasOpeningType,11,"['round neckline', 'crew-neck', 'zipper front', 'crew neck', 'button', 'round neck opening', 'round opening', 'crew-neck opening', 'crew neck opening', 'round neck', 'button-down front']"
hasFabricTreatment,10,"['soft-touch', 'dyed', 'plain weave', 'stretchy', 'plain-weave', 'unbleached', 'none specified', 'stretch', 'pre-shrunk', 'no treatment']"
hasNeckline,8,"['crew neck', 'crew-neck', 'round', 'round neckline', 'round-neck', 'round neck', 'round-neckline', 'v-neck']"
hasSilhouette,7,"['fitted', 'slim-fit', 'a-line', 'crew neck', 'regular fit', 'regular', 'crew-neck']"
hasLength,6,"['short', 'short-sleeved', 'short-sleeve', 'short sleeve', 'short-length', 'regular']"
hasWaistline,5,"['high-waisted', 'fitted', 'no waist', 'natural-waist', 'natural']"
hasPocketType,5,"['side-pockets', 'no-pocket', 'no-pockets', 'side pockets', 'no pocket']"
hasNickname,4,"['graphic tee', 'blue t-shirt', 't-shirt', 'green graphic tee']"
hasCollarType,3,"['crew-neck', 'round collar', 'classic collar']"
hasAnimalPattern,3,"['skull and crossbones', 'cartoon animal', 'tiger']"
hasMaterialType,2,"['cotton', 'cotton blend']"
depicts,2,"['t-shirt', 'shirt']"
hasLapelType,2,"['non-lapelled', 'no-lapel']"
hasSleeveType,1,['short-sleeve']
belongsToCategory,1,['upperbody']
