product,relationship,attribute
51910.jpg,hasPattern,floral
51910.jpg,hasFabricTreatment,coated
51910.jpg,hasMaterialType,synthetic
51910.jpg,hasOpeningType,zipper
51910.jpg,hasSleeveType,short
51910.jpg,hasLength,long
51910.jpg,hasWaistline,natural
51910.jpg,hasSilhouette,straight
51910.jpg,belongsToCategory,upperbody
51910.jpg,depicts,bag
20933.jpg,hasPattern,striped
20933.jpg,hasMaterialType,polyester
20933.jpg,hasOpeningType,zipper
20933.jpg,hasPocketType,pockets
20933.jpg,hasSleeveType,long-sleeve
20933.jpg,hasNeckline,round
20933.jpg,hasLength,short
20933.jpg,hasWaistline,natural
20933.jpg,hasSilhouette,a-line
20933.jpg,belongsToCategory,upperbody
20933.jpg,depicts,bag
43294.jpg,hasPattern,solid color
43294.jpg,hasLeatherType,smooth leather
43294.jpg,hasMaterialType,leather
43294.jpg,hasOpeningType,zipper
43294.jpg,hasPocketType,no pocket
43294.jpg,hasSleeveType,sleeveless
43294.jpg,hasNeckline,round neck
43294.jpg,hasLength,short
43294.jpg,hasWaistline,natural
43294.jpg,hasSilhouette,rectangular
43294.jpg,belongsToCategory,upperbody
43294.jpg,depicts,bag
8227.jpg,hasPattern,polka-dot
8227.jpg,hasFabricTreatment,plain weave
8227.jpg,hasMaterialType,synthetic
8227.jpg,hasOpeningType,zipper
8227.jpg,hasPocketType,side
8227.jpg,hasSleeveType,short
8227.jpg,hasNeckline,round
8227.jpg,hasLength,regular
8227.jpg,hasSilhouette,rectangular
8227.jpg,belongsToCategory,upperbody
8227.jpg,depicts,bag
34121.jpg,hasMaterialType,synthetic
34121.jpg,hasOpeningType,zipper
34121.jpg,hasPocketType,side pocket
34121.jpg,hasSleeveType,short
34121.jpg,hasLength,long
34121.jpg,hasWaistline,natural
34121.jpg,hasSilhouette,a-line
34121.jpg,belongsToCategory,upperbody
34121.jpg,depicts,bag
53670.jpg,hasPattern,striped
53670.jpg,hasMaterialType,canvas
53670.jpg,hasOpeningType,zipper
53670.jpg,hasSleeveType,short
53670.jpg,hasLength,long
53670.jpg,hasSilhouette,rectangular
53670.jpg,belongsToCategory,upperbody
53670.jpg,depicts,bag
38321.jpg,hasPattern,solid color
38321.jpg,hasMaterialType,synthetic
38321.jpg,hasOpeningType,zipper
38321.jpg,hasSleeveType,sleeveless
38321.jpg,hasLength,short
38321.jpg,hasWaistline,high-waisted
38321.jpg,hasSilhouette,straight
38321.jpg,belongsToCategory,upperbody
38321.jpg,depicts,bag
21968.jpg,hasOpeningType,zipper
21968.jpg,hasLength,short
21968.jpg,hasSilhouette,rectangular
21968.jpg,belongsToCategory,upperbody
21968.jpg,depicts,bag
39930.jpg,hasLeatherType,full-grain leather
39930.jpg,hasMaterialType,leather
39930.jpg,hasOpeningType,zipper
39930.jpg,hasSleeveType,short-sleeve
39930.jpg,hasNeckline,round
39930.jpg,hasLength,short
39930.jpg,hasWaistline,high-waisted
39930.jpg,hasSilhouette,rectangular
39930.jpg,belongsToCategory,upperbody
39930.jpg,depicts,bag
15669.jpg,hasFabricTreatment,waterproof
15669.jpg,hasMaterialType,nylon
15669.jpg,hasOpeningType,zipper
15669.jpg,hasPocketType,no pocket
15669.jpg,hasSleeveType,sleeveless
15669.jpg,hasLength,short
15669.jpg,hasWaistline,no waist
15669.jpg,hasSilhouette,rectangular
15669.jpg,belongsToCategory,upperbody
15669.jpg,depicts,bag
20965.jpg,hasPattern,striped
20965.jpg,hasMaterialType,synthetic
20965.jpg,hasOpeningType,zipper
20965.jpg,hasPocketType,internal
20965.jpg,hasSleeveType,short
20965.jpg,hasLength,long
20965.jpg,hasWaistline,natural
20965.jpg,hasSilhouette,straight
20965.jpg,belongsToCategory,lowerbody
20965.jpg,depicts,bag
54488.jpg,hasMaterialType,synthetic
54488.jpg,hasOpeningType,zipper
54488.jpg,hasPocketType,inside pocket
54488.jpg,hasSleeveType,long
54488.jpg,hasNeckline,straight
54488.jpg,hasLength,short
54488.jpg,hasWaistline,natural
54488.jpg,hasSilhouette,straight
54488.jpg,belongsToCategory,upperbody
54488.jpg,depicts,bag
53656.jpg,hasPattern,striped
53656.jpg,hasMaterialType,synthetic
53656.jpg,hasOpeningType,zipper
53656.jpg,hasSleeveType,sleeveless
53656.jpg,hasNeckline,round
53656.jpg,hasLength,short
53656.jpg,hasWaistline,high-waisted
53656.jpg,hasSilhouette,a-line
53656.jpg,belongsToCategory,upperbody
53656.jpg,depicts,bag
42059.jpg,hasPattern,solid color
42059.jpg,hasMaterialType,synthetic
42059.jpg,hasOpeningType,zipper
42059.jpg,hasSleeveType,sleeveless
42059.jpg,hasNeckline,round neck
42059.jpg,hasLength,short
42059.jpg,hasWaistline,high-waisted
42059.jpg,hasSilhouette,rectangular
42059.jpg,belongsToCategory,upperbody
42059.jpg,depicts,bag
54384.jpg,hasPattern,striped
54384.jpg,hasMaterialType,fabric
54384.jpg,hasOpeningType,zipper
54384.jpg,hasSleeveType,sleeveless
54384.jpg,hasLength,short
54384.jpg,hasSilhouette,rectangular
54384.jpg,belongsToCategory,upperbody
54384.jpg,depicts,bag
58255.jpg,hasPattern,solid color
58255.jpg,hasLeatherType,smooth
58255.jpg,hasMaterialType,leather
58255.jpg,hasOpeningType,zipper
58255.jpg,hasLength,short
58255.jpg,hasSilhouette,rectangular
58255.jpg,belongsToCategory,upperbody
58255.jpg,depicts,bag
39517.jpg,hasMaterialType,synthetic
39517.jpg,hasOpeningType,zipper
39517.jpg,hasSleeveType,short-sleeve
39517.jpg,hasNeckline,round neck
39517.jpg,hasLength,short
39517.jpg,hasWaistline,high-waisted
39517.jpg,hasSilhouette,straight
39517.jpg,belongsToCategory,lowerbody
39517.jpg,depicts,bag
22670.jpg,hasPattern,striped
22670.jpg,hasMaterialType,cotton
22670.jpg,hasOpeningType,zipper
22670.jpg,hasPocketType,zipper
22670.jpg,hasLength,short
22670.jpg,hasSilhouette,rectangular
22670.jpg,belongsToCategory,upperbody
22670.jpg,depicts,bag
5264.jpg,hasFabricTreatment,treated
5264.jpg,hasMaterialType,synthetic
5264.jpg,hasOpeningType,zipper
5264.jpg,hasSleeveType,no-sleeves
5264.jpg,hasNeckline,no-neckline
5264.jpg,hasLength,short
5264.jpg,hasWaistline,natural
5264.jpg,hasSilhouette,rectangular
5264.jpg,belongsToCategory,upperbody
5264.jpg,depicts,bag
54031.jpg,hasPattern,solid color
54031.jpg,hasFabricTreatment,textured
54031.jpg,hasMaterialType,synthetic material
54031.jpg,hasOpeningType,zipper
54031.jpg,hasPocketType,no pocket
54031.jpg,hasSleeveType,long-sleeve
54031.jpg,hasLength,short
54031.jpg,hasWaistline,high-waisted
54031.jpg,hasSilhouette,rectangular
54031.jpg,belongsToCategory,upperbody
54031.jpg,depicts,bag
36979.jpg,hasPattern,striped
36979.jpg,hasMaterialType,synthetic
36979.jpg,hasOpeningType,zipper
36979.jpg,hasPocketType,side pockets
36979.jpg,hasSleeveType,short-sleeve
36979.jpg,hasLength,short
36979.jpg,hasWaistline,natural
36979.jpg,hasSilhouette,a-line
36979.jpg,belongsToCategory,wholebody
36979.jpg,depicts,bag
21935.jpg,hasMaterialType,synthetic
21935.jpg,hasOpeningType,zipper
21935.jpg,hasPocketType,no pocket
21935.jpg,hasSleeveType,sleeveless
21935.jpg,hasNeckline,round neck
21935.jpg,hasLength,short
21935.jpg,hasWaistline,natural-waist
21935.jpg,hasSilhouette,tapered
21935.jpg,belongsToCategory,upperbody
21935.jpg,depicts,bag
41527.jpg,hasPattern,plaid
41527.jpg,hasMaterialType,canvas
41527.jpg,hasOpeningType,zipper
41527.jpg,hasPocketType,external side pocket
41527.jpg,hasSleeveType,short
41527.jpg,hasNeckline,round
41527.jpg,hasLength,long
41527.jpg,hasWaistline,natural
41527.jpg,hasSilhouette,rectangular
41527.jpg,belongsToCategory,upperbody
41527.jpg,depicts,bag
25870.jpg,hasFabricTreatment,solid
25870.jpg,hasMaterialType,nylon
25870.jpg,hasOpeningType,zipper
25870.jpg,hasPocketType,zipper
25870.jpg,hasSleeveType,short
25870.jpg,hasLength,long
25870.jpg,hasWaistline,natural
25870.jpg,hasSilhouette,straight
25870.jpg,belongsToCategory,upperbody
25870.jpg,depicts,bag
20964.jpg,hasPattern,striped
20964.jpg,hasFabricTreatment,waterproof
20964.jpg,hasMaterialType,polyester
20964.jpg,hasOpeningType,zipper
20964.jpg,hasPocketType,sidepockets
20964.jpg,hasSleeveType,short
20964.jpg,hasLength,medium
20964.jpg,hasSilhouette,rectangular
20964.jpg,belongsToCategory,wholebody
20964.jpg,depicts,bag
53710.jpg,hasPattern,striped
53710.jpg,hasMaterialType,synthetic
53710.jpg,hasOpeningType,zipper
53710.jpg,hasPocketType,side pockets
53710.jpg,hasSleeveType,long-sleeve
53710.jpg,hasNeckline,round neck
53710.jpg,hasLength,regular
53710.jpg,hasWaistline,natural
53710.jpg,hasSilhouette,a-line
53710.jpg,belongsToCategory,upperbody
53710.jpg,depicts,bag
25217.jpg,hasPattern,striped
25217.jpg,hasMaterialType,synthetic
25217.jpg,hasOpeningType,zipper
25217.jpg,hasSleeveType,short
25217.jpg,hasLength,long
25217.jpg,hasWaistline,high
25217.jpg,hasSilhouette,straight
25217.jpg,belongsToCategory,upperbody
25217.jpg,depicts,bag
38441.jpg,hasMaterialType,fabric
38441.jpg,hasOpeningType,zipper
38441.jpg,hasPocketType,external
38441.jpg,hasSleeveType,short
38441.jpg,hasLength,long
38441.jpg,hasWaistline,natural
38441.jpg,hasSilhouette,rectangular
38441.jpg,belongsToCategory,upperbody
38441.jpg,depicts,bag
36072.jpg,hasPattern,striped
36072.jpg,hasFabricTreatment,twill weave
36072.jpg,hasMaterialType,polyester
36072.jpg,hasOpeningType,zipper
36072.jpg,hasSleeveType,short
36072.jpg,hasNeckline,round
36072.jpg,hasLength,short
36072.jpg,hasWaistline,high
36072.jpg,hasSilhouette,straight
36072.jpg,belongsToCategory,lowerbody
36072.jpg,depicts,bag
22656.jpg,hasFabricTreatment,textured
22656.jpg,hasMaterialType,synthetic
22656.jpg,hasOpeningType,zipper
22656.jpg,hasPocketType,no pocket
22656.jpg,hasSleeveType,sleeveless
22656.jpg,hasNeckline,round neck
22656.jpg,hasLength,short
22656.jpg,hasWaistline,high-waisted
22656.jpg,hasSilhouette,straight
22656.jpg,belongsToCategory,lowerbody
22656.jpg,depicts,bag
21528.jpg,hasMaterialType,synthetic
21528.jpg,hasOpeningType,zipper
21528.jpg,hasSleeveType,short
21528.jpg,hasLength,long
21528.jpg,hasWaistline,natural
21528.jpg,hasSilhouette,straight
21528.jpg,belongsToCategory,upperbody
21528.jpg,depicts,bag
21556.jpg,hasPattern,solid color
21556.jpg,hasMaterialType,synthetic
21556.jpg,hasOpeningType,zipper
21556.jpg,hasPocketType,exterior pocket
21556.jpg,hasSleeveType,sleeveless
21556.jpg,hasNeckline,round
21556.jpg,hasLength,short
21556.jpg,hasWaistline,natural
21556.jpg,hasSilhouette,a-line
21556.jpg,belongsToCategory,upperbody
21556.jpg,depicts,bag
54476.jpg,hasFabricTreatment,smooth
54476.jpg,hasMaterialType,synthetic
54476.jpg,hasOpeningType,zipper
54476.jpg,hasSleeveType,sleeveless
54476.jpg,hasNeckline,round
54476.jpg,hasLength,short
54476.jpg,hasWaistline,high-waisted
54476.jpg,hasSilhouette,a-line
54476.jpg,belongsToCategory,upperbody
54476.jpg,depicts,bag
20419.jpg,hasMaterialType,synthetic
20419.jpg,hasLength,short
20419.jpg,hasSilhouette,rectangular
20419.jpg,belongsToCategory,upperbody
20419.jpg,depicts,bag
21015.jpg,hasMaterialType,fabric
21015.jpg,hasOpeningType,zipper
21015.jpg,hasLength,short
21015.jpg,hasSilhouette,rectangular
21015.jpg,belongsToCategory,wholebody
21015.jpg,depicts,bag
38458.jpg,hasPattern,solid color
38458.jpg,hasFabricTreatment,un-treated
38458.jpg,hasMaterialType,fabric
38458.jpg,hasOpeningType,zipper
38458.jpg,hasSleeveType,sleeveless
38458.jpg,hasNeckline,round
38458.jpg,hasLength,short
38458.jpg,hasWaistline,natural
38458.jpg,hasSilhouette,rectangular
38458.jpg,belongsToCategory,upperbody
38458.jpg,depicts,bag
25176.jpg,hasPattern,striped
25176.jpg,hasMaterialType,synthetic
25176.jpg,hasOpeningType,zipper opening
25176.jpg,hasPocketType,front pocket
25176.jpg,hasSleeveType,short
25176.jpg,hasLength,long
25176.jpg,hasWaistline,natural
25176.jpg,hasSilhouette,rectangular
25176.jpg,belongsToCategory,upperbody
25176.jpg,depicts,bag
53363.jpg,hasPattern,houndstooth
53363.jpg,hasFabricTreatment,water-resistant
53363.jpg,hasMaterialType,nylon
53363.jpg,hasOpeningType,zipper
53363.jpg,hasPocketType,side pockets
53363.jpg,hasSleeveType,short
53363.jpg,hasLength,short
53363.jpg,hasWaistline,high-waisted
53363.jpg,hasSilhouette,a-line
53363.jpg,belongsToCategory,lowerbody
53363.jpg,depicts,bag
27722.jpg,hasAnimalPattern,snake
27722.jpg,hasFabricTreatment,suede
27722.jpg,hasLeatherType,calfskin
27722.jpg,hasMaterialType,leather
27722.jpg,hasOpeningType,zipper
27722.jpg,hasNeckline,round
27722.jpg,hasLength,short
27722.jpg,hasWaistline,natural
27722.jpg,hasSilhouette,rectangular
27722.jpg,belongsToCategory,lowerbody
27722.jpg,depicts,bag
34581.jpg,hasPattern,striped
34581.jpg,hasMaterialType,synthetic
34581.jpg,hasOpeningType,zipper
34581.jpg,hasSleeveType,short
34581.jpg,hasNeckline,v-neck
34581.jpg,hasLength,short
34581.jpg,hasWaistline,high
34581.jpg,hasSilhouette,fitted
34581.jpg,belongsToCategory,upperbody
34581.jpg,depicts,dress
