relationshipType,unique_value_count,unique_values
hasOpeningType,9,"['zipper closure', 'front opening', 'zipper', 'buttons', 'fastening by buttons and zippers', 'back opening', 'side opening', 'zip', 'button']"
hasNeckline,4,"['v-neck', 'round', 'round-neck', 'v-shaped']"
hasFabricTreatment,4,"['plain weave', 'printed', 'print', 'unfinished seams']"
hasCollarType,3,"['v-neck', 'round', 'mandarin-collar']"
hasWaistline,3,"['natural', 'fitted', 'high-waisted']"
hasAnimalPattern,3,"['no', 'no animal print', 'no animals']"
hasPattern,2,"['floral', 'striped']"
hasSleeveType,2,"['short-sleeve', 'short']"
hasPocketType,2,"['no-pockets', 'no pocket']"
hasMaterialType,1,['cotton']
hasLength,1,['knee-length']
hasSilhouette,1,['a-line']
belongsToCategory,1,['upperbody']
depicts,1,['dress']
