product,relationship,attribute
21896.jpg,hasPattern,floral
21896.jpg,hasMaterialType,cotton
21896.jpg,hasOpeningType,zipper closure
21896.jpg,hasSleeveType,short-sleeve
21896.jpg,hasNeckline,v-neck
21896.jpg,hasCollarType,v-neck
21896.jpg,hasLength,knee-length
21896.jpg,hasWaistline,natural
21896.jpg,hasSilhouette,a-line
21896.jpg,belongsToCategory,upperbody
21896.jpg,depicts,dress
18172.jpg,hasPattern,floral
18172.jpg,hasFabricTreatment,plain weave
18172.jpg,hasMaterialType,cotton
18172.jpg,hasOpeningType,front opening
18172.jpg,hasSleeveType,short-sleeve
18172.jpg,hasNeckline,round
18172.jpg,hasLength,knee-length
18172.jpg,hasWaistline,natural
18172.jpg,hasSilhouette,a-line
18172.jpg,belongsToCategory,upperbody
18172.jpg,depicts,dress
28938.jpg,hasAnimalPattern,no
28938.jpg,hasPattern,floral
28938.jpg,hasMaterialType,cotton
28938.jpg,hasOpeningType,zipper
28938.jpg,hasPocketType,no-pockets
28938.jpg,hasSleeveType,short-sleeve
28938.jpg,hasNeckline,round-neck
28938.jpg,hasCollarType,round
28938.jpg,hasLength,knee-length
28938.jpg,hasWaistline,natural
28938.jpg,hasSilhouette,a-line
28938.jpg,belongsToCategory,upperbody
28938.jpg,depicts,dress
28937.jpg,hasPattern,floral
28937.jpg,hasMaterialType,cotton
28937.jpg,hasOpeningType,zipper
28937.jpg,hasSleeveType,short-sleeve
28937.jpg,hasNeckline,v-neck
28937.jpg,hasCollarType,round
28937.jpg,hasLength,knee-length
28937.jpg,hasWaistline,fitted
28937.jpg,hasSilhouette,a-line
28937.jpg,belongsToCategory,upperbody
28937.jpg,depicts,dress
24506.jpg,hasAnimalPattern,no animal print
24506.jpg,hasPattern,floral
24506.jpg,hasMaterialType,cotton
24506.jpg,hasOpeningType,buttons
24506.jpg,hasSleeveType,short-sleeve
24506.jpg,hasNeckline,v-neck
24506.jpg,hasCollarType,round
24506.jpg,hasLength,knee-length
24506.jpg,hasWaistline,natural
24506.jpg,hasSilhouette,a-line
24506.jpg,belongsToCategory,upperbody
24506.jpg,depicts,dress
22036.jpg,hasPattern,floral
22036.jpg,hasMaterialType,cotton
22036.jpg,hasOpeningType,zipper
22036.jpg,hasSleeveType,short-sleeve
22036.jpg,hasNeckline,v-neck
22036.jpg,hasCollarType,v-neck
22036.jpg,hasLength,knee-length
22036.jpg,hasWaistline,natural
22036.jpg,hasSilhouette,a-line
22036.jpg,belongsToCategory,upperbody
22036.jpg,depicts,dress
36503.jpg,hasPattern,floral
36503.jpg,hasMaterialType,cotton
36503.jpg,hasOpeningType,zipper
36503.jpg,hasSleeveType,short-sleeve
36503.jpg,hasNeckline,v-neck
36503.jpg,hasCollarType,mandarin-collar
36503.jpg,hasLength,knee-length
36503.jpg,hasWaistline,natural
36503.jpg,hasSilhouette,a-line
36503.jpg,belongsToCategory,upperbody
36503.jpg,depicts,dress
20105.jpg,hasPattern,floral
20105.jpg,hasMaterialType,cotton
20105.jpg,hasOpeningType,front opening
20105.jpg,hasSleeveType,short-sleeve
20105.jpg,hasNeckline,v-shaped
20105.jpg,hasCollarType,v-neck
20105.jpg,hasLength,knee-length
20105.jpg,hasWaistline,natural
20105.jpg,hasSilhouette,a-line
20105.jpg,belongsToCategory,upperbody
20105.jpg,depicts,dress
19088.jpg,hasPattern,floral
19088.jpg,hasMaterialType,cotton
19088.jpg,hasSleeveType,short-sleeve
19088.jpg,hasNeckline,round
19088.jpg,hasLength,knee-length
19088.jpg,hasWaistline,natural
19088.jpg,hasSilhouette,a-line
19088.jpg,belongsToCategory,upperbody
19088.jpg,depicts,dress
24153.jpg,hasPattern,floral
24153.jpg,hasMaterialType,cotton
24153.jpg,hasOpeningType,zipper
24153.jpg,hasSleeveType,short-sleeve
24153.jpg,hasNeckline,round
24153.jpg,hasLength,knee-length
24153.jpg,hasWaistline,natural
24153.jpg,hasSilhouette,a-line
24153.jpg,belongsToCategory,upperbody
24153.jpg,depicts,dress
45837.jpg,hasPattern,floral
45837.jpg,hasMaterialType,cotton
45837.jpg,hasOpeningType,fastening by buttons and zippers
45837.jpg,hasSleeveType,short-sleeve
45837.jpg,hasNeckline,v-shaped
45837.jpg,hasCollarType,v-neck
45837.jpg,hasLength,knee-length
45837.jpg,hasWaistline,natural
45837.jpg,hasSilhouette,a-line
45837.jpg,belongsToCategory,upperbody
45837.jpg,depicts,dress
45856.jpg,hasPattern,floral
45856.jpg,hasMaterialType,cotton
45856.jpg,hasOpeningType,zipper
45856.jpg,hasSleeveType,short-sleeve
45856.jpg,hasNeckline,v-neck
45856.jpg,hasCollarType,v-neck
45856.jpg,hasLength,knee-length
45856.jpg,hasWaistline,high-waisted
45856.jpg,hasSilhouette,a-line
45856.jpg,belongsToCategory,upperbody
45856.jpg,depicts,dress
28957.jpg,hasPattern,floral
28957.jpg,hasMaterialType,cotton
28957.jpg,hasOpeningType,zipper
28957.jpg,hasNeckline,round
28957.jpg,hasCollarType,round
28957.jpg,hasLength,knee-length
28957.jpg,hasWaistline,natural
28957.jpg,hasSilhouette,a-line
28957.jpg,belongsToCategory,upperbody
28957.jpg,depicts,dress
14535.jpg,hasPattern,floral
14535.jpg,hasFabricTreatment,plain weave
14535.jpg,hasMaterialType,cotton
14535.jpg,hasOpeningType,back opening
14535.jpg,hasPocketType,no pocket
14535.jpg,hasSleeveType,short-sleeve
14535.jpg,hasNeckline,round
14535.jpg,hasLength,knee-length
14535.jpg,hasWaistline,natural
14535.jpg,hasSilhouette,a-line
14535.jpg,belongsToCategory,upperbody
14535.jpg,depicts,dress
22072.jpg,hasPattern,floral
22072.jpg,hasFabricTreatment,plain weave
22072.jpg,hasMaterialType,cotton
22072.jpg,hasOpeningType,zipper
22072.jpg,hasSleeveType,short-sleeve
22072.jpg,hasNeckline,round
22072.jpg,hasCollarType,v-neck
22072.jpg,hasLength,knee-length
22072.jpg,hasWaistline,natural
22072.jpg,hasSilhouette,a-line
22072.jpg,belongsToCategory,upperbody
22072.jpg,depicts,dress
11564.jpg,hasPattern,floral
11564.jpg,hasFabricTreatment,printed
11564.jpg,hasMaterialType,cotton
11564.jpg,hasOpeningType,side opening
11564.jpg,hasSleeveType,short
11564.jpg,hasNeckline,round
11564.jpg,hasCollarType,round
11564.jpg,hasLength,knee-length
11564.jpg,hasWaistline,natural
11564.jpg,hasSilhouette,a-line
11564.jpg,belongsToCategory,upperbody
11564.jpg,depicts,dress
24159.jpg,hasPattern,floral
24159.jpg,hasMaterialType,cotton
24159.jpg,hasOpeningType,zipper
24159.jpg,hasSleeveType,short-sleeve
24159.jpg,hasNeckline,v-neck
24159.jpg,hasCollarType,v-neck
24159.jpg,hasLength,knee-length
24159.jpg,hasWaistline,high-waisted
24159.jpg,hasSilhouette,a-line
24159.jpg,belongsToCategory,upperbody
24159.jpg,depicts,dress
20096.jpg,hasPattern,floral
20096.jpg,hasMaterialType,cotton
20096.jpg,hasSleeveType,short-sleeve
20096.jpg,hasNeckline,v-neck
20096.jpg,hasCollarType,v-neck
20096.jpg,hasLength,knee-length
20096.jpg,hasWaistline,natural
