relationshipType,unique_value_count,unique_values
hasLeatherType,11,"['cow leather', 'full grain leather', 'smooth leather', 'uncoated', 'full-grain leather', 'no specific type', 'cowhide', 'full-grain', 'calfskin', 'smooth', 'cowhide leather']"
hasPocketType,9,"['pocket', 'no pocket', 'interior pocket', 'outside', 'single', 'non-existent', 'front pocket', 'pockets', 'internal pocket']"
hasFabricTreatment,7,"['no treatment', 'smooth', 'plain weave', 'non-treated', 'no finishing or techniques', 'stitched', 'durable']"
hasOpeningType,6,"['zipper', 'zipper closure', 'button closure', 'zipper opening', 'open front', 'folded']"
hasNeckline,5,"['open neckline', 'v-shaped', 'no neckline', 'non-existent neckline', 'non-existent']"
hasWaistline,4,"['high', 'non-existent', 'natural', 'high-waisted']"
hasPattern,3,"['solid color', 'striped', 'solid-colored']"
hasSleeveType,3,"['sleeveless', 'short', 'non-existent']"
hasCollarType,3,"['non-collared', 'without collar', 'non-existent']"
hasMaterialType,2,"['leather', 'fabric']"
belongsToCategory,2,"['lowerbody', 'upperbody']"
hasAnimalPattern,2,"['no pattern', 'non-existent']"
hasLapelType,2,"['without lapel', 'non-existent']"
hasLength,1,['short']
hasSilhouette,1,['rectangular']
depicts,1,['wallet']
