product,relationship,attribute
54733.jpg,hasPattern,solid color
54733.jpg,hasLeatherType,full-grain leather
54733.jpg,hasMaterialType,leather
54733.jpg,hasOpeningType,lace-up
54733.jpg,hasSleeveType,short-sleeve
54733.jpg,hasLength,ankle-high
54733.jpg,hasSilhouette,closed-toe
54733.jpg,belongsToCategory,lowerbody
54733.jpg,depicts,shoes
9704.jpg,hasFabricTreatment,nubuck finish
9704.jpg,hasLeatherType,full-grain leather
9704.jpg,hasMaterialType,leather
9704.jpg,hasOpeningType,lace-up
9704.jpg,hasSleeveType,closed
9704.jpg,hasLength,ankle-high
9704.jpg,hasSilhouette,loafer
9704.jpg,belongsToCategory,lowerbody
9704.jpg,depicts,shoes
3570.jpg,hasPattern,solid color
3570.jpg,hasLeatherType,full-grain leather
3570.jpg,hasMaterialType,leather
3570.jpg,hasOpeningType,lace-up
3570.jpg,hasLength,ankle-high
3570.jpg,hasSilhouette,rounded toe
3570.jpg,belongsToCategory,lowerbody
3570.jpg,depicts,shoes
2541.jpg,hasPattern,solid color
2541.jpg,hasFabricTreatment,suede finish
2541.jpg,hasLeatherType,full-grain leather
2541.jpg,hasMaterialType,leather
2541.jpg,hasOpeningType,lace-up closure system
2541.jpg,hasSleeveType,sleeveless
2541.jpg,hasNeckline,no neckline
2541.jpg,hasSilhouette,low-top
2541.jpg,belongsToCategory,footwear
2541.jpg,depicts,sneaker
23878.jpg,hasPattern,plaid
23878.jpg,hasFabricTreatment,perforated
23878.jpg,hasMaterialType,synthetic
23878.jpg,hasOpeningType,lace-up
23878.jpg,hasSleeveType,long-sleeve
23878.jpg,hasLength,ankle-high
23878.jpg,hasSilhouette,round
23878.jpg,belongsToCategory,footwear
23878.jpg,depicts,shoe
22847.jpg,hasSilhouette,round
22847.jpg,hasSleeveType,sleeveless
22847.jpg,hasPattern,solid color
22847.jpg,depicts,shoes
22847.jpg,belongsToCategory,lowerbody
22847.jpg,hasLength,ankle-length
22847.jpg,hasNeckline,round neckline
22847.jpg,hasOpeningType,lace-up
22847.jpg,hasMaterialType,leather
22847.jpg,hasLeatherType,full-grain leather
2505.jpg,hasPattern,solid color
2505.jpg,hasLeatherType,full-grain
2505.jpg,hasMaterialType,leather
2505.jpg,hasOpeningType,lace-up
2505.jpg,hasSleeveType,long-sleeve
2505.jpg,hasLength,ankle-length
2505.jpg,hasSilhouette,round
2505.jpg,belongsToCategory,lowerbody
2505.jpg,depicts,shoe
1730.jpg,hasPattern,solid color
1730.jpg,hasMaterialType,fabric
1730.jpg,hasOpeningType,lace-up
1730.jpg,hasNeckline,no neckline
1730.jpg,hasLength,ankle-high
1730.jpg,hasSilhouette,pointed-toe
1730.jpg,belongsToCategory,lowerbody
1730.jpg,depicts,shoes
44473.jpg,hasFabricTreatment,smooth finish
44473.jpg,hasLeatherType,full-grain leather
44473.jpg,hasMaterialType,leather
