relation1,attribute1,relation2,attribute2,frequency
depicts,watch,hasSilhouette,round,40
hasSilhouette,round,depicts,watch,40
hasSilhouette,round,hasLength,short,39
depicts,watch,hasLength,short,39
hasLength,short,hasSilhouette,round,39
hasLength,short,depicts,watch,39
belongsToCategory,head,hasSilhouette,round,34
hasSilhouette,round,belongsToCategory,head,34
depicts,watch,belongsToCategory,head,34
belongsToCategory,head,depicts,watch,34
belongsToCategory,head,hasLength,short,33
hasLength,short,belongsToCategory,head,33
hasSilhouette,round,hasMaterialType,leather,24
depicts,watch,hasMaterialType,leather,24
depicts,watch,hasNeckline,round,24
hasMaterialType,leather,hasSilhouette,round,24
hasMaterialType,leather,depicts,watch,24
hasNeckline,round,depicts,watch,24
hasLength,short,hasMaterialType,leather,23
hasLength,short,hasNeckline,round,23
hasMaterialType,leather,hasLength,short,23
hasNeckline,round,hasLength,short,23
belongsToCategory,head,hasMaterialType,leather,20
hasMaterialType,leather,belongsToCategory,head,20
belongsToCategory,head,hasNeckline,round,18
hasNeckline,round,belongsToCategory,head,18
hasLength,short,hasOpeningType,buckle,13
hasSilhouette,round,hasOpeningType,buckle,13
depicts,watch,hasOpeningType,buckle,13
hasOpeningType,buckle,hasLength,short,13
hasOpeningType,buckle,hasSilhouette,round,13
hasOpeningType,buckle,depicts,watch,13
hasLength,short,hasSleeveType,sleeveless,13
hasSilhouette,round,hasSleeveType,sleeveless,13
depicts,watch,hasSleeveType,sleeveless,13
hasSleeveType,sleeveless,hasLength,short,13
hasSleeveType,sleeveless,hasSilhouette,round,13
hasSleeveType,sleeveless,depicts,watch,13
hasNeckline,round,hasMaterialType,leather,12
hasMaterialType,leather,hasNeckline,round,12
belongsToCategory,head,hasSleeveType,sleeveless,12
hasSleeveType,sleeveless,belongsToCategory,head,12
hasNeckline,round,hasOpeningType,buckle,10
hasOpeningType,buckle,hasNeckline,round,10
hasSilhouette,round,hasSleeveType,short,10
depicts,watch,hasSleeveType,short,10
hasSleeveType,short,hasSilhouette,round,10
hasSleeveType,short,depicts,watch,10
belongsToCategory,head,hasOpeningType,buckle,9
hasOpeningType,buckle,belongsToCategory,head,9
hasSleeveType,sleeveless,hasMaterialType,leather,9
hasMaterialType,leather,hasSleeveType,sleeveless,9
hasLength,short,hasMaterialType,metal,9
hasSilhouette,round,hasMaterialType,metal,9
belongsToCategory,head,hasMaterialType,metal,9
depicts,watch,hasMaterialType,metal,9
hasMaterialType,metal,hasLength,short,9
hasMaterialType,metal,hasSilhouette,round,9
hasMaterialType,metal,belongsToCategory,head,9
hasMaterialType,metal,depicts,watch,9
hasLength,short,hasFabricTreatment,polished,8
hasSilhouette,round,hasFabricTreatment,polished,8
belongsToCategory,head,hasFabricTreatment,polished,8
depicts,watch,hasFabricTreatment,polished,8
