relationshipType,unique_value_count,unique_values
hasOpeningType,8,"['open-toe', 'strap', 'lace-up', 'slip-on', 'velcro', 'closed', 'ties', 'sandal']"
hasLength,8,"['ankle-length', 'sandal', 'low-heeled', 'short', 'flat', 'low heel', 'ankle-high', 'high-top']"
hasSilhouette,8,"['sandal', 'open-toe', 'flat', 'round', 'closed-toe', 'square-toe sandal', 'peep-toe', 'loafer']"
hasFabricTreatment,7,"['textured', 'suede', 'no treatment', 'stitched', 'hand-stitched', 'perforated', 'smooth-finished']"
hasSleeveType,6,"['sleeveless', 'short', 'short-sleeve', 'strap', 'open-toe', 'short-sleeves']"
hasNeckline,6,"['closed', 'round', 'round neck', 'round-neck', 'open-neck', 'high-neck']"
hasLeatherType,6,"['suede', 'full-grain', 'full-grain leather', 'nubuck', 'smooth', 'full grain leather']"
hasPocketType,4,"['pockets', 'no pocket', 'no-pockets', 'non-pocketed']"
hasMaterialType,3,"['fabric', 'leather', 'synthetic']"
belongsToCategory,3,"['lowerbody', 'footwear', 'shoes']"
hasPattern,3,"['solid color', 'striped', 'plain-color']"
hasWaistline,3,"['high-waisted', 'no-waist', 'natural']"
depicts,2,"['shoes', 'sandal']"
hasCollarType,2,"['strapless', 'slip-on']"
hasAnimalPattern,1,['zebra']
hasNickname,1,['slippers']
