relation1,attribute1,relation2,attribute2,frequency
depicts,wallet,hasSilhouette,rectangular,40
hasSilhouette,rectangular,depicts,wallet,40
hasSilhouette,rectangular,hasOpeningType,zipper,39
depicts,wallet,hasOpeningType,zipper,39
hasOpeningType,zipper,hasSilhouette,rectangular,39
hasOpeningType,zipper,depicts,wallet,39
hasSilhouette,rectangular,hasLength,short,36
depicts,wallet,hasLength,short,36
hasLength,short,hasSilhouette,rectangular,36
hasLength,short,depicts,wallet,36
hasSilhouette,rectangular,hasMaterialType,leather,35
depicts,wallet,hasMaterialType,leather,35
hasLength,short,hasOpeningType,zipper,35
hasOpeningType,zipper,hasLength,short,35
hasMaterialType,leather,hasSilhouette,rectangular,35
hasMaterialType,leather,depicts,wallet,35
hasOpeningType,zipper,hasMaterialType,leather,34
hasMaterialType,leather,hasOpeningType,zipper,34
hasLength,short,hasMaterialType,leather,31
hasMaterialType,leather,hasLength,short,31
belongsToCategory,lowerbody,hasOpeningType,zipper,27
belongsToCategory,lowerbody,hasSilhouette,rectangular,27
hasOpeningType,zipper,belongsToCategory,lowerbody,27
hasSilhouette,rectangular,belongsToCategory,lowerbody,27
depicts,wallet,belongsToCategory,lowerbody,27
belongsToCategory,lowerbody,depicts,wallet,27
belongsToCategory,lowerbody,hasMaterialType,leather,26
hasMaterialType,leather,belongsToCategory,lowerbody,26
belongsToCategory,lowerbody,hasLength,short,25
hasLength,short,belongsToCategory,lowerbody,25
belongsToCategory,upperbody,hasOpeningType,zipper,8
belongsToCategory,upperbody,hasSilhouette,rectangular,8
hasOpeningType,zipper,belongsToCategory,upperbody,8
hasSilhouette,rectangular,belongsToCategory,upperbody,8
depicts,wallet,belongsToCategory,upperbody,8
belongsToCategory,upperbody,depicts,wallet,8
belongsToCategory,upperbody,hasLength,short,7
hasLength,short,belongsToCategory,upperbody,7
hasMaterialType,leather,hasPattern,solid color,5
hasOpeningType,zipper,hasPattern,solid color,5
hasSilhouette,rectangular,hasPattern,solid color,5
belongsToCategory,lowerbody,hasPattern,solid color,5
depicts,wallet,hasPattern,solid color,5
hasPattern,solid color,hasMaterialType,leather,5
hasPattern,solid color,hasOpeningType,zipper,5
hasSleeveType,sleeveless,hasOpeningType,zipper,5
hasOpeningType,zipper,hasSleeveType,sleeveless,5
hasLength,short,hasSleeveType,sleeveless,5
hasSilhouette,rectangular,hasSleeveType,sleeveless,5
depicts,wallet,hasSleeveType,sleeveless,5
hasSleeveType,sleeveless,hasLength,short,5
hasPattern,solid color,hasSilhouette,rectangular,5
hasSleeveType,sleeveless,hasSilhouette,rectangular,5
hasPattern,solid color,belongsToCategory,lowerbody,5
hasPattern,solid color,depicts,wallet,5
hasSleeveType,sleeveless,depicts,wallet,5
hasLength,short,hasPattern,solid color,4
hasSleeveType,sleeveless,hasMaterialType,leather,4
hasMaterialType,leather,hasSleeveType,sleeveless,4
belongsToCategory,lowerbody,hasSleeveType,sleeveless,4
hasPattern,solid color,hasLength,short,4
hasSleeveType,sleeveless,belongsToCategory,lowerbody,4
belongsToCategory,upperbody,hasMaterialType,leather,4
hasMaterialType,leather,belongsToCategory,upperbody,4
hasOpeningType,zipper,hasFabricTreatment,smooth,4
hasLength,short,hasFabricTreatment,smooth,4
hasSilhouette,rectangular,hasFabricTreatment,smooth,4
depicts,wallet,hasFabricTreatment,smooth,4
hasFabricTreatment,smooth,hasOpeningType,zipper,4
hasFabricTreatment,smooth,hasLength,short,4
hasFabricTreatment,smooth,hasSilhouette,rectangular,4
hasFabricTreatment,smooth,depicts,wallet,4
hasOpeningType,zipper,hasMaterialType,fabric,4
hasLength,short,hasMaterialType,fabric,4
hasSilhouette,rectangular,hasMaterialType,fabric,4
depicts,wallet,hasMaterialType,fabric,4
hasMaterialType,fabric,hasOpeningType,zipper,4
hasMaterialType,fabric,hasLength,short,4
hasMaterialType,fabric,hasSilhouette,rectangular,4
hasMaterialType,fabric,depicts,wallet,4
hasOpeningType,zipper,hasPattern,striped,3
hasLength,short,hasPattern,striped,3
hasSilhouette,rectangular,hasPattern,striped,3
depicts,wallet,hasPattern,striped,3
hasPattern,striped,hasOpeningType,zipper,3
hasPattern,striped,hasLength,short,3
hasPattern,striped,hasSilhouette,rectangular,3
hasPattern,striped,depicts,wallet,3
hasMaterialType,leather,hasFabricTreatment,smooth,3
belongsToCategory,lowerbody,hasFabricTreatment,smooth,3
