product,relationship,attribute
32435.jpg,hasPattern,graphic print
32435.jpg,hasMaterialType,cotton
32435.jpg,hasSleeveType,short-sleeve
32435.jpg,hasNeckline,crew neck
32435.jpg,hasLength,regular length
32435.jpg,hasSilhouette,crew neck
32435.jpg,belongsToCategory,upperbody
32435.jpg,depicts,t-shirt
48430.jpg,hasMaterialType,cotton
48430.jpg,hasSleeveType,short-sleeve
48430.jpg,hasNeckline,crew neck
48430.jpg,hasLapelType,lapel-less
48430.jpg,hasLength,short-sleeve
48430.jpg,hasSilhouette,crew neck
48430.jpg,belongsToCategory,upperbody
48430.jpg,depicts,t-shirt
30140.jpg,hasFabricTreatment,pre-washed
30140.jpg,hasMaterialType,cotton
30140.jpg,hasOpeningType,button front opening
30140.jpg,hasSleeveType,short-sleeve
30140.jpg,hasNeckline,crew neckline
30140.jpg,hasCollarType,crew neckline
30140.jpg,hasLength,short
30140.jpg,hasWaistline,natural waistline
30140.jpg,hasSilhouette,a-line
30140.jpg,belongsToCategory,upperbody
30140.jpg,depicts,t-shirt
3751.jpg,hasPattern,textured
3751.jpg,hasMaterialType,cotton
3751.jpg,hasOpeningType,crew neck
3751.jpg,hasSleeveType,short-sleeve
3751.jpg,hasNeckline,round neckline
3751.jpg,hasCollarType,crew-neck
3751.jpg,hasLength,short-sleeved
3751.jpg,hasSilhouette,crew neck
3751.jpg,hasNickname,blue t-shirt
3751.jpg,belongsToCategory,upperbody
3751.jpg,depicts,t-shirt
3060.jpg,hasMaterialType,cotton
3060.jpg,hasOpeningType,round neck
3060.jpg,hasSleeveType,short-sleeve
3060.jpg,hasNeckline,crew neck
3060.jpg,hasCollarType,crew-neck
3060.jpg,hasLength,short-sleeved
3060.jpg,hasSilhouette,crew neck
3060.jpg,hasNickname,tan shirt
3060.jpg,belongsToCategory,upperbody
3060.jpg,depicts,t-shirt
6932.jpg,hasPattern,graphic print
6932.jpg,hasMaterialType,cotton
6932.jpg,hasOpeningType,crew neck opening
6932.jpg,hasSleeveType,short-sleeve
6932.jpg,hasNeckline,round neckline
6932.jpg,hasCollarType,crew neck collar
6932.jpg,hasLength,regular length
6932.jpg,hasWaistline,natural waistline
6932.jpg,hasSilhouette,crew neck
6932.jpg,hasNickname,graphic tee
6932.jpg,belongsToCategory,upperbody
6932.jpg,depicts,t-shirt
40383.jpg,hasMaterialType,cotton
40383.jpg,hasOpeningType,crew-neck
40383.jpg,hasSleeveType,short-sleeve
40383.jpg,hasNeckline,crew-neck
40383.jpg,hasCollarType,crew-neck
40383.jpg,hasLength,short
40383.jpg,hasWaistline,high-waisted
40383.jpg,hasSilhouette,a-line
40383.jpg,belongsToCategory,upperbody
40383.jpg,depicts,t-shirt
23178.jpg,hasPattern,graphic pattern
23178.jpg,hasSleeveType,short-sleeve
23178.jpg,hasNeckline,crew neckline
23178.jpg,hasCollarType,round collar
23178.jpg,hasLength,regular length
23178.jpg,hasMaterialType,cotton
23178.jpg,hasSilhouette,crew neck
23178.jpg,belongsToCategory,upperbody
23178.jpg,depicts,t-shirt
5812.jpg,hasMaterialType,cotton
5812.jpg,hasSleeveType,short-sleeve
5812.jpg,hasNeckline,crew neckline
5812.jpg,hasLength,regular length
5812.jpg,hasWaistline,natural waistline
5812.jpg,hasSilhouette,straight
5812.jpg,belongsToCategory,upperbody
5812.jpg,depicts,t-shirt
38949.jpg,hasPattern,striped
38949.jpg,hasMaterialType,cotton
38949.jpg,hasOpeningType,button front
38949.jpg,hasSleeveType,short-sleeve
38949.jpg,hasNeckline,crew neck
38949.jpg,hasCollarType,crew-neck
38949.jpg,hasLength,above the knee
38949.jpg,hasWaistline,natural-waist
38949.jpg,hasSilhouette,a-line
38949.jpg,belongsToCategory,upperbody
38949.jpg,depicts,t-shirt
27431.jpg,hasPattern,solid color
27431.jpg,hasFabricTreatment,plain weave
27431.jpg,hasLeatherType,no leather
27431.jpg,hasMaterialType,cotton
27431.jpg,hasOpeningType,zippers and buttons
27431.jpg,hasSleeveType,short-sleeve
27431.jpg,hasNeckline,v-neckline
