product1,product2,shared_attributes
44636.jpg,40383.jpg,14
40383.jpg,44636.jpg,14
44636.jpg,6538.jpg,13
6538.jpg,44636.jpg,13
44636.jpg,58732.jpg,12
58732.jpg,44636.jpg,12
27356.jpg,48430.jpg,11
22599.jpg,30140.jpg,11
6538.jpg,40383.jpg,11
57796.jpg,27356.jpg,11
48430.jpg,27356.jpg,11
30140.jpg,22599.jpg,11
40383.jpg,6538.jpg,11
27356.jpg,57796.jpg,11
6155.jpg,57796.jpg,11
57796.jpg,6155.jpg,11
27356.jpg,32435.jpg,10
3060.jpg,3751.jpg,10
6181.jpg,3751.jpg,10
3884.jpg,3751.jpg,10
3751.jpg,3060.jpg,10
6181.jpg,3060.jpg,10
58732.jpg,40383.jpg,10
32435.jpg,27356.jpg,10
6181.jpg,27356.jpg,10
6155.jpg,27356.jpg,10
27356.jpg,6181.jpg,10
3751.jpg,6181.jpg,10
3060.jpg,6181.jpg,10
40383.jpg,58732.jpg,10
6538.jpg,58732.jpg,10
58732.jpg,6538.jpg,10
44636.jpg,31574.jpg,10
3751.jpg,3884.jpg,10
57796.jpg,34260.jpg,10
34260.jpg,57796.jpg,10
31574.jpg,44636.jpg,10
27356.jpg,6155.jpg,10
6181.jpg,32435.jpg,9
48430.jpg,32435.jpg,9
57796.jpg,32435.jpg,9
6155.jpg,32435.jpg,9
32435.jpg,48430.jpg,9
3751.jpg,48430.jpg,9
3060.jpg,48430.jpg,9
6181.jpg,48430.jpg,9
31574.jpg,48430.jpg,9
3884.jpg,48430.jpg,9
57796.jpg,48430.jpg,9
6155.jpg,48430.jpg,9
48430.jpg,3751.jpg,9
27356.jpg,3751.jpg,9
31574.jpg,3751.jpg,9
48430.jpg,3060.jpg,9
27356.jpg,3060.jpg,9
3884.jpg,3060.jpg,9
27356.jpg,6932.jpg,9
5092.jpg,40383.jpg,9
53126.jpg,40383.jpg,9
5881.jpg,27431.jpg,9
3686.jpg,15473.jpg,9
6932.jpg,27356.jpg,9
34260.jpg,27356.jpg,9
3751.jpg,27356.jpg,9
3060.jpg,27356.jpg,9
31574.jpg,27356.jpg,9
3884.jpg,27356.jpg,9
32435.jpg,6181.jpg,9
48430.jpg,6181.jpg,9
9828.jpg,6181.jpg,9
3884.jpg,6181.jpg,9
57796.jpg,6181.jpg,9
6155.jpg,6181.jpg,9
10504.jpg,22599.jpg,9
27431.jpg,5881.jpg,9
41098.jpg,5881.jpg,9
5881.jpg,41098.jpg,9
4383.jpg,9828.jpg,9
31574.jpg,9828.jpg,9
57796.jpg,9828.jpg,9
6181.jpg,9828.jpg,9
31574.jpg,6538.jpg,9
22599.jpg,10504.jpg,9
40383.jpg,5092.jpg,9
9828.jpg,4383.jpg,9
15473.jpg,3686.jpg,9
9828.jpg,31574.jpg,9
48430.jpg,31574.jpg,9
3751.jpg,31574.jpg,9
27356.jpg,31574.jpg,9
6538.jpg,31574.jpg,9
3884.jpg,31574.jpg,9
40383.jpg,53126.jpg,9
44636.jpg,53126.jpg,9
48430.jpg,3884.jpg,9
3060.jpg,3884.jpg,9
27356.jpg,3884.jpg,9
6181.jpg,3884.jpg,9
31574.jpg,3884.jpg,9
27356.jpg,34260.jpg,9
9828.jpg,57796.jpg,9
32435.jpg,57796.jpg,9
48430.jpg,57796.jpg,9
6181.jpg,57796.jpg,9
53126.jpg,44636.jpg,9
32435.jpg,6155.jpg,9
48430.jpg,6155.jpg,9
6181.jpg,6155.jpg,9
6932.jpg,32435.jpg,8
3751.jpg,32435.jpg,8
3060.jpg,32435.jpg,8
3884.jpg,32435.jpg,8
10504.jpg,30140.jpg,8
5426.jpg,30140.jpg,8
