relationshipType,unique_value_count,unique_values
hasNeckline,12,"['v-shaped', 'pointed', 'point', 'classic', 'straight', 'round', 'no neckline', 'crew', 'spread', 'crew neck', 'v-neck', 'mandarin']"
hasOpeningType,9,"['zipper', 'button', 'button front', 'closed front', 'longitudinal', 'fastening', 'open', 'magnetic closure', 'open-fronted']"
depicts,8,"['scarf', 'shirt', 'belt', 'bag', 'sweatshirt', 'perfume', 'watch', 'bracelet']"
hasFabricTreatment,7,"['plain weave', 'not treated', 'solid', 'fleece', 'printed', 'plain weaved', 'woven']"
hasCollarType,7,"['spread-collar', 'pointed', 'button-down', 'crew-neck', 'point', 'without', 'mandarin-collar']"
hasPocketType,7,"['chest pocket', 'slant', 'patch', 'side', 'side pockets', 'side pocket', 'side-seam pockets']"
hasMaterialType,5,"['wool', 'fabric', 'cotton', 'knitwear', 'polyester']"
hasSleeveType,5,"['short', 'long', 'sleeveless', 'long-sleeve', 'short-sleeve']"
hasPattern,3,"['striped', 'solid color', 'floral']"
hasSilhouette,3,"['straight', 'long and narrow', 'round']"
hasWaistline,3,"['natural', 'high', 'high-waisted']"
hasNickname,3,"['suspenders', 'boss', 'kurta']"
hasLapelType,3,"['notch', 'solid', 'pointed']"
hasLength,1,['long']
belongsToCategory,1,['upperbody']
