relation1,attribute1,relation2,attribute2,frequency
hasSleeveType,short-sleeve,hasMaterialType,cotton,40
belongsToCategory,upperbody,hasMaterialType,cotton,40
depicts,t-shirt,hasMaterialType,cotton,40
hasMaterialType,cotton,hasSleeveType,short-sleeve,40
belongsToCategory,upperbody,hasSleeveType,short-sleeve,40
depicts,t-shirt,hasSleeveType,short-sleeve,40
hasMaterialType,cotton,belongsToCategory,upperbody,40
hasSleeveType,short-sleeve,belongsToCategory,upperbody,40
depicts,t-shirt,belongsToCategory,upperbody,40
hasMaterialType,cotton,depicts,t-shirt,40
hasSleeveType,short-sleeve,depicts,t-shirt,40
belongsToCategory,upperbody,depicts,t-shirt,40
hasSilhouette,crew neck,hasMaterialType,cotton,39
hasSilhouette,crew neck,hasSleeveType,short-sleeve,39
hasMaterialType,cotton,hasSilhouette,crew neck,39
hasSleeveType,short-sleeve,hasSilhouette,crew neck,39
belongsToCategory,upperbody,hasSilhouette,crew neck,39
depicts,t-shirt,hasSilhouette,crew neck,39
hasSilhouette,crew neck,belongsToCategory,upperbody,39
hasSilhouette,crew neck,depicts,t-shirt,39
hasLength,short,hasMaterialType,cotton,32
hasLength,short,hasSleeveType,short-sleeve,32
hasMaterialType,cotton,hasLength,short,32
hasSleeveType,short-sleeve,hasLength,short,32
belongsToCategory,upperbody,hasLength,short,32
depicts,t-shirt,hasLength,short,32
hasLength,short,belongsToCategory,upperbody,32
hasLength,short,depicts,t-shirt,32
hasNeckline,crew neck,hasMaterialType,cotton,31
hasNeckline,crew neck,hasSleeveType,short-sleeve,31
hasMaterialType,cotton,hasNeckline,crew neck,31
hasSleeveType,short-sleeve,hasNeckline,crew neck,31
belongsToCategory,upperbody,hasNeckline,crew neck,31
depicts,t-shirt,hasNeckline,crew neck,31
hasSilhouette,crew neck,hasLength,short,31
hasLength,short,hasSilhouette,crew neck,31
hasNeckline,crew neck,belongsToCategory,upperbody,31
hasNeckline,crew neck,depicts,t-shirt,31
hasLength,short,hasNeckline,crew neck,23
hasNeckline,crew neck,hasLength,short,23
hasCollarType,crew-neck,hasMaterialType,cotton,12
hasCollarType,crew-neck,hasSleeveType,short-sleeve,12
hasMaterialType,cotton,hasCollarType,crew-neck,12
hasSleeveType,short-sleeve,hasCollarType,crew-neck,12
hasSilhouette,crew neck,hasCollarType,crew-neck,12
belongsToCategory,upperbody,hasCollarType,crew-neck,12
depicts,t-shirt,hasCollarType,crew-neck,12
hasCollarType,crew-neck,hasSilhouette,crew neck,12
hasCollarType,crew-neck,belongsToCategory,upperbody,12
hasCollarType,crew-neck,depicts,t-shirt,12
hasLength,short,hasCollarType,crew-neck,11
