product,relationship,attribute
16288.jpg,hasPattern,solid color
16288.jpg,hasFabricTreatment,plain weave
16288.jpg,hasMaterialType,cotton
16288.jpg,hasSleeveType,short-sleeve
16288.jpg,hasNeckline,crew neck
16288.jpg,hasCollarType,round collar
16288.jpg,hasLength,short
16288.jpg,hasSilhouette,crew neck
16288.jpg,belongsToCategory,upperbody
16288.jpg,depicts,t-shirt
3873.jpg,hasMaterialType,cotton
3873.jpg,hasOpeningType,round neckline
3873.jpg,hasSleeveType,short-sleeve
3873.jpg,hasNeckline,crew neck
3873.jpg,hasCollarType,round
3873.jpg,hasLength,short
3873.jpg,hasSilhouette,crew neck
3873.jpg,belongsToCategory,upperbody
3873.jpg,depicts,t-shirt
25546.jpg,hasMaterialType,cotton
25546.jpg,hasOpeningType,crew neck opening
25546.jpg,hasSleeveType,short-sleeve
25546.jpg,hasNeckline,crew neck
25546.jpg,hasCollarType,round
25546.jpg,hasLength,short
25546.jpg,hasSilhouette,crew neck
25546.jpg,belongsToCategory,upperbody
25546.jpg,depicts,t-shirt
48430.jpg,hasMaterialType,cotton
48430.jpg,hasSleeveType,short-sleeve
48430.jpg,hasNeckline,crew neck
48430.jpg,hasLapelType,lapel-less
48430.jpg,hasLength,short-sleeve
48430.jpg,hasSilhouette,crew neck
48430.jpg,belongsToCategory,upperbody
48430.jpg,depicts,t-shirt
10670.jpg,hasMaterialType,cotton
10670.jpg,hasSleeveType,short-sleeve
10670.jpg,hasNeckline,crew neck
10670.jpg,hasCollarType,crew-neck
10670.jpg,hasLength,short
10670.jpg,hasSilhouette,crew neck
10670.jpg,belongsToCategory,upperbody
10670.jpg,depicts,t-shirt
28997.jpg,hasPattern,graphic print
28997.jpg,hasMaterialType,cotton
28997.jpg,hasSleeveType,short-sleeve
28997.jpg,hasNeckline,crew neck
28997.jpg,hasCollarType,round
28997.jpg,hasLength,short
28997.jpg,hasWaistline,straight
28997.jpg,hasSilhouette,crew neck
28997.jpg,belongsToCategory,upperbody
28997.jpg,depicts,t-shirt
5016.jpg,hasMaterialType,cotton
5016.jpg,hasOpeningType,crew neck opening
5016.jpg,hasSleeveType,short-sleeve
5016.jpg,hasNeckline,crew neck
5016.jpg,hasCollarType,round collar
5016.jpg,hasLength,short sleeve
5016.jpg,hasWaistline,natural-waist
5016.jpg,hasSilhouette,crew neck
5016.jpg,hasNickname,badman shirt
5016.jpg,belongsToCategory,upperbody
5016.jpg,depicts,t-shirt
23175.jpg,hasMaterialType,cotton
23175.jpg,hasOpeningType,round neckline
23175.jpg,hasSleeveType,short-sleeve
23175.jpg,hasNeckline,crew neck
23175.jpg,hasLength,short
23175.jpg,hasSilhouette,crew neck
23175.jpg,belongsToCategory,upperbody
23175.jpg,depicts,t-shirt
8557.jpg,hasPattern,graphic print
8557.jpg,hasMaterialType,cotton
8557.jpg,hasOpeningType,round neckline
8557.jpg,hasSleeveType,short-sleeve
8557.jpg,hasNeckline,crew neck
8557.jpg,hasCollarType,round collar
8557.jpg,hasLength,short
8557.jpg,hasSilhouette,crew neck
8557.jpg,belongsToCategory,upperbody
8557.jpg,depicts,t-shirt
3517.jpg,hasPattern,textured
3517.jpg,hasOpeningType,round neckline
3517.jpg,hasSleeveType,short-sleeve
3517.jpg,hasNeckline,crew neck
3517.jpg,hasCollarType,crew-neck
3517.jpg,hasLength,regular
3517.jpg,hasMaterialType,cotton
3517.jpg,hasSilhouette,crew neck
3517.jpg,belongsToCategory,upperbody
3517.jpg,depicts,t-shirt
9935.jpg,hasPattern,solid color
9935.jpg,hasFabricTreatment,dyed
9935.jpg,hasMaterialType,cotton
9935.jpg,hasOpeningType,round neckline
9935.jpg,hasSleeveType,short-sleeve
9935.jpg,hasNeckline,crew neck
9935.jpg,hasCollarType,crew-neck
9935.jpg,hasLength,short
9935.jpg,hasWaistline,fitted
9935.jpg,hasSilhouette,crew neck
9935.jpg,belongsToCategory,upperbody
9935.jpg,depicts,t-shirt
2700.jpg,hasPattern,polka-dot
2700.jpg,hasMaterialType,cotton
2700.jpg,hasOpeningType,round neckline
2700.jpg,hasSleeveType,short-sleeve
2700.jpg,hasNeckline,crew neck
2700.jpg,hasLength,short
2700.jpg,hasSilhouette,crew neck
2700.jpg,belongsToCategory,upperbody
2700.jpg,depicts,t-shirt
24269.jpg,hasMaterialType,cotton
24269.jpg,hasSleeveType,short-sleeve
24269.jpg,hasNeckline,round neckline
24269.jpg,hasCollarType,crew neck collar
24269.jpg,hasLength,short
24269.jpg,hasSilhouette,crew neck
24269.jpg,belongsToCategory,upperbody
24269.jpg,depicts,t-shirt
34406.jpg,hasMaterialType,cotton
34406.jpg,hasOpeningType,crew neck opening
34406.jpg,hasSleeveType,short-sleeve
34406.jpg,hasNeckline,crew neck
34406.jpg,hasCollarType,round collar
34406.jpg,hasLength,short sleeve
34406.jpg,hasWaistline,natural-waist
34406.jpg,hasSilhouette,crew neck
34406.jpg,belongsToCategory,upperbody
34406.jpg,depicts,t-shirt
27356.jpg,hasPattern,graphic print
27356.jpg,hasFabricTreatment,plain weave
27356.jpg,hasMaterialType,cotton
27356.jpg,hasOpeningType,round opening
27356.jpg,hasSleeveType,short-sleeve
27356.jpg,hasNeckline,crew neck
27356.jpg,hasCollarType,round collar
27356.jpg,hasLength,short-sleeve
27356.jpg,hasWaistline,no waist
27356.jpg,hasSilhouette,crew neck
27356.jpg,hasNickname,graphic tee
27356.jpg,belongsToCategory,upperbody
27356.jpg,depicts,t-shirt
16428.jpg,hasPattern,graphic design
16428.jpg,hasMaterialType,cotton
16428.jpg,hasOpeningType,round neckline
16428.jpg,hasSleeveType,short-sleeve
16428.jpg,hasNeckline,crew neck
16428.jpg,hasLength,short
16428.jpg,hasSilhouette,crew neck
16428.jpg,belongsToCategory,upperbody
16428.jpg,depicts,t-shirt
30308.jpg,hasPattern,graphic pattern
30308.jpg,hasLeatherType,no leather
30308.jpg,hasMaterialType,cotton
30308.jpg,hasOpeningType,crew neck opening
30308.jpg,hasPocketType,no pocket
30308.jpg,hasSleeveType,short-sleeve
30308.jpg,hasNeckline,round neckline
30308.jpg,hasCollarType,crew-neck
30308.jpg,hasLength,short
30308.jpg,hasSilhouette,crew neck
30308.jpg,belongsToCategory,upperbody
30308.jpg,depicts,t-shirt
11765.jpg,hasPattern,graphic print
11765.jpg,hasMaterialType,cotton
11765.jpg,hasOpeningType,round
11765.jpg,hasSleeveType,short-sleeve
11765.jpg,hasNeckline,crew neck
11765.jpg,hasCollarType,round
11765.jpg,hasLength,short
11765.jpg,hasWaistline,straight
11765.jpg,hasSilhouette,crew neck
11765.jpg,hasNickname,graphic tee
11765.jpg,belongsToCategory,upperbody
11765.jpg,depicts,t-shirt
36559.jpg,hasMaterialType,cotton
36559.jpg,hasOpeningType,round neckline
36559.jpg,hasSleeveType,short-sleeve
36559.jpg,hasNeckline,crew neck
36559.jpg,hasCollarType,crew-neck
36559.jpg,hasLength,short
36559.jpg,hasSilhouette,crew neck
36559.jpg,belongsToCategory,upperbody
36559.jpg,depicts,t-shirt
34365.jpg,hasMaterialType,cotton
34365.jpg,hasSleeveType,short-sleeve
34365.jpg,hasNeckline,crew neck
34365.jpg,hasLength,short
34365.jpg,hasWaistline,no waist
34365.jpg,hasSilhouette,crew neck
34365.jpg,belongsToCategory,upperbody
34365.jpg,depicts,t-shirt
6757.jpg,hasLeatherType,no leather
6757.jpg,hasMaterialType,cotton
6757.jpg,hasOpeningType,crew neck opening
6757.jpg,hasSleeveType,short-sleeve
6757.jpg,hasNeckline,crew neck
6757.jpg,hasCollarType,round
6757.jpg,hasLength,short
6757.jpg,hasWaistline,straight
6757.jpg,hasSilhouette,crew neck
6757.jpg,belongsToCategory,upperbody
6757.jpg,depicts,t-shirt
5556.jpg,hasMaterialType,cotton
5556.jpg,hasOpeningType,crew neck
5556.jpg,hasSleeveType,short-sleeve
5556.jpg,hasNeckline,round
5556.jpg,hasLength,short
5556.jpg,hasSilhouette,crew neck
5556.jpg,belongsToCategory,upperbody
5556.jpg,depicts,t-shirt
5664.jpg,hasPattern,solid color
5664.jpg,hasFabricTreatment,plain weave
5664.jpg,hasMaterialType,cotton
5664.jpg,hasSleeveType,short-sleeve
5664.jpg,hasNeckline,crew neck
5664.jpg,hasCollarType,round collar
5664.jpg,hasLength,short
5664.jpg,hasSilhouette,crew neck
5664.jpg,belongsToCategory,upperbody
5664.jpg,depicts,t-shirt
4260.jpg,hasMaterialType,cotton
4260.jpg,hasSleeveType,short-sleeve
4260.jpg,hasNeckline,crew neck
4260.jpg,hasLapelType,lapelless
4260.jpg,hasCollarType,round collar
4260.jpg,hasLength,short
4260.jpg,hasSilhouette,crew neck
