relationshipType,unique_value_count,unique_values
hasOpeningType,11,"['zipper closure', 'closed front', 'round neckline', 'zipper', 'button-front closure', 'fastening by buttons and zippers', 'front opening', 'button closure', 'zip', 'button', 'buttons']"
hasNeckline,5,"['v-neck', 'round neckline', 'round neck', 'v-shaped', 'round']"
hasCollarType,5,"['v-neck', 'round neck', 'mandarin-collar', 'notch-collar', 'round collar']"
hasWaistline,4,"['natural', 'natural-waist', 'natural waistline', 'high-waisted']"
hasFabricTreatment,4,"['plain weave', 'printed', 'print', 'unfinished seams']"
hasAnimalPattern,2,"['no animal patterns', 'no']"
hasPattern,1,['floral']
hasMaterialType,1,['cotton']
hasSleeveType,1,['short-sleeve']
hasLength,1,['knee-length']
hasSilhouette,1,['a-line']
belongsToCategory,1,['upperbody']
depicts,1,['dress']
hasLeatherType,1,['no leather']
