product,relationship,attribute
10683.jpg,hasMaterialType,cotton
10683.jpg,hasSleeveType,short-sleeve
10683.jpg,hasNeckline,round neckline
10683.jpg,hasCollarType,crew-neck
10683.jpg,hasLength,short
10683.jpg,hasWaistline,natural-waist
10683.jpg,hasSilhouette,regular fit
10683.jpg,belongsToCategory,upperbody
10683.jpg,depicts,t-shirt
36317.jpg,hasMaterialType,cotton
36317.jpg,hasOpeningType,zipper
36317.jpg,hasSleeveType,short-sleeve
36317.jpg,hasNeckline,crew neck
36317.jpg,hasCollarType,crew-neck
36317.jpg,hasLength,short
36317.jpg,hasWaistline,high-waisted
36317.jpg,hasSilhouette,round
36317.jpg,belongsToCategory,upperbody
36317.jpg,depicts,t-shirt
38952.jpg,hasFabricTreatment,unbleached
38952.jpg,hasMaterialType,cotton
38952.jpg,hasSleeveType,short-sleeve
38952.jpg,hasNeckline,round neck
38952.jpg,hasCollarType,crew-neck
38952.jpg,hasLength,short
38952.jpg,hasWaistline,natural-waist
38952.jpg,hasSilhouette,regular fit
38952.jpg,belongsToCategory,upperbody
38952.jpg,depicts,t-shirt
40383.jpg,hasMaterialType,cotton
40383.jpg,hasOpeningType,crew-neck
40383.jpg,hasSleeveType,short-sleeve
40383.jpg,hasNeckline,crew-neck
40383.jpg,hasCollarType,crew-neck
40383.jpg,hasLength,short
40383.jpg,hasWaistline,high-waisted
40383.jpg,hasSilhouette,a-line
40383.jpg,belongsToCategory,upperbody
40383.jpg,depicts,t-shirt
20250.jpg,hasMaterialType,cotton
20250.jpg,hasOpeningType,crew neck
20250.jpg,hasSleeveType,short-sleeve
20250.jpg,hasNeckline,round
20250.jpg,hasCollarType,crew-neck
20250.jpg,hasLength,short
20250.jpg,hasWaistline,natural
20250.jpg,hasSilhouette,crew-neck
20250.jpg,belongsToCategory,upperbody
20250.jpg,depicts,t-shirt
9935.jpg,hasPattern,solid color
9935.jpg,hasFabricTreatment,dyed
9935.jpg,hasMaterialType,cotton
9935.jpg,hasOpeningType,round neckline
9935.jpg,hasSleeveType,short-sleeve
9935.jpg,hasNeckline,crew neck
9935.jpg,hasCollarType,crew-neck
9935.jpg,hasLength,short
9935.jpg,hasWaistline,fitted
9935.jpg,hasSilhouette,crew neck
9935.jpg,belongsToCategory,upperbody
9935.jpg,depicts,t-shirt
5165.jpg,hasPattern,solid color
5165.jpg,hasFabricTreatment,plain weave
5165.jpg,hasMaterialType,cotton
5165.jpg,hasOpeningType,crew neck
5165.jpg,hasSleeveType,short-sleeve
5165.jpg,hasNeckline,round neckline
5165.jpg,hasCollarType,crew-neck
5165.jpg,hasLength,short
5165.jpg,hasWaistline,high-waisted
5165.jpg,hasSilhouette,fitted
5165.jpg,belongsToCategory,upperbody
5165.jpg,depicts,t-shirt
2275.jpg,hasMaterialType,cotton
2275.jpg,hasSleeveType,short-sleeve
2275.jpg,hasNeckline,round neckline
2275.jpg,hasLapelType,non-lapelled
2275.jpg,hasCollarType,crew-neck
2275.jpg,hasLength,short
2275.jpg,hasSilhouette,regular fit
2275.jpg,belongsToCategory,upperbody
2275.jpg,depicts,t-shirt
2865.jpg,hasPattern,graphic print
2865.jpg,hasMaterialType,cotton
2865.jpg,hasOpeningType,round neck opening
2865.jpg,hasSleeveType,short-sleeve
2865.jpg,hasNeckline,crew-neck
2865.jpg,hasLapelType,non-lapelled
2865.jpg,hasCollarType,crew-neck
2865.jpg,hasLength,short
2865.jpg,hasSilhouette,fitted
2865.jpg,belongsToCategory,upperbody
2865.jpg,depicts,t-shirt
2969.jpg,hasPattern,solid color
2969.jpg,hasFabricTreatment,plain weave
2969.jpg,hasMaterialType,cotton
2969.jpg,hasOpeningType,zipper
2969.jpg,hasSleeveType,short-sleeve
2969.jpg,hasNeckline,round neckline
2969.jpg,hasCollarType,crew-neck
2969.jpg,hasLength,short
2969.jpg,hasSilhouette,crew neck
2969.jpg,belongsToCategory,upperbody
2969.jpg,depicts,t-shirt
4388.jpg,hasPattern,graphic
4388.jpg,hasMaterialType,cotton
4388.jpg,hasOpeningType,crew-neck
4388.jpg,hasSleeveType,short-sleeve
4388.jpg,hasNeckline,round
4388.jpg,hasCollarType,crew-neck
4388.jpg,hasLength,short
4388.jpg,hasWaistline,natural
4388.jpg,hasSilhouette,straight
4388.jpg,belongsToCategory,upperbody
4388.jpg,depicts,t-shirt
5823.jpg,hasMaterialType,cotton
5823.jpg,hasSleeveType,short-sleeve
5823.jpg,hasNeckline,round neckline
5823.jpg,hasCollarType,crew-neck
5823.jpg,hasLength,short
5823.jpg,hasSilhouette,regular fit
5823.jpg,belongsToCategory,upperbody
5823.jpg,depicts,t-shirt
53793.jpg,hasMaterialType,cotton
53793.jpg,hasSleeveType,short-sleeve
53793.jpg,hasNeckline,round neckline
53793.jpg,hasLapelType,non-lapelled
53793.jpg,hasCollarType,crew-neck
53793.jpg,hasLength,short
53793.jpg,hasSilhouette,crew-neck
53793.jpg,belongsToCategory,upperbody
53793.jpg,depicts,t-shirt
30328.jpg,hasMaterialType,cotton
30328.jpg,hasOpeningType,round neck opening
30328.jpg,hasSleeveType,short-sleeve
30328.jpg,hasNeckline,crew-neck
30328.jpg,hasCollarType,crew-neck
30328.jpg,hasLength,short
30328.jpg,hasWaistline,no-waist
30328.jpg,hasSilhouette,regular
30328.jpg,belongsToCategory,upperbody
30328.jpg,depicts,t-shirt
40136.jpg,hasMaterialType,cotton
40136.jpg,hasOpeningType,crew-neck
40136.jpg,hasSleeveType,short-sleeve
40136.jpg,hasNeckline,round
40136.jpg,hasCollarType,crew-neck
40136.jpg,hasLength,short
40136.jpg,hasWaistline,high-waisted
40136.jpg,hasSilhouette,fitted
40136.jpg,belongsToCategory,upperbody
40136.jpg,depicts,t-shirt
3957.jpg,hasMaterialType,cotton
3957.jpg,hasOpeningType,crew neck
3957.jpg,hasSleeveType,short-sleeve
3957.jpg,hasNeckline,round
3957.jpg,hasCollarType,crew-neck
3957.jpg,hasLength,short
3957.jpg,hasWaistline,natural
3957.jpg,hasSilhouette,fitted
3957.jpg,belongsToCategory,upperbody
3957.jpg,depicts,t-shirt
53803.jpg,hasPattern,striped pattern
53803.jpg,hasMaterialType,cotton
53803.jpg,hasOpeningType,zipper opening
53803.jpg,hasPocketType,side pocket
53803.jpg,hasSleeveType,short-sleeve
53803.jpg,hasNeckline,crew-neck
53803.jpg,hasCollarType,round collar
53803.jpg,hasLength,short
53803.jpg,hasSilhouette,crew-neck
53803.jpg,belongsToCategory,upperbody
53803.jpg,depicts,t-shirt
17805.jpg,hasLeatherType,no leather
17805.jpg,hasMaterialType,cotton
17805.jpg,hasOpeningType,round opening
17805.jpg,hasPocketType,no pocket
17805.jpg,hasSleeveType,short-sleeve
17805.jpg,hasNeckline,round neckline
17805.jpg,hasCollarType,crew-neck
17805.jpg,hasLength,short
17805.jpg,hasSilhouette,regular
17805.jpg,belongsToCategory,upperbody
17805.jpg,depicts,t-shirt
3356.jpg,hasPattern,graphic print
3356.jpg,hasFabricTreatment,none specified
3356.jpg,hasMaterialType,cotton
3356.jpg,hasOpeningType,round opening
3356.jpg,hasSleeveType,short-sleeve
3356.jpg,hasNeckline,round neckline
3356.jpg,hasCollarType,crew-neck
3356.jpg,hasLength,short
3356.jpg,hasSilhouette,crew neck
3356.jpg,hasNickname,graphic tee
