relationshipType,unique_value_count,unique_values
hasOpeningType,11,"['front opening', 'buttoned front', 'round neck', 'open front', 'buttoned closure', 'zipper', 'crew neck', 'button', 'zipper closure', 'crew neck opening', 'button front']"
hasLength,9,"['short', 'above the waist', 'short sleeve', 'below the waist', 'sleeveless', 'above the knee', 'knee-length', 'mid-thigh', 'above-the-knee']"
hasWaistline,7,"['natural', 'high-waisted', 'natural-waist', 'fitted', 'defined', 'straight', 'high waisted']"
hasSilhouette,6,"['sleeveless', 'fitted', 'straight', 'regular fit', 'a-line', 'crew neck']"
depicts,6,"['t-shirt', 'tank top', 'dress', 'vest', 'shirt', 'bag']"
hasFabricTreatment,5,"['no treatment', 'plain weave', 'soft', 'unprocessed', 'no special treatment']"
hasPattern,5,"['solid color', 'striped', 'floral', 'textured print', 'graphic print']"
hasNeckline,4,"['round neck', 'crew neckline', 'crew neck', 'round']"
hasSleeveType,2,"['sleeveless', 'short-sleeve']"
hasCollarType,2,"['round neck', 'crew-neck']"
hasNickname,2,"['billy idol tour t-shirt', 'camisole']"
hasLeatherType,2,"['no leather', 'no leather type']"
hasMaterialType,1,['cotton']
belongsToCategory,1,['upperbody']
hasLapelType,1,['lapelless']
hasPocketType,1,['no pocket']
