product,relationship,attribute
22134.jpg,hasPattern,solid color
22134.jpg,hasFabricTreatment,suede finish
22134.jpg,hasLeatherType,full grain leather
22134.jpg,hasMaterialType,leather
22134.jpg,hasOpeningType,lace-up
22134.jpg,hasLength,low heel
22134.jpg,hasSilhouette,pointed toe
22134.jpg,belongsToCategory,lowerbody
22134.jpg,depicts,shoes
7234.jpg,hasMaterialType,leather
7234.jpg,hasOpeningType,lace-up
7234.jpg,hasLength,ankle-length
7234.jpg,hasSilhouette,pointed-toe
7234.jpg,belongsToCategory,lowerbody
7234.jpg,depicts,shoes
22847.jpg,hasSilhouette,round
22847.jpg,hasSleeveType,sleeveless
22847.jpg,hasPattern,solid color
22847.jpg,depicts,shoes
22847.jpg,belongsToCategory,lowerbody
22847.jpg,hasLength,ankle-length
22847.jpg,hasNeckline,round neckline
22847.jpg,hasOpeningType,lace-up
22847.jpg,hasMaterialType,leather
22847.jpg,hasLeatherType,full-grain leather
10636.jpg,hasFabricTreatment,suede-finish
10636.jpg,hasLeatherType,aniline-leather
10636.jpg,hasMaterialType,leather
10636.jpg,hasOpeningType,lace-up
10636.jpg,hasLength,short
10636.jpg,hasSilhouette,pointed-toe
10636.jpg,belongsToCategory,lowerbody
10636.jpg,depicts,shoes
4269.jpg,hasMaterialType,leather
4269.jpg,hasOpeningType,lace-up
4269.jpg,hasSleeveType,closed-toe
4269.jpg,hasLength,ankle-high
4269.jpg,hasSilhouette,pointed toe
4269.jpg,belongsToCategory,lowerbody
4269.jpg,depicts,shoes
47228.jpg,hasFabricTreatment,suede finish
47228.jpg,hasLeatherType,calfskin
47228.jpg,hasMaterialType,leather
47228.jpg,hasOpeningType,lace-up
47228.jpg,hasLength,ankle-high
47228.jpg,hasSilhouette,pointed toe
47228.jpg,belongsToCategory,lowerbody
47228.jpg,depicts,shoes
40448.jpg,hasMaterialType,leather
40448.jpg,hasOpeningType,lace-up
40448.jpg,hasLength,short
40448.jpg,hasSilhouette,pointed toe
40448.jpg,belongsToCategory,lowerbody
40448.jpg,depicts,shoes
12482.jpg,hasFabricTreatment,suede
12482.jpg,hasLeatherType,full-grain leather
12482.jpg,hasMaterialType,leather
12482.jpg,hasOpeningType,lace-up
12482.jpg,hasLength,short
12482.jpg,hasSilhouette,pointed toe
12482.jpg,belongsToCategory,lowerbody
12482.jpg,depicts,shoes
45591.jpg,hasMaterialType,leather
45591.jpg,hasOpeningType,lace-up
45591.jpg,hasSleeveType,short
45591.jpg,hasLength,ankle-high
45591.jpg,hasSilhouette,pointed-toe
45591.jpg,belongsToCategory,lowerbody
45591.jpg,depicts,shoes
9702.jpg,hasFabricTreatment,suede finish
9702.jpg,hasLeatherType,full-grain leather
9702.jpg,hasMaterialType,leather
9702.jpg,hasOpeningType,lace-up
9702.jpg,hasNeckline,round neckline
